,CHKA (1119)
ACH-000004,-0.495792413062
ACH-000007,-0.032090090885200005
ACH-000009,-0.34244870043700004
ACH-000011,-0.41629012711999996
ACH-000012,-0.36261639534100004
ACH-000013,-0.312591610878
ACH-000014,-0.095865511721
ACH-000015,-0.186970930566
ACH-000017,-0.508864304091
ACH-000018,-0.480200865795
ACH-000019,-0.9672200011740001
ACH-000021,-0.385957029509
ACH-000022,-0.253438490113
ACH-000025,-0.236808869117
ACH-000028,-0.645357858416
ACH-000030,-0.301268678845
ACH-000035,-0.252709120003
ACH-000036,-0.453292714614
ACH-000037,-0.355403946083
ACH-000039,-0.28775541866099996
ACH-000040,-0.136980312444
ACH-000041,-0.525716573488
ACH-000042,-0.503397229294
ACH-000045,-0.524921363333
ACH-000047,-0.559491526955
ACH-000052,-0.257452182529
ACH-000053,-0.7093020197
ACH-000054,-0.329938076127
ACH-000055,-0.33380897068300003
ACH-000060,-0.41036503566200005
ACH-000067,-0.15781014660999998
ACH-000070,-0.113323959986
ACH-000075,-0.455990568591
ACH-000078,-0.326289197971
ACH-000082,-0.7845957779549999
ACH-000085,-0.554998722442
ACH-000086,-0.348975197759
ACH-000087,-0.344347667596
ACH-000092,-0.543795532682
ACH-000095,-0.342882420505
ACH-000097,-0.617373998302
ACH-000098,-0.305370952429
ACH-000099,-0.345225142808
ACH-000108,-0.759990419208
ACH-000113,-0.5507953993770001
ACH-000115,-0.7476693369410001
ACH-000116,-0.416455752095
ACH-000118,-0.8144190835439999
ACH-000120,-0.290750375543
ACH-000123,-0.190159286811
ACH-000127,-0.412108619218
ACH-000128,-0.23649689941100002
ACH-000132,-0.565301867441
ACH-000133,-0.514019390635
ACH-000137,-0.33937966069200004
ACH-000138,-0.5596791854550001
ACH-000142,-0.7121853149449999
ACH-000143,-0.253633415786
ACH-000146,-0.268274409978
ACH-000148,-0.374811363367
ACH-000150,-0.486903734212
ACH-000152,-0.236619908021
ACH-000153,-0.436721737082
ACH-000159,-0.288220845821
ACH-000160,-0.898117540201
ACH-000163,-0.442946016567
ACH-000167,-0.617427301157
ACH-000168,-0.9192637298880001
ACH-000169,-0.42619793744199996
ACH-000178,-0.415500332099
ACH-000182,-0.328227068361
ACH-000183,-0.595168566392
ACH-000188,-0.567781309927
ACH-000189,-0.826118646307
ACH-000190,-0.5752196475410001
ACH-000198,-0.873382112203
ACH-000204,-0.0330375951535
ACH-000206,-0.178864584374
ACH-000207,-0.67639674091
ACH-000211,-0.413647831577
ACH-000215,-0.252400427717
ACH-000221,-0.42288459590599997
ACH-000222,-0.504327866642
ACH-000223,-0.22002113136799997
ACH-000226,-0.840692443767
ACH-000227,-0.34726723888899996
ACH-000228,-0.353510429658
ACH-000231,-0.291707188685
ACH-000232,-0.33906135707699997
ACH-000233,-0.818664289196
ACH-000234,-0.234430402742
ACH-000235,-0.346481620982
ACH-000237,-0.43535348850500005
ACH-000238,-0.46430326841499997
ACH-000243,-0.222054939944
ACH-000244,-0.43175111846600006
ACH-000246,-0.337680106196
ACH-000248,-0.254725871648
ACH-000250,-0.462628481857
ACH-000251,-0.261992190743
ACH-000253,-0.41725103304399996
ACH-000255,-0.503575980855
ACH-000256,-0.7742703464309999
ACH-000257,-0.273072122548
ACH-000258,-0.788097302764
ACH-000259,-0.32759258600900004
ACH-000260,-0.328666772555
ACH-000261,-0.42664197880099997
ACH-000262,-0.6352402898889999
ACH-000263,-0.12825656251599998
ACH-000264,-0.486657820952
ACH-000265,-0.414340171682
ACH-000266,-0.585353633416
ACH-000272,-0.5107679753859999
ACH-000273,-0.42583085626100003
ACH-000274,-0.189734226861
ACH-000277,-0.636672910272
