,RCC2 (55920)
ACH-000004,-0.24720505096700002
ACH-000007,-0.489871175882
ACH-000009,-0.259693587368
ACH-000011,-0.18270870248100002
ACH-000012,-0.0883826886835
ACH-000013,-0.0736090465207
ACH-000014,-0.106131269974
ACH-000015,-0.13795692099
ACH-000017,-0.11304138554300001
ACH-000018,-0.179335636753
ACH-000019,-0.064565748602
ACH-000021,-0.15467586988
ACH-000022,-0.161837097314
ACH-000025,-0.259812585973
ACH-000028,-0.16945445078899998
ACH-000030,-0.10151312385700001
ACH-000035,-0.318222711438
ACH-000036,-0.0889023209113
ACH-000037,-0.18201670587000002
ACH-000039,-0.414891970053
ACH-000040,-0.285794726747
ACH-000041,-0.0616107342529
ACH-000042,-0.127083602189
ACH-000045,0.122514576382
ACH-000047,-0.276943867843
ACH-000052,-0.387761124343
ACH-000053,-0.064387117482
ACH-000054,-0.06980695977460001
ACH-000055,-0.24615912904800002
ACH-000060,-0.19541039436500002
ACH-000067,-0.0719035651213
ACH-000070,-0.208717315693
ACH-000075,-0.146958995949
ACH-000078,-0.334575715986
ACH-000082,-0.38477330672399995
ACH-000085,-0.3561458720699999
ACH-000086,-0.265586312515
ACH-000087,-0.40007355812
ACH-000092,-0.263037639375
ACH-000095,-0.230992667326
ACH-000097,0.0158481231011
ACH-000098,-0.0789218864817
ACH-000099,-0.19090999705800002
ACH-000108,-0.428679800219
ACH-000113,-0.250258828738
ACH-000115,-0.294861245941
ACH-000116,-0.119528338949
ACH-000118,-0.0576313674823
ACH-000120,-0.1480228051
ACH-000123,-0.274595833428
ACH-000127,-0.0824659647182
ACH-000128,-0.37327469219899995
ACH-000132,-0.37374379750200004
ACH-000133,-0.27390692678100004
ACH-000137,-0.354943751493
ACH-000138,-0.258492327703
ACH-000142,-0.14475946209
ACH-000143,0.0730031187404
ACH-000146,-0.144873273015
ACH-000148,-0.224654692505
ACH-000150,-0.399283570834
ACH-000152,-0.220102020932
ACH-000153,-0.182448688772
ACH-000159,-0.121205191375
ACH-000160,-0.169553127154
ACH-000163,-0.21860999865400002
ACH-000167,-0.636086864197
ACH-000168,-0.122424332935
ACH-000169,-0.169300726489
ACH-000178,-0.215001447794
ACH-000182,-0.19462044011500002
ACH-000183,-0.31132928234900004
ACH-000188,-0.0415111364174
ACH-000189,-0.216530930134
ACH-000190,-0.018375707242
ACH-000198,-0.390632098147
ACH-000204,-0.053931317102699994
ACH-000206,-0.274335185299
ACH-000207,-0.275497020592
ACH-000211,-0.138912003654
ACH-000215,-0.13004858354
ACH-000221,-0.042647961275899995
ACH-000222,-0.28062683052
ACH-000223,-0.165521900384
ACH-000226,-0.240987910521
ACH-000227,-0.23430184426399997
ACH-000228,-0.0939910354919
ACH-000231,-0.275056946266
ACH-000232,-0.151840531256
ACH-000233,-0.0105506500062
ACH-000234,-0.188525084585
ACH-000235,-0.11580751289999999
ACH-000237,-0.383454078793
ACH-000238,-0.148085984993
ACH-000243,-0.186682173059
ACH-000244,-0.0755115224241
ACH-000246,-0.18380280369899998
ACH-000248,-0.256021732064
ACH-000250,-0.103898488917
ACH-000251,-0.130733301599
ACH-000253,-0.305903401915
ACH-000255,-0.312766297346
ACH-000256,-0.236233608431
ACH-000257,0.0823058059886
ACH-000258,-0.008750329643239999
ACH-000259,-0.148229463644
ACH-000260,-0.36781528152500004
ACH-000261,-0.262478216253
ACH-000262,-0.14779519518200002
ACH-000263,-0.271080828422
ACH-000264,-0.121743883942
ACH-000265,0.0189749294616
