,PHACTR4 (65979)
ACH-000004,-0.19678071250999998
ACH-000007,-0.0608989228675
ACH-000009,0.017992560356299998
ACH-000011,-0.09263241965510001
ACH-000012,-0.07851944426020001
ACH-000013,-0.389071261519
ACH-000014,-0.021834175716400003
ACH-000015,-0.28534910970800004
ACH-000017,-0.0290289952786
ACH-000018,-0.48906740655000003
ACH-000019,-0.128210213068
ACH-000021,-0.056853385098599996
ACH-000022,0.0142548988589
ACH-000025,-0.11726715536599999
ACH-000028,0.09055859791069999
ACH-000030,-0.24317660231899998
ACH-000035,-0.5260907079280001
ACH-000036,-0.134969507761
ACH-000037,-0.040609732154900005
ACH-000039,-0.21020227467500002
ACH-000040,-0.374791817804
ACH-000041,-0.12952829193
ACH-000042,-0.25247012111699996
ACH-000045,-0.26859775853900003
ACH-000047,-0.275737957596
ACH-000052,-0.37664185476400003
ACH-000053,-0.215321273003
ACH-000054,-0.165972163123
ACH-000055,-0.03438154809
ACH-000060,-0.401305880756
ACH-000067,-0.35968989254100003
ACH-000070,-0.0427845896129
ACH-000075,-0.21566121928399998
ACH-000078,-0.160756867106
ACH-000082,-0.326957715752
ACH-000085,-0.334396463782
ACH-000086,-0.27776641652199996
ACH-000087,-0.10373573183399999
ACH-000092,-0.40394354395300003
ACH-000095,-0.41118524012400004
ACH-000097,-0.00220052201585
ACH-000098,-0.305268213786
ACH-000099,-0.027286301877599995
ACH-000108,-0.41892532236999996
ACH-000113,-0.142005462882
ACH-000115,-0.234338393983
ACH-000116,-0.125366940281
ACH-000118,-0.365391501501
ACH-000120,-0.100942142498
ACH-000123,-0.16780901051
ACH-000127,-0.259445075965
ACH-000128,-0.176528534945
ACH-000132,-0.31066286562199996
ACH-000133,-0.328542255559
ACH-000137,-0.349643332046
ACH-000138,-0.165698796034
ACH-000142,-0.46591156731000005
ACH-000143,-0.153055231941
ACH-000146,-0.0780186407364
ACH-000148,-0.09803372641909999
ACH-000150,-0.647763597805
ACH-000152,-0.375585121422
ACH-000153,-0.567461234586
ACH-000159,-0.39047663908299995
ACH-000160,-0.13580009817
ACH-000163,-0.0559407188754
ACH-000167,-0.483742614646
ACH-000168,-0.202785885198
ACH-000169,-0.11478163218800001
ACH-000178,-0.159929543166
ACH-000182,-0.0746964359689
ACH-000183,-0.180310923525
ACH-000188,-0.181895963376
ACH-000189,-0.409617974446
ACH-000190,-0.214595817104
ACH-000198,-0.260093927331
ACH-000204,-0.33861451522200003
ACH-000206,-0.35499078162299996
