,RASD2 (23551)
ACH-000004,-0.240509774197
ACH-000007,-0.07190227329780001
ACH-000009,-0.270677445979
ACH-000011,-0.128987975535
ACH-000012,-0.185235013377
ACH-000013,-0.351675475968
ACH-000014,-0.35542876959700004
ACH-000015,-0.383988073737
ACH-000017,-0.332226050255
ACH-000018,-0.293299728908
ACH-000019,-0.21300245992699998
ACH-000021,-0.27124436471200003
ACH-000022,-0.253550046051
ACH-000025,-0.503660008893
ACH-000028,-0.326238882149
ACH-000030,-0.453350768209
ACH-000035,-0.396100781312
ACH-000036,-0.17919604034800002
ACH-000037,-0.361576266891
ACH-000039,-0.313022303618
ACH-000040,-0.26020412522799996
ACH-000041,-0.0611944320491
ACH-000042,-0.578987815705
ACH-000045,-0.405889419874
ACH-000047,-0.328323455725
ACH-000052,-0.229532482375
ACH-000053,-0.38526111006999997
ACH-000054,-0.08454394805099999
ACH-000055,-0.08630968299399999
ACH-000060,-0.534454700173
ACH-000067,-0.0976539201128
ACH-000070,-0.24196670321199998
ACH-000075,0.07649936759319999
ACH-000078,-0.465126843676
ACH-000082,-0.0254576660373
ACH-000085,-0.16109140266799998
ACH-000086,-0.17022514844300002
ACH-000087,-0.09165342563510001
ACH-000092,-0.32529771658000006
ACH-000095,-0.221105568421
ACH-000097,-0.19883371018399998
ACH-000098,-0.297879518673
ACH-000099,-0.246580636158
ACH-000108,-0.33339870228
ACH-000113,-0.263653633131
ACH-000115,-0.326506991525
ACH-000116,-0.2380763316
ACH-000118,-0.221474521385
ACH-000120,-0.280692131925
ACH-000123,-0.44688127269100003
ACH-000127,-0.17828836701499998
ACH-000128,-0.0791235111803
ACH-000132,-0.285498827807
ACH-000133,-0.318967621594
ACH-000137,-0.655836911664
ACH-000138,-0.09291329614980001
ACH-000142,-0.217509865048
ACH-000143,-0.37822434019100004
ACH-000146,-0.159945235671
ACH-000148,-0.255235387204
ACH-000150,0.08252763359
ACH-000152,-0.191242109475
ACH-000153,-0.401095710832
ACH-000159,-0.05489430920419999
ACH-000160,-0.365313154295
ACH-000163,-0.117393000151
ACH-000167,-0.190895572357
ACH-000168,-0.12014297551799999
ACH-000169,-0.253128373124
ACH-000178,-0.238326239636
ACH-000182,-0.29038425852899996
ACH-000183,-0.17673674865699998
ACH-000188,-0.217250977318
ACH-000189,0.157393145398
ACH-000190,-0.16937308439100002
ACH-000198,-0.355302385936
ACH-000204,-0.16128418510099998
ACH-000206,-0.277065513601
ACH-000207,-0.278843611347
ACH-000211,-0.375168750493
ACH-000215,-0.19096589964400001
ACH-000221,-0.303632859857
ACH-000222,-0.293273422313
ACH-000223,-0.292644620992
ACH-000226,-0.161194048144
ACH-000227,-0.34244506848000006
ACH-000228,-0.374446310268
ACH-000231,-0.243404064478
ACH-000232,-0.489912492053
ACH-000233,-0.24439705623000002
ACH-000234,-0.0120475794223
ACH-000235,-0.07101176188839999
ACH-000237,-0.328600534046
ACH-000238,-0.313753735162
ACH-000243,-0.301402232991
ACH-000244,-0.09221454699680001
ACH-000246,-0.17871757583700001
ACH-000248,-0.367241290928
ACH-000250,-0.140217171741
ACH-000251,0.158923795998
ACH-000253,-0.290688268181
ACH-000255,-0.440656000575
ACH-000256,-0.31650553903900003
ACH-000257,-0.0986591246039
ACH-000258,-0.337304978972
ACH-000259,-0.242853885575
ACH-000260,-0.35713534178
ACH-000261,-0.195021379995
ACH-000262,-0.203574793521
ACH-000263,-0.369894158294
ACH-000264,-0.19445334406300002
ACH-000265,-0.409912220311
ACH-000266,-0.145327248251
ACH-000272,-0.124182039476
ACH-000273,-0.085829339324
ACH-000274,-0.291042384918
ACH-000277,-0.0986902404246
ACH-000278,-0.293991217489
ACH-000279,-0.25938859798
ACH-000280,-0.260150035642
ACH-000281,-0.266169362935
ACH-000288,-0.205107198079
ACH-000291,-0.25526317280099997
ACH-000293,-0.18870696895199998
ACH-000294,-0.463770852396
ACH-000295,-0.338191079259
ACH-000296,-0.6747652662450001
ACH-000302,-0.29184217210999996
ACH-000304,-0.36258431941
ACH-000307,-0.19817721915999997
ACH-000308,-0.349872186911
ACH-000310,-0.416686011457
ACH-000311,-0.244090353907
ACH-000312,-0.434607634618
ACH-000315,-0.813102099369
ACH-000316,0.09103237157050001
ACH-000317,-0.223601456956
ACH-000318,-0.338129854073
ACH-000319,-0.17149607911200002
ACH-000320,-0.288594274525
ACH-000322,-0.245409284363
ACH-000323,-0.399909307333
ACH-000324,-0.35521620803599996
ACH-000329,-0.26088877296
ACH-000330,-0.213021339058
ACH-000331,-0.052237550822900006
ACH-000332,-0.268824158269
ACH-000334,-0.264800180095
