,HSPA1A (3303)
ACH-000004,-0.35959450284500005
ACH-000007,-0.103609389007
ACH-000009,-0.18594629227899998
ACH-000011,-0.60288265331
ACH-000012,-0.509667190004
ACH-000013,-0.260112672698
ACH-000014,-0.284430617513
ACH-000015,-0.24633310774599998
ACH-000017,-0.34667519707500005
ACH-000018,-0.229207469741
ACH-000019,-0.484120922457
ACH-000021,-0.227375228018
ACH-000022,-0.198549385637
ACH-000025,-0.232304372805
ACH-000028,-0.182420319283
ACH-000030,-0.27484630681600003
ACH-000035,-0.368435935952
ACH-000036,-0.313354018339
ACH-000037,-0.0712344081039
ACH-000039,-0.553432314011
ACH-000040,-0.37802029964
ACH-000041,-0.137554662914
ACH-000042,-0.416204287158
ACH-000045,-0.33619999598300004
ACH-000047,-0.23320341087699997
ACH-000052,-0.31388085056
ACH-000053,-0.234975307073
ACH-000054,-0.366930993341
ACH-000055,-0.269879762631
ACH-000060,-0.389519356817
ACH-000067,-0.309095715517
ACH-000070,-0.36046629376999995
ACH-000075,-0.5004739647199999
ACH-000078,-0.300080026861
ACH-000082,-0.390303951084
ACH-000085,-0.263076740418
ACH-000086,-0.220983061938
ACH-000087,-0.307065690721
ACH-000092,-0.224509655414
ACH-000095,-0.407158029818
ACH-000097,-0.317826498123
ACH-000098,-0.203567423826
ACH-000099,-0.22935080100400002
ACH-000108,-0.327501172885
ACH-000113,-0.39315577452100003
ACH-000115,-0.431001691846
ACH-000116,-0.213032239328
ACH-000118,-0.173428176628
ACH-000120,-0.178034927601
ACH-000123,-0.229132509318
ACH-000127,-0.299317915769
ACH-000128,-0.428564603315
ACH-000132,-0.31330665203200003
ACH-000133,-0.32037697163199996
ACH-000137,-0.204377979863
ACH-000138,-0.437628435195
ACH-000142,-0.35197396924900004
ACH-000143,-0.20796968042599998
ACH-000146,-0.40342698942500005
ACH-000148,-0.286824616443
ACH-000150,-0.17643021444200002
ACH-000152,-0.427719661769
ACH-000153,0.0708903886801
ACH-000159,-0.444038042714
ACH-000160,-0.442915392026
ACH-000163,-0.172067624078
ACH-000167,0.788312962463
ACH-000168,-0.437912374085
ACH-000169,-0.365805730595
ACH-000178,-0.151244046774
