,RPL22L1 (200916)
ACH-000004,-0.314053329321
ACH-000007,-0.293906369154
ACH-000009,-0.44392172138999997
ACH-000011,-0.20903909098700002
ACH-000012,-0.142155348304
ACH-000013,-0.21242184965799998
ACH-000014,-0.388458486511
ACH-000015,-0.13398171956
ACH-000017,-0.465459416427
ACH-000018,-0.0666629270883
ACH-000019,-0.199439600707
ACH-000021,-0.37534197564099997
ACH-000022,-0.317673078138
ACH-000025,-0.5485846980879999
ACH-000028,-0.246569028722
ACH-000030,-0.423202582914
ACH-000035,-0.31273253768000003
ACH-000036,-0.606207644277
ACH-000037,-0.296067403487
ACH-000039,-0.214303750099
ACH-000040,-0.265102376734
ACH-000041,-0.199533692742
ACH-000042,-0.3929044401
ACH-000045,-0.09608488072830002
ACH-000047,-0.276088082756
ACH-000052,-0.133653184407
ACH-000053,-0.31715592820599997
ACH-000054,-0.598918603076
ACH-000055,-0.201711918777
ACH-000060,-0.5582142063809999
ACH-000067,-0.634408234703
ACH-000070,-0.385052876898
ACH-000075,-0.38711954224600004
ACH-000078,-0.23703338519099998
ACH-000082,-0.318587927361
ACH-000085,-0.413216452205
ACH-000086,-0.412008284147
ACH-000087,-0.26409723117
ACH-000092,-0.403574875061
ACH-000095,-0.8368246498849999
ACH-000097,-0.35212746255099997
ACH-000098,-0.346851738457
ACH-000099,-0.527481203862
ACH-000108,-0.361793820578
ACH-000113,-0.545633494704
ACH-000115,-0.36661110313699996
ACH-000116,-0.369841402416
ACH-000118,-0.34012912306500004
ACH-000120,-0.071283301957
ACH-000123,-0.23373589562199998
ACH-000127,-0.540104534363
ACH-000128,-0.484235299992
ACH-000132,-0.45596256901500004
ACH-000133,-0.469132699261
ACH-000137,-0.226156638618
ACH-000138,-0.43556290328599995
ACH-000142,-0.268551766384
ACH-000143,-0.274766582675
ACH-000146,-0.331229692069
ACH-000148,-0.507604381277
ACH-000150,-0.26565360196
ACH-000152,-0.328921962113
ACH-000153,-0.5504329458780001
ACH-000159,-0.385383491737
ACH-000160,-0.348287281051
ACH-000163,-0.556061638354
ACH-000167,-0.294254620706
ACH-000168,-0.394913188506
ACH-000169,-0.39317537558300003
ACH-000178,-0.44511685514399996
ACH-000182,-0.429249227848
ACH-000183,-0.29403022674699997
ACH-000188,-0.32061231699000003
ACH-000189,-0.334815655303
ACH-000190,-0.627514344236
ACH-000198,-0.20389778143800003
ACH-000204,-0.626113847505
ACH-000206,-0.127751041824
ACH-000207,-0.46087810092200004
ACH-000211,-0.368822576799
ACH-000215,-0.498228520866
ACH-000221,-0.182458741798
ACH-000222,-0.658117392915
ACH-000223,-0.360030912728
ACH-000226,-0.12824138262
ACH-000227,-0.43689948855
ACH-000228,-0.32414850996800004
ACH-000231,-0.629633938579
ACH-000232,-0.42214571253899996
ACH-000233,-0.344120806799
ACH-000234,-0.588091700023
ACH-000235,-0.35992085815700003
ACH-000237,-0.46090544237099995
ACH-000238,-0.025135286197500002
ACH-000243,-0.42909141712399995
ACH-000244,-0.73099560123
ACH-000246,-0.551403578244
ACH-000248,-0.259757802127
ACH-000250,-0.414035629284
ACH-000251,-0.549178208398
ACH-000253,-0.541373082997
ACH-000255,-0.402525012465
ACH-000256,-0.360690501297
ACH-000257,-0.42792590668700003
ACH-000258,-0.188295153705
ACH-000259,-0.52469622386
ACH-000260,-0.414471081723
ACH-000261,-0.46869513567599996
ACH-000262,-0.48615697586999995
ACH-000263,-0.588782667369
ACH-000264,-0.4698539680899999
ACH-000265,-0.268707055468
ACH-000266,-0.44781796793300005
ACH-000272,-0.5371732381009999
ACH-000273,-0.591972878586
ACH-000274,-0.564505479298
ACH-000277,-0.451700299129
ACH-000278,-0.321124534514
ACH-000279,-0.37706208861400003
ACH-000280,-0.11962419102199999
ACH-000281,0.0555575295467
ACH-000288,-0.371924763692
ACH-000291,-0.359173974766
ACH-000293,-0.23814111661899998
ACH-000294,-0.18678087268100002
ACH-000295,-0.385348062165
ACH-000296,-0.692616276559
ACH-000302,-0.388616037333
ACH-000304,-0.508594350295
ACH-000307,-0.304114547518
ACH-000308,-0.279197030381
ACH-000310,-0.761078695466
ACH-000311,-0.307305208803
ACH-000312,-0.502817389822
ACH-000315,-0.161253650692
ACH-000316,-0.366459203359
ACH-000317,-0.25100958763500003
ACH-000318,-0.303360285444
ACH-000319,-0.495376016138
ACH-000320,-0.361779680761
ACH-000322,-0.29525590443000005
ACH-000323,-0.8341767136399999
ACH-000324,-0.333714273262
ACH-000329,-0.366386806724
ACH-000330,-0.136916702787
ACH-000331,-0.389014841457
ACH-000332,-0.438561403143
ACH-000334,-0.354565191581
ACH-000335,-0.171039122257
ACH-000336,-0.189377587635
ACH-000337,-0.400638547307
ACH-000339,-0.272785578076
ACH-000341,-0.44678721310099995
ACH-000348,-0.376470460739
ACH-000350,-0.18591364933600002
ACH-000352,-0.488541283115
ACH-000356,-0.500944903017
ACH-000361,-0.38896731659
ACH-000362,-0.216807821326
ACH-000363,-0.224961252518
ACH-000364,-0.38935522702200004
ACH-000365,-0.357381144577
ACH-000366,-0.43491432110699996
ACH-000368,-0.470506476646
ACH-000374,-0.48649615709700006
ACH-000375,-0.645537185017
ACH-000376,-0.37667035176299996
ACH-000381,-0.343388437509
ACH-000383,-0.468982342581
ACH-000387,-0.279682518924
ACH-000389,-0.345287444825
ACH-000390,-0.5469630928329999
ACH-000393,-0.527498302534
ACH-000395,-0.187070804014
ACH-000397,-0.36399050845200004
ACH-000401,-0.450849026376
ACH-000402,-0.08686580974500001
ACH-000403,-0.151924783855
ACH-000404,-0.22801017558400002
ACH-000406,-0.279054785599
ACH-000407,-0.540919988046
ACH-000408,-0.104215310621
ACH-000410,-0.377386479889
ACH-000411,-0.911663368103
ACH-000414,-0.482324987875
ACH-000415,-0.371539098173
ACH-000416,-0.268610158
ACH-000420,-0.485271752033
ACH-000421,-0.31289249381900003
ACH-000424,-0.5222352940899999
ACH-000425,-0.583984728701
ACH-000426,-0.36063657031900004
ACH-000427,-0.35456607654399996
ACH-000433,-0.435380893556
