,SV2C (22987)
ACH-000004,-0.09956144100889999
ACH-000007,0.0062036172732
ACH-000009,-0.0752314902665
ACH-000011,-0.286154313486
ACH-000012,-0.0745202516901
ACH-000013,-0.0506187509788
ACH-000014,-0.0241839023415
ACH-000015,-0.25639440498599997
ACH-000017,-0.104114929089
ACH-000018,-0.227746961746
ACH-000019,-0.110668864002
ACH-000021,-0.101476562901
ACH-000022,-0.111136859334
ACH-000025,-0.022439062282799998
ACH-000028,-0.0338724022098
ACH-000030,-0.169265901818
ACH-000035,-0.09159397062989999
ACH-000036,-0.0127508493698
ACH-000037,-0.0919131105015
ACH-000039,0.23056535164900002
ACH-000040,-0.118919762114
ACH-000041,-0.226949878691
ACH-000042,-0.0817585846764
ACH-000045,-0.082249244173
ACH-000047,-0.022096051606999997
ACH-000052,-0.281468102979
ACH-000053,-0.008202575134609999
ACH-000054,-0.09061216702910001
ACH-000055,-0.296322670073
ACH-000060,0.138635807729
ACH-000067,-0.00271952680725
ACH-000070,-0.20250282949499998
ACH-000075,0.041794494248399996
ACH-000078,-0.09879192755069999
ACH-000082,-0.121867767098
ACH-000085,-0.112689386979
ACH-000086,-0.0579290096842
ACH-000087,-0.319743266411
ACH-000092,-0.11497136649800001
ACH-000095,0.0496923617071
ACH-000097,-0.039297816185
ACH-000098,-0.06657212895409999
ACH-000099,-0.133381833137
ACH-000108,-0.347337322001
ACH-000113,-0.088278746128
ACH-000115,-0.33177475787599997
ACH-000116,0.024081249620099998
ACH-000118,0.0201936002073
ACH-000120,-0.230061731048
ACH-000123,-0.00100521568285
ACH-000127,-0.14679223224000001
ACH-000128,-0.139289921971
ACH-000132,-0.327164183442
ACH-000133,-0.072106414049
ACH-000137,-0.375521357579
ACH-000138,0.09307430158749999
ACH-000142,-0.19629399837099998
ACH-000143,-0.307283830832
ACH-000146,-0.17300744045699998
ACH-000148,-0.16202909313799999
ACH-000150,-0.23991163139199997
ACH-000152,-0.133465850409
ACH-000153,-0.202507293858
ACH-000159,-0.046229840998300006
ACH-000160,-0.0580953903744
ACH-000163,-0.311296467276
ACH-000167,-0.17348745261
ACH-000168,-0.017802116602
ACH-000169,-0.03481121916530001
ACH-000178,-0.048438366476499996
ACH-000182,-0.102189339143
ACH-000183,-0.250303931037
ACH-000188,-0.21139859259799998
ACH-000189,0.058235287726699995
ACH-000190,-0.11464787996300001
ACH-000198,0.014293260356700001
ACH-000204,-0.349906167589
