,PFKFB4 (5210)
ACH-000004,-0.193711618362
ACH-000007,-0.0734220324001
ACH-000009,-0.408535619502
ACH-000011,-0.21327777290999997
ACH-000012,-0.240212787614
ACH-000013,-0.141143416224
ACH-000014,-0.17865234779
ACH-000015,-0.43353913083000006
ACH-000017,-0.205590474844
ACH-000018,-0.427900233223
ACH-000019,-0.242438891574
ACH-000021,-0.41135136540100004
ACH-000022,-0.21573725522
ACH-000025,-0.21351186104699998
ACH-000028,-0.23973862065200002
ACH-000030,-0.223190050302
ACH-000035,-0.178197662911
ACH-000036,-0.278059709316
ACH-000037,-0.07143628073750001
ACH-000039,-0.273576234982
ACH-000040,-0.26345894505999995
ACH-000041,-0.18587799198199997
ACH-000042,-0.421229741695
ACH-000045,-0.492997418158
ACH-000047,-0.0567341402013
ACH-000052,-0.201369106713
ACH-000053,-0.3829883864
ACH-000054,-0.48503803003999996
ACH-000055,-0.0404237264141
ACH-000060,-0.190916955733
ACH-000067,-0.22121607304000002
ACH-000070,-0.352421591905
ACH-000075,-0.333984366791
ACH-000078,-0.544101145211
ACH-000082,-0.129671022155
ACH-000085,-0.121486422706
ACH-000086,-0.412004582153
ACH-000087,0.0368046763116
ACH-000092,-0.234483577284
ACH-000095,-0.12734973120100002
ACH-000097,-0.228570780891
ACH-000098,-0.3317335953
ACH-000099,-0.42624416985799995
ACH-000108,-0.327005282151
ACH-000113,-0.237275869434
ACH-000115,-0.217118579593
ACH-000116,-0.428025665713
ACH-000118,-0.42752709899700003
ACH-000120,-0.357111917789
ACH-000123,-0.335900953001
ACH-000127,-0.323910476303
ACH-000128,-0.46009946439800004
ACH-000132,-0.20344103731899998
ACH-000133,-0.0427786024744
ACH-000137,-0.315861556895
ACH-000138,-0.39588426204099997
ACH-000142,-0.295312487209
ACH-000143,-0.194562054452
ACH-000146,-0.31474540477699997
ACH-000148,-0.212327820783
ACH-000150,-0.564973596285
ACH-000152,-0.269904883032
ACH-000153,-0.308563475738
ACH-000159,-0.29949729944000003
ACH-000160,-0.27911577831900003
ACH-000163,-0.27259738161499997
ACH-000167,-0.562729003949
ACH-000168,-0.342839153284
ACH-000169,-0.21725218669100002
ACH-000178,-0.198833080632
ACH-000182,-0.314624347376
ACH-000183,-0.132475474974
ACH-000188,-0.134032402959
ACH-000189,-0.390113847281
ACH-000190,-0.134312010113
ACH-000198,-0.26078089076
ACH-000204,-0.50483681328
ACH-000206,0.00379254395289
ACH-000207,-0.615881022595
ACH-000211,-0.348057289974
ACH-000215,-0.24086902875100002
ACH-000221,-0.316297751626
ACH-000222,-0.414615711122
ACH-000223,-0.335074104928
ACH-000226,-0.257900717921
ACH-000227,-0.48783162785800005
ACH-000228,-0.298963576819
ACH-000231,-0.330519352414
ACH-000232,-0.33770609774899996
ACH-000233,-0.399005612033
ACH-000234,-0.5802706216179999
ACH-000235,-0.276746626259
ACH-000237,-0.288661526427
ACH-000238,-0.21119436610300002
ACH-000243,-0.399424789784
ACH-000244,-0.38863037499799996
ACH-000246,-0.221540931166
ACH-000248,-0.1885242384
ACH-000250,-0.19590386187699999
ACH-000251,-0.38619305994099995
ACH-000253,-0.14054094939099998
ACH-000255,-0.316151278395
