,TUBB2A (7280)
ACH-000004,-0.12999876455
ACH-000007,-0.218531867076
ACH-000009,-0.176460124893
ACH-000011,-0.15471324120899999
ACH-000012,-0.229360644762
ACH-000013,-0.0640851129573
ACH-000014,-0.5418491622680001
ACH-000015,-0.114628429832
ACH-000017,-0.263955549584
ACH-000018,-0.359404643848
ACH-000019,-0.135412279198
ACH-000021,-0.0894418354201
ACH-000022,-0.198327805533
ACH-000025,-0.405843116799
ACH-000028,-0.08710302922310001
ACH-000030,-0.062686890498
ACH-000035,0.16299419344000002
ACH-000036,-0.236442928659
ACH-000037,-0.24084442683600002
ACH-000039,0.153078659088
ACH-000040,-0.356927705818
ACH-000041,-0.222514141369
ACH-000042,-0.0997965296212
ACH-000045,-0.35830780129100004
ACH-000047,0.00510004151104
ACH-000052,-0.157817257977
ACH-000053,-0.167446137149
ACH-000054,-0.286823185132
ACH-000055,-0.34013415285
ACH-000060,-0.26140350362
ACH-000067,-0.447653191285
ACH-000070,-0.239865289489
ACH-000075,-0.255409491058
ACH-000078,-0.09496983685799999
ACH-000082,-0.332388322684
ACH-000085,-0.17297261944200001
ACH-000086,-0.308249017466
ACH-000087,-0.40025029272
ACH-000092,-0.331568940218
ACH-000095,-0.236708934269
ACH-000097,-0.0341014197072
ACH-000098,-0.260141376446
ACH-000099,-0.0689658581586
ACH-000108,-0.213431839927
ACH-000113,-0.038010528588800004
ACH-000115,-0.04696576736330001
ACH-000116,-0.0383591807851
ACH-000118,-0.053787714920100003
ACH-000120,-0.21247602592099998
ACH-000123,-0.146590630326
ACH-000127,-0.323637214659
ACH-000128,-0.271576239025
ACH-000132,-0.00329618391131
ACH-000133,-0.229320069704
ACH-000137,-0.283971035016
ACH-000138,-0.145942858542
ACH-000142,-0.307829977395
ACH-000143,-0.190336395632
ACH-000146,-0.154300305901
ACH-000148,-0.13595758024000001
ACH-000150,-0.167330576599
ACH-000152,-0.14733926353399998
ACH-000153,-0.127228309966
ACH-000159,-0.0264102177079
ACH-000160,-0.204871308059
ACH-000163,0.0379880910149
ACH-000167,-0.0850186588676
ACH-000168,-0.455051166849
ACH-000169,-0.260918923773
ACH-000178,-0.14206433206
ACH-000182,-0.230580564309
ACH-000183,-0.188329089734
ACH-000188,0.00191942369631
ACH-000189,-0.409784309172
ACH-000190,0.0059807389376499995
ACH-000198,-0.238462580125
ACH-000204,-0.24045374804900002
ACH-000206,-0.0793170424202
ACH-000207,-0.19720410657600002
ACH-000211,-0.16717156873400002
ACH-000215,-0.263647154031
ACH-000221,-0.040193512511499996
ACH-000222,-0.252158266861
ACH-000223,-0.215799001156
ACH-000226,-0.146222632128
ACH-000227,-0.199533191416
ACH-000228,-0.19744840678
ACH-000231,-0.372310214454
ACH-000232,-0.177654528122
ACH-000233,-0.144118258148
ACH-000234,-0.294908714834
ACH-000235,-0.0544204029541
ACH-000237,-0.42622500708899996
ACH-000238,-0.24180488608800002
ACH-000243,-0.0014728815596000001
ACH-000244,-0.07346853507130001
ACH-000246,-0.200330607488
ACH-000248,-0.326190154306
ACH-000250,-0.448634577134
ACH-000251,-0.25845385629900003
ACH-000253,-0.159328978342
ACH-000255,-0.0369751700765
ACH-000256,-0.0149209376305
ACH-000257,-0.184713607696
ACH-000258,-0.136861916168
ACH-000259,-0.146656569649
ACH-000260,-0.178933755147
