,CRYGB (1419)
ACH-000004,-0.597319874891
ACH-000007,-0.499930450437
ACH-000009,-0.41663080488700005
ACH-000011,-0.0549556632749
ACH-000012,-0.31927875874899997
ACH-000013,-0.252573534333
ACH-000014,-0.334890627821
ACH-000015,-0.242522326754
ACH-000017,-0.343803693255
ACH-000018,-0.22327464079700002
ACH-000019,-0.424282177592
ACH-000021,-0.260181194626
ACH-000022,-0.44985962525
ACH-000025,-0.134947279763
ACH-000028,-0.192080296616
ACH-000030,-0.152203526748
ACH-000035,0.194344457013
ACH-000036,-0.365555880283
ACH-000037,-0.472637844079
ACH-000039,-0.330172878398
ACH-000040,-0.289065363095
ACH-000041,-0.23563596245700003
ACH-000042,-0.450988838782
ACH-000045,-0.418130079221
ACH-000047,-0.21245210174600002
ACH-000052,-0.49213485805
ACH-000053,-0.287806757598
ACH-000054,-0.290368690199
ACH-000055,-0.0791975404422
ACH-000060,-0.277719974541
ACH-000067,-0.41314111429300004
ACH-000070,-0.33233809938299996
ACH-000075,-0.0791410744853
ACH-000078,-0.253769213198
ACH-000082,-0.40799450108499996
ACH-000085,-0.327743492404
ACH-000086,-0.39116343117700003
ACH-000087,-0.21958112230000001
ACH-000092,-0.24842422532800001
ACH-000095,-0.28396008350900004
ACH-000097,-0.132499757873
ACH-000098,-0.330552683712
ACH-000099,-0.338595025678
ACH-000108,-0.34995868823700005
ACH-000113,-0.290082708275
ACH-000115,-0.213821365893
ACH-000116,-0.281406907044
ACH-000118,-0.305021586273
ACH-000120,-0.233274539562
ACH-000123,-0.304976209107
ACH-000127,-0.369719762799
ACH-000128,-0.648511338408
ACH-000132,-0.303129420178
ACH-000133,-0.37581555160700003
ACH-000137,-0.306625772169
ACH-000138,-0.375668482219
ACH-000142,-0.26777801849
ACH-000143,-0.496249878067
ACH-000146,-0.255547802067
ACH-000148,-0.325097614274
ACH-000150,-0.339201771663
ACH-000152,-0.278613927636
ACH-000153,-0.536291890412
ACH-000159,-0.239541000385
ACH-000160,-0.24741405795000002
ACH-000163,-0.502902827179
ACH-000167,-0.273000083238
ACH-000168,-0.502258432382
ACH-000169,-0.222582728541
ACH-000178,-0.319287591499
ACH-000182,-0.281033189607
ACH-000183,-0.235295583203
ACH-000188,-0.323510773494
ACH-000189,-0.510606505335
ACH-000190,-0.41268364039899996
ACH-000198,-0.378229363884
ACH-000204,-0.577048562193
ACH-000206,-0.349927926045
ACH-000207,-0.17489202384599997
ACH-000211,-0.425071221387
ACH-000215,-0.317275037717
ACH-000221,-0.36010944219700003
ACH-000222,-0.10608214280099999
ACH-000223,-0.229366742623
ACH-000226,-0.36123839770800004
ACH-000227,-0.36689219904799997
ACH-000228,-0.24806062496800002
ACH-000231,-0.38097951344400005
ACH-000232,-0.28642353531
ACH-000233,-0.355370228076
ACH-000234,-0.440871740093
ACH-000235,-0.299891190869
ACH-000237,-0.332291663019
ACH-000238,-0.253216137723
ACH-000243,-0.282534701152
ACH-000244,-0.396772018896
ACH-000246,-0.360480822635
ACH-000248,-0.228908426017
ACH-000250,-0.38835776101499997
ACH-000251,-0.587248108174
ACH-000253,-0.359888818073
ACH-000255,-0.24947783555999997
ACH-000256,-0.19629574368299998
ACH-000257,-0.472935323292
ACH-000258,-0.124518101064
ACH-000259,-0.195740080843
ACH-000260,-0.141738952857
ACH-000261,-0.302368261719
ACH-000262,-0.251178844983
ACH-000263,-0.237061695099
ACH-000264,-0.24294242175900002
ACH-000265,-0.316811181933
ACH-000266,-0.295481819601
ACH-000272,-0.350449478393
ACH-000273,-0.336858114537
ACH-000274,-0.391249717233
ACH-000277,-0.17906962288400002
ACH-000278,-0.281822436359
ACH-000279,-0.354945527916
ACH-000280,-0.13511804535900002
ACH-000281,-0.331365704476
ACH-000288,-0.38570708591200004
ACH-000291,-0.403219714163
ACH-000293,-0.21528279154899999
ACH-000294,-0.448385811948
ACH-000295,-0.336501275919
ACH-000296,-0.0801761258942
ACH-000302,-0.204243290368
ACH-000304,-0.178374687721
ACH-000307,-0.479633163666
ACH-000308,-0.359710857671
ACH-000310,-0.43105672780500004
ACH-000311,-0.37264956774
ACH-000312,-0.279122854664
ACH-000315,-0.399915223035
ACH-000316,-0.434476659286
ACH-000317,-0.49074024199199995
ACH-000318,-0.127882070859
ACH-000319,-0.237911364425
ACH-000320,-0.209511165116
ACH-000322,0.022439787144
ACH-000323,-0.218005845647
ACH-000324,-0.312197746716
ACH-000329,-0.668839356266
ACH-000330,-0.38205473471199997
ACH-000331,-0.27766123428899997
ACH-000332,-0.301899508132
ACH-000334,-0.284483500241
ACH-000335,-0.434578600889
ACH-000336,-0.07936733139539999
ACH-000337,-0.32439920893699997
ACH-000339,-0.312935042065
ACH-000341,-0.183943234229
ACH-000348,-0.299681190002
ACH-000350,-0.144548380015
ACH-000352,-0.231539264216
ACH-000356,-0.358178883071
ACH-000361,-0.44007013081
ACH-000362,-0.196047300912
ACH-000363,-0.365059708209
ACH-000364,-0.180085607064
ACH-000365,-0.397773937769
ACH-000366,-0.264531967855
ACH-000368,-0.4992144664
ACH-000374,-0.311921263742
ACH-000375,-0.41158403257299997
ACH-000376,-0.376363524207
ACH-000381,-0.359159615332
ACH-000383,-0.325899503857
ACH-000387,-0.293842690115
ACH-000389,-0.47726185113200004
ACH-000390,-0.427311708348
ACH-000393,-0.5303560709049999
ACH-000395,-0.19274333359200002
ACH-000397,-0.258301462716
ACH-000401,-0.309666821909
ACH-000402,-0.16742150455600002
ACH-000403,-0.481809091454
ACH-000404,-0.323402755939
ACH-000406,-0.273282434074
ACH-000407,-0.40237165714199996
ACH-000408,-0.273089870749
ACH-000410,-0.34119964614500004
ACH-000411,-0.307108300979
ACH-000414,-0.15933327343599998
ACH-000415,-0.36382944153999996
ACH-000416,-0.23335770751899998
ACH-000420,-0.37145225016000005
ACH-000421,-0.14410667649800002
ACH-000424,-0.363588748674
ACH-000425,-0.283818537171
ACH-000426,-0.33453729417399997
ACH-000427,-0.45178429231399997
ACH-000433,-0.246680027044
ACH-000436,-0.511821039954
ACH-000444,-0.349515008104
ACH-000445,-0.45902624645900003
ACH-000448,-0.212531232369
ACH-000450,-0.279753884665
ACH-000452,-0.28467613782900003
ACH-000454,-0.333387115231
ACH-000458,-0.0751525989331
ACH-000459,-0.27679254501899997
ACH-000460,-0.327101681963
ACH-000461,-0.324160593079
ACH-000463,-0.43923769973300003
ACH-000464,-0.243822161593
ACH-000466,-0.26791665624
ACH-000467,-0.36046129778999997
ACH-000468,-0.305289206548
ACH-000469,-0.276710233972
ACH-000470,-0.444950581566
ACH-000471,-0.313595789852
ACH-000472,-0.260181160172
ACH-000473,-0.135681283499
ACH-000475,-0.44363062111699997
ACH-000476,-0.217939536732
ACH-000477,-0.119056951668
ACH-000480,-0.29284701192400003
ACH-000481,-0.311087272275
ACH-000483,-0.13722363316
ACH-000484,-0.443508510653
ACH-000485,-0.46444591687700004
ACH-000486,-0.35277403138499996
ACH-000487,-0.5077129433049999
ACH-000488,-0.34069384589199997
ACH-000490,-0.330349664315
ACH-000491,-0.41526780460199997
ACH-000495,-0.370696077314
ACH-000496,-0.42537853207099996
ACH-000499,-0.169773180258
ACH-000500,-0.365467253033
ACH-000502,-0.255219937832
ACH-000503,-0.214372149179
ACH-000505,-0.27938568754099996
ACH-000507,-0.249106817427
ACH-000510,-0.319946088922
ACH-000511,-0.464063912531
ACH-000512,-0.803927029785
ACH-000516,-0.40689306358499994
ACH-000517,-0.291882312051
ACH-000518,-0.559582251727
ACH-000520,-0.534590534106
ACH-000521,-0.512233553472
ACH-000522,-0.39042749259900006
ACH-000524,-0.122267719461
ACH-000527,-0.266512427543
ACH-000528,-0.40860901766400004
ACH-000537,-0.190750546217
ACH-000541,-0.287841271923
ACH-000542,-0.27359610051800004
ACH-000544,-0.340625532148
ACH-000545,-0.279009466454
ACH-000547,-0.33449407376400003
ACH-000548,-0.400195206702
ACH-000549,-0.318454943156
ACH-000550,-0.441505722111
ACH-000552,-0.41261413428599997
ACH-000556,-0.23411154227800002
ACH-000557,-0.42250600839100005
ACH-000570,-0.214855973999
ACH-000571,-0.186241849064
ACH-000573,-0.383558753458
ACH-000576,-0.305947728276
ACH-000580,-0.291079941992
ACH-000584,-0.256901683808
ACH-000585,-0.299038896048
ACH-000588,-0.122339258989
ACH-000589,-0.224621569955
ACH-000591,-0.521080989651
ACH-000593,-0.361798442403
ACH-000600,-0.453483316862
ACH-000601,-0.190216667022
ACH-000604,-0.44998178418300006
ACH-000605,-0.34027603759
ACH-000606,-0.255704366063
ACH-000608,-0.20547704761500002
ACH-000614,-0.293488143384
ACH-000616,-0.341995210398
ACH-000618,-0.31905013476
ACH-000619,-0.335422418826
ACH-000620,-0.184680700084
ACH-000621,-0.477599418552
ACH-000622,-0.433090379247
ACH-000623,-0.38384828206200006
ACH-000624,-0.358626361605
ACH-000627,-0.490242218317
ACH-000630,-0.23536067374000003
ACH-000632,-0.35544943418799996
ACH-000633,-0.40685436647600004
ACH-000637,-0.31056975639
ACH-000638,-0.138178466997
ACH-000646,-0.11391024379
ACH-000647,-0.255744654619
ACH-000648,-0.547100635634
ACH-000649,-0.486465644934
ACH-000651,-0.251488320056
ACH-000652,-0.381977727383
ACH-000653,-0.169981476563
ACH-000657,-0.22275391240200001
ACH-000658,-0.219030267637
ACH-000661,-0.388896554287
ACH-000662,-0.152111061969
ACH-000663,-0.229318572602
ACH-000665,-0.354075265578
ACH-000671,-0.32680200222399997
ACH-000673,-0.402551650597
ACH-000676,-0.28711357177700003
ACH-000677,-0.329650822111
ACH-000681,-0.183925366867
ACH-000682,-0.494599003751
ACH-000683,-0.29555478532699997
ACH-000684,-0.177296165936
ACH-000688,-0.178316101814
ACH-000693,-0.262278841852
ACH-000694,-0.248539383679
ACH-000695,-0.6173315547730001
ACH-000696,-0.297724767848
ACH-000697,-0.5626688054119999
ACH-000699,-0.15486359810699998
