,MARCKSL1 (65108)
ACH-000004,0.0620959846749
ACH-000007,-0.544084559044
ACH-000009,-0.263062262105
ACH-000011,-0.338706611522
ACH-000012,-0.32921738951900004
ACH-000013,-0.398001774927
ACH-000014,-0.27335740629099997
ACH-000015,-0.200719919459
ACH-000017,0.0038060179049499996
ACH-000018,-0.22123200356
ACH-000019,-0.131473096835
ACH-000021,-0.144006743381
ACH-000022,-0.177931020111
ACH-000025,-0.165562935962
ACH-000028,-0.195246348909
ACH-000030,-0.212555740438
ACH-000035,-0.197383822029
ACH-000036,-0.269027523013
ACH-000037,-0.256395567426
ACH-000039,-0.11050059427400001
ACH-000040,-0.18215605458099998
ACH-000041,-0.41507135526600003
ACH-000042,-0.21692455442800002
ACH-000045,-0.09481571274900001
ACH-000047,-0.25965877237
ACH-000052,-0.150404583162
ACH-000053,-0.0270996474221
ACH-000054,-0.205834730179
ACH-000055,-0.18770609233899999
ACH-000060,-0.208606619001
ACH-000067,-0.553519700352
ACH-000070,-0.196762836005
ACH-000075,-0.594880761773
ACH-000078,0.117772423717
ACH-000082,-0.25417089458000003
ACH-000085,-0.214473874115
ACH-000086,-0.325607462529
ACH-000087,-0.647944323013
ACH-000092,-0.316614608332
ACH-000095,-0.19378796988699998
ACH-000097,-0.224170682651
ACH-000098,-0.2369898262
ACH-000099,-0.0211190716457
ACH-000108,-0.17857341616300001
ACH-000113,-0.21635461999800001
ACH-000115,-0.0946028817691
ACH-000116,-0.227811533851
ACH-000118,-0.079239624614
ACH-000120,-0.0675188028858
ACH-000123,-0.136147789791
ACH-000127,-0.19967668022799998
ACH-000128,-0.39172983972
ACH-000132,-0.267267940559
ACH-000133,-0.30258209789900004
ACH-000137,-0.382999789915
ACH-000138,-0.263965108359
ACH-000142,-0.235335891494
ACH-000143,-0.11816711314799999
ACH-000146,-0.06033762896869999
ACH-000148,-0.393661413927
ACH-000150,-0.293281755135
ACH-000152,-0.278604998466
ACH-000153,-0.010537631825299999
ACH-000159,-0.322761790012
ACH-000160,-0.055592520418999994
ACH-000163,-0.18666511141800002
ACH-000167,-0.123478245689
ACH-000168,-0.0114129769567
ACH-000169,-0.126558638718
ACH-000178,-0.089511497183
ACH-000182,-0.154100620882
ACH-000183,-0.264772045133
ACH-000188,-0.186123521501
ACH-000189,-0.349335347008
ACH-000190,-0.184892483282
ACH-000198,-0.13452263159800001
ACH-000204,-0.44783000353600005
ACH-000206,-0.22314923316100002
ACH-000207,-0.261731001781
ACH-000211,-0.193649585832
ACH-000215,-0.292480171029
ACH-000221,-0.38697467478
ACH-000222,-0.0641549653798
ACH-000223,-0.273780487546
ACH-000226,-0.125019311689
ACH-000227,-0.201469586572
ACH-000228,-0.388884397098
ACH-000231,-0.219324226803
ACH-000232,-0.329200598658
ACH-000233,-0.0824734635157
ACH-000234,-0.18468959121599998
ACH-000235,-0.212927842439
ACH-000237,-0.111079246393
ACH-000238,-0.14057349935799998
ACH-000243,-0.15078864329299999
ACH-000244,-0.32290320481199997
ACH-000246,-0.197002205363
ACH-000248,-0.185872023577
ACH-000250,-0.23666821084800002
ACH-000251,-0.173902113721
ACH-000253,-0.334231910292
ACH-000255,-0.242210041248
ACH-000256,-0.302437081784
ACH-000257,-0.292910735958
ACH-000258,-0.199520636286
ACH-000259,-0.21789731556999997
ACH-000260,-0.159234686085
ACH-000261,-0.0947673345548
ACH-000262,-0.38557514448299995
ACH-000263,-0.0541746742976
ACH-000264,-0.152509226729
ACH-000265,-0.21054418627000002
ACH-000266,-0.050202536404
ACH-000272,-0.207668545881
ACH-000273,-0.219494304716
ACH-000274,-0.250073025013
ACH-000277,-0.233726929236
ACH-000278,-0.216108080364
ACH-000279,-0.309127391821
ACH-000280,-0.128746831959
ACH-000281,-0.0374678670945
ACH-000288,-0.46374560032799994
ACH-000291,-0.0807066525422
ACH-000293,-0.499620505061
ACH-000294,-0.128596902603
ACH-000295,-0.206868694188
ACH-000296,-0.148185050584
ACH-000302,-0.27621832958799997
ACH-000304,-0.485196138666
ACH-000307,-0.281991297154
ACH-000308,-0.0894026426418
ACH-000310,-0.102200055024
ACH-000311,-0.08792711230260002
ACH-000312,-0.31877748626999997
ACH-000315,-0.11602170611700001
ACH-000316,-0.30768664461999995
ACH-000317,-0.320954452317
ACH-000318,-0.0174529918189
ACH-000319,-0.241436940528
ACH-000320,-0.473486054796
ACH-000322,-0.30872572036
ACH-000323,-0.227750576605
ACH-000324,-0.291892753755
ACH-000329,-0.283670572924
ACH-000330,-0.203179489258
ACH-000331,-0.230608104318
ACH-000332,-0.240607910701
ACH-000334,-0.156804633881
ACH-000335,-0.199967818726
ACH-000336,-0.18311106188700002
ACH-000337,-0.23676712370900002
ACH-000339,-0.0574807423559
ACH-000341,-0.322657118508
ACH-000348,-0.186227510158
ACH-000350,-0.197293143427
ACH-000352,-0.360107756861
ACH-000356,-0.438658637422
ACH-000361,-0.41647150559600005
ACH-000362,-0.134006186096
ACH-000363,0.0266786030105
ACH-000364,-0.34380329312299995
ACH-000365,-0.14550998755300001
ACH-000366,-0.134932029165
ACH-000368,-0.384967445475
ACH-000374,-0.0026073125555
ACH-000375,-0.48446612373099995
ACH-000376,-0.310516754294
