,RFPL4B (442247)
ACH-000004,-0.0607957964915
ACH-000007,-0.22793693818100003
ACH-000009,-0.0394199009051
ACH-000011,-0.21274165512200002
ACH-000012,-0.21944003471700002
ACH-000013,-0.151335276377
ACH-000014,-0.12823781696699998
ACH-000015,-0.11418297565199999
ACH-000017,-0.169389951693
ACH-000018,-0.17087241902
ACH-000019,-0.26141533128100003
ACH-000021,-0.420915853875
ACH-000022,-0.203075719342
ACH-000025,-0.21508736601300002
ACH-000028,-0.21494197436299997
ACH-000030,-0.19431277110599998
ACH-000035,-0.0988611895414
ACH-000036,0.014217866904799998
ACH-000037,-0.295446933202
ACH-000039,-0.5181671539320001
ACH-000040,-0.10136945117999999
ACH-000041,-0.225045731527
ACH-000042,-0.240562848825
ACH-000045,-0.0596810767123
ACH-000047,-0.368940340632
ACH-000052,-0.230435957833
ACH-000053,-0.17391490048500002
ACH-000054,-0.114670677961
ACH-000055,-0.261425664005
ACH-000060,-0.17927651212600001
ACH-000067,-0.222704554415
ACH-000070,-0.180712412425
ACH-000075,-0.24546478261799998
ACH-000078,-0.49674654024099996
ACH-000082,-0.24781546039900001
ACH-000085,0.0431859391186
ACH-000086,-0.114024523789
ACH-000087,-0.6374781637820001
ACH-000092,-0.272635592573
ACH-000095,-0.0729313059649
ACH-000097,-0.145304011497
ACH-000098,-0.178570164192
ACH-000099,-0.35878051478100004
ACH-000108,-0.256907543482
ACH-000113,-0.0497496601544
ACH-000115,-0.24919657493900002
ACH-000116,-0.23133302856899998
ACH-000118,-0.210011708316
ACH-000120,-0.40516195724699994
ACH-000123,-0.203125333467
ACH-000127,-0.281143892892
ACH-000128,-0.193141765964
ACH-000132,-0.14439026704900002
ACH-000133,-0.0061392338762
ACH-000137,-0.327136603664
ACH-000138,-0.0601311479562
ACH-000142,-0.164371239948
ACH-000143,-0.213136686917
ACH-000146,-0.0991508405412
ACH-000148,-0.114472325224
ACH-000150,-0.27668646588199997
ACH-000152,-0.17209975566100003
ACH-000153,-0.313437121043
ACH-000159,-0.120616117871
ACH-000160,-0.100505534231
ACH-000163,-0.216074014932
ACH-000167,-0.062103968517699996
ACH-000168,-0.007515905979140001
ACH-000169,-0.11168075225099999
ACH-000178,-0.0635740921755
ACH-000182,-0.0817874365398
ACH-000183,-0.151189328203
ACH-000188,-0.07012761582100001
ACH-000189,0.374159917838
ACH-000190,-0.260126760485
ACH-000198,-0.118165362458
ACH-000204,-0.26092119834399996
ACH-000206,-0.036321016236900004
ACH-000207,0.000425449355382
ACH-000211,-0.0888944437114
ACH-000215,-0.11649221663499999
ACH-000221,-0.0285128191868
