,CHRNA9 (55584)
ACH-000004,0.0108053235109
ACH-000007,-0.054108927296900006
ACH-000009,-0.18144354242600003
ACH-000011,-0.264956253609
ACH-000012,-0.137216800989
ACH-000013,-0.121406267353
ACH-000014,-0.328432244261
ACH-000015,-0.19815008196199999
ACH-000017,-0.295476263472
ACH-000018,-0.07012771503010001
ACH-000019,-0.236666755497
ACH-000021,-0.203324166476
ACH-000022,-0.23063675972800002
ACH-000025,-0.165928488488
ACH-000028,-0.289519604227
ACH-000030,-0.202241957085
ACH-000035,-0.113804643941
ACH-000036,-0.33077937241099997
ACH-000037,-0.0940711880564
ACH-000039,-0.36357734554300003
ACH-000040,-0.317239117876
ACH-000041,-0.23125104745
ACH-000042,-0.147906598395
ACH-000045,-0.18583738202
ACH-000047,-0.18700819105
ACH-000052,-0.286830232546
ACH-000053,-0.203701119452
ACH-000054,-0.19810794363499998
ACH-000055,0.0252903760574
ACH-000060,-0.0828382564917
ACH-000067,-0.10341468149599999
ACH-000070,-0.279495145209
ACH-000075,0.08658901633189998
ACH-000078,-0.07884452839480001
ACH-000082,-0.07680586472630001
ACH-000085,-0.254553166096
ACH-000086,-0.126462659142
ACH-000087,-0.327507722968
ACH-000092,-0.119341268016
ACH-000095,-0.150071917037
ACH-000097,0.08831217990080001
ACH-000098,-0.0327365525199
ACH-000099,-0.320744068082
ACH-000108,0.0503210359942
ACH-000113,-0.0580661120795
ACH-000115,-0.27263410339899996
ACH-000116,-0.164851807267
ACH-000118,-0.23277195529300002
ACH-000120,-0.09923259399949999
ACH-000123,-0.118651677556
ACH-000127,-0.24152100049400002
ACH-000128,-0.20407403832499998
ACH-000132,-0.223073380625
ACH-000133,-0.400553323574
ACH-000137,-0.14947898659199998
ACH-000138,-0.0475639112879
ACH-000142,-0.322263616677
ACH-000143,-0.07651890011260001
ACH-000146,-0.17491026368
ACH-000148,-0.168348584525
ACH-000150,-0.0178540216642
ACH-000152,-0.118175285309
ACH-000153,-0.0686996114481
ACH-000159,-0.10824762622400001
ACH-000160,-0.334259365727
ACH-000163,-0.121122374001
ACH-000167,-0.164475710681
ACH-000168,-0.16940153513
ACH-000169,-0.258263377689
ACH-000178,-0.0679987136118
ACH-000182,-0.21292179728100002
ACH-000183,-0.0977313754538
ACH-000188,-0.246085755356
ACH-000189,-0.22973228139600002
ACH-000190,0.0655361444002
