,UBL5 (59286)
ACH-000004,-1.59260945444
ACH-000007,-1.5085342238600001
ACH-000009,-1.6884225129799997
ACH-000011,-1.41809705369
ACH-000012,-1.50198673108
ACH-000013,-1.8166983577200002
ACH-000014,-1.48793113926
ACH-000015,-1.4532324318799998
ACH-000017,-1.30952090531
ACH-000018,-1.2402292025200001
ACH-000019,-1.8922860879799999
ACH-000021,-1.45739973664
ACH-000022,-1.6279953515799999
ACH-000025,-1.50173795355
ACH-000028,-1.5863051665999999
ACH-000030,-1.66985911549
ACH-000035,-1.16885442794
ACH-000036,-1.4588675638
ACH-000037,-0.7814664832100001
ACH-000039,-1.18560654503
ACH-000040,-1.46541122959
ACH-000041,-1.5721795041100002
ACH-000042,-1.34831934555
ACH-000045,-1.57746343165
ACH-000047,-1.5617333093999999
ACH-000052,-1.50820941671
ACH-000053,-1.5160161634600002
ACH-000054,-1.49976764466
ACH-000055,-1.05238021947
ACH-000060,-1.1580111174299998
ACH-000067,-1.28616320305
ACH-000070,-1.9306523838099998
ACH-000075,-1.23059813
ACH-000078,-1.5121607986599999
ACH-000082,-1.74244353345
ACH-000085,-1.3031079378000001
ACH-000086,-1.4560813223299998
ACH-000087,-1.12938419401
ACH-000092,-1.59380276343
ACH-000095,-1.59371078089
ACH-000097,-1.6042123506600001
ACH-000098,-1.58849924629
ACH-000099,-1.70399497773
ACH-000108,-1.3473518398500002
ACH-000113,-1.65329254701
ACH-000115,-1.60363572757
ACH-000116,-1.47167649664
ACH-000118,-1.1536116428
ACH-000120,-1.2585802493
ACH-000123,-1.3428792583899998
ACH-000127,-1.59403095716
ACH-000128,-1.3666696597299999
ACH-000132,-1.5258222479199999
ACH-000133,-1.55573477893
ACH-000137,-1.7047544009
ACH-000138,-1.44981147748
ACH-000142,-1.53730523628
ACH-000143,-1.77542047151
ACH-000146,-2.23913934556
ACH-000148,-1.45504362495
ACH-000150,-1.46848859261
ACH-000152,-1.7650758043700001
ACH-000153,-0.7174962382619999
ACH-000159,-1.70296908939
ACH-000160,-1.70250593997
ACH-000163,-1.39524624393
ACH-000167,-1.9504884982599997
ACH-000168,-1.54127128681
ACH-000169,-1.5446895247
ACH-000178,-1.51494014294
ACH-000182,-1.59548221907
ACH-000183,-1.64090902725
ACH-000188,-1.40535552023
ACH-000189,-1.77057377382
ACH-000190,-1.6142862584200002
ACH-000198,-1.7362833114900003
ACH-000204,-1.7580918905900003
