,HLA-B (3106)
ACH-000004,-0.163080494537
ACH-000007,0.0804812360426
ACH-000009,-0.0454877827678
ACH-000011,-0.209220701108
ACH-000012,-0.0262778662817
ACH-000013,-0.0402018257366
ACH-000014,-0.40692605791599995
ACH-000015,0.159112440011
ACH-000017,-0.0342007854355
ACH-000018,-0.06553504275769999
ACH-000019,-0.25013189718
ACH-000021,-0.014649391565399999
ACH-000022,0.103055577706
ACH-000025,-0.10702556928200001
ACH-000028,0.0727447928769
ACH-000030,0.00489504012091
ACH-000035,0.0403285574371
ACH-000036,-0.149887949736
ACH-000037,-0.118785786367
ACH-000039,0.101688264459
ACH-000040,0.049226772809300004
ACH-000041,0.15946145185900001
ACH-000042,0.0610639962536
ACH-000045,-0.281353182603
ACH-000047,-0.15883122203800001
ACH-000052,-0.0027309369117
ACH-000053,-0.0954463121548
ACH-000054,0.0457829126485
ACH-000055,-0.180670064857
ACH-000060,-0.20097795019499998
ACH-000067,-0.227809235699
ACH-000070,-0.38652200425899996
ACH-000075,0.203839580871
ACH-000078,-0.147986938236
ACH-000082,-0.152101456489
ACH-000085,-0.420290925981
ACH-000086,0.134707972142
ACH-000087,-0.243786950572
ACH-000092,0.0854117724977
ACH-000095,-0.284354698324
ACH-000097,-0.147390722282
ACH-000098,0.0468602328158
ACH-000099,-0.05465060026819999
ACH-000108,0.30588062395
ACH-000113,-0.007952970630739999
ACH-000115,-0.0635269223418
ACH-000116,-0.13299641181900002
ACH-000118,0.182499226012
ACH-000120,-0.0162286390568
ACH-000123,0.116769089161
ACH-000127,-0.0236488632105
ACH-000128,-0.384861897951
ACH-000132,0.14897885002699998
ACH-000133,-0.09109087838510001
ACH-000137,-0.31365614110199996
ACH-000138,-0.057471167048399996
ACH-000142,0.17457323428899998
ACH-000143,0.145483514271
ACH-000146,0.051727062856099994
ACH-000148,0.0925755602351
ACH-000150,0.11949894177100001
ACH-000152,-0.185660618748
ACH-000153,-0.33498593359
ACH-000159,0.026018264415599998
ACH-000160,-0.0634377945619
ACH-000163,0.0297948612728
ACH-000167,-0.35043335221
ACH-000168,0.00888258598834
ACH-000169,-0.0893226601117
ACH-000178,-0.0423990787051
