,AFG3L2 (10939)
ACH-000004,-0.937419766934
ACH-000007,-1.16027014357
ACH-000009,-0.9626961891689999
ACH-000011,-1.24698468647
ACH-000012,-0.904537520617
ACH-000013,-0.936470778968
ACH-000014,-0.85251017992
ACH-000015,-1.04463771285
ACH-000017,-1.2857397262799999
ACH-000018,-1.50211753108
ACH-000019,-1.6133204029100001
ACH-000021,-0.958653238652
ACH-000022,-1.17500447764
ACH-000025,-0.843692360959
ACH-000028,-1.25952030785
ACH-000030,-1.05684760184
ACH-000035,-1.0129877233600002
ACH-000036,-0.79303692404
ACH-000037,-1.51089160385
ACH-000039,-1.05547294067
ACH-000040,-1.2052741827700002
ACH-000041,-1.0710603940299999
ACH-000042,-0.9709764958949999
ACH-000045,-0.7130248838169999
ACH-000047,-0.964781101414
ACH-000052,-1.3272395004000002
ACH-000053,-1.00735012761
ACH-000054,-1.0495436034399999
ACH-000055,-0.9516369850399999
ACH-000060,-1.2396580574200002
ACH-000067,-0.936261202902
ACH-000070,-0.980135249393
ACH-000075,-0.7853347550409999
ACH-000078,-0.8056353675010001
ACH-000082,-0.6959549879000001
ACH-000085,-1.16886090699
ACH-000086,-1.42499609454
ACH-000087,-1.5480449266999998
ACH-000092,-1.08089091994
ACH-000095,-0.785250492248
ACH-000097,-1.09949536784
ACH-000098,-1.25914731263
ACH-000099,-1.04661434463
ACH-000108,-1.09677061033
ACH-000113,-0.9498178161319999
ACH-000115,-1.0353913621200002
ACH-000116,-1.34687224765
ACH-000118,-0.920766703876
ACH-000120,-1.11049198904
ACH-000123,-0.972596626566
ACH-000127,-0.989051271526
ACH-000128,-1.01589792797
ACH-000132,-1.1483676310600002
ACH-000133,-0.793934490071
ACH-000137,-0.997327515151
ACH-000138,-1.26571957384
ACH-000142,-1.2060841910299998
ACH-000143,-1.1381567073
ACH-000146,-0.9337073260959999
ACH-000148,-0.9356875969490001
ACH-000150,-1.29067491423
ACH-000152,-1.1013267687600001
ACH-000153,-0.784290592174
ACH-000159,-1.1534933134899998
ACH-000160,-1.4315435291999998
ACH-000163,-0.897909393315
ACH-000167,-1.17231474229
ACH-000168,-1.05315267074
ACH-000169,-0.964655392644
ACH-000178,-1.07549933376
ACH-000182,-1.43136544766
ACH-000183,-0.9617906124339999
ACH-000188,-1.03501223765
ACH-000189,-1.43089616164
ACH-000190,-1.25399488109
ACH-000198,-1.0115605828
ACH-000204,-1.49490163617
ACH-000206,-1.08660282312
ACH-000207,-1.35028319998
ACH-000211,-1.37067222848
ACH-000215,-1.27878465843
ACH-000221,-1.3021358893100001
ACH-000222,-1.24234223551
ACH-000223,-1.0265203385200001
ACH-000226,-1.13564361282
ACH-000227,-0.51278543292
ACH-000228,-1.33697726129
ACH-000231,-0.870094432728
ACH-000232,-1.24339122335
ACH-000233,-0.999089522809
ACH-000234,-0.939353770976
ACH-000235,-1.01993645691
ACH-000237,-0.241401560141
ACH-000238,-1.15090323528
ACH-000243,-1.1686248702200002
ACH-000244,-1.22636909969
ACH-000246,-1.18258106155
ACH-000248,-0.994857256399
ACH-000250,-1.2134204386399998
ACH-000251,-1.1982098369499998
ACH-000253,-1.38680952795
ACH-000255,-1.09740353942
ACH-000256,-1.03676380949
ACH-000257,-1.18707333067
ACH-000258,-0.7640892583230001
ACH-000259,-1.0801006417899999
ACH-000260,-0.8604164185969999
ACH-000261,-0.6769364777770001
ACH-000262,-1.0559377669399999
ACH-000263,-0.894871329461
ACH-000264,-1.2401027411
ACH-000265,-1.00681223642
ACH-000266,-0.839570804799
ACH-000272,-1.0224465533
ACH-000273,-1.11732305895
ACH-000274,-1.7052912418900001
ACH-000277,-1.19141423171
ACH-000278,-0.8502758304279999
ACH-000279,-0.930699095007
ACH-000280,-0.8174462726299999
ACH-000281,-1.20664476938
ACH-000288,-1.2552526792299998
ACH-000291,-0.9975046415819999
ACH-000293,-0.957699374423
ACH-000294,-0.665284518949
ACH-000295,-0.847978050132
ACH-000296,-1.17523668827
ACH-000302,-1.0523553112000001
ACH-000304,-1.06795273285
ACH-000307,-0.891636787173
ACH-000308,-1.4311847497699999
ACH-000310,-0.672456687196
ACH-000311,-1.19115111721
ACH-000312,-1.12461006575
ACH-000315,-0.609995545284
ACH-000316,-1.12715929011
ACH-000317,-0.872116504947
ACH-000318,-1.19229387805
ACH-000319,-0.6850433047579999
ACH-000320,-0.890778085706
ACH-000322,-0.9872297281029999
ACH-000323,-1.2996767914799998
ACH-000324,-1.16325303471
ACH-000329,-1.0256312227
ACH-000330,-1.39591293462
ACH-000331,-0.9846958829870001
ACH-000332,-0.990947565158
ACH-000334,-0.746467358374
ACH-000335,-1.05080462232
ACH-000336,-0.917817219296
ACH-000337,-1.23028496044
ACH-000339,-0.49325387252700004
ACH-000341,-0.71389695397
ACH-000348,-1.12908537595
ACH-000350,-0.9759823337569999
ACH-000352,-1.09457536522
ACH-000356,-1.06082430392
ACH-000361,-1.17351403356
ACH-000362,-0.856116497944
ACH-000363,-0.884459437485
ACH-000364,-0.969200671042
ACH-000365,-0.724841159905
ACH-000366,-0.8770836393989999
ACH-000368,-1.31664348195
ACH-000374,-1.2875955647
ACH-000375,-0.7243426175900001
ACH-000376,-1.0588000668700002
ACH-000381,-1.17909796537
ACH-000383,-1.3651202123500001
ACH-000387,-0.9780011112610001
ACH-000389,-0.9076390447210001
ACH-000390,-1.3097144483299998
ACH-000393,-0.933539031286
ACH-000395,-1.55862262028
ACH-000397,-0.905431987855
ACH-000401,-1.0865468399
ACH-000402,-1.1581846788299999
ACH-000403,-1.6882113563499999
ACH-000404,-1.23306498521
ACH-000406,-0.815151975539
ACH-000407,-0.911808441485
ACH-000408,-1.3060524040000001
ACH-000410,-1.00985153333
ACH-000411,-1.1155214657899999
ACH-000414,-1.0825538352600002
ACH-000415,-1.2094903795
ACH-000416,-0.721047795856
ACH-000420,-1.15958949638
ACH-000421,-1.2586885939399999
ACH-000424,-1.36447708306
ACH-000425,-0.8070163354850001
ACH-000426,-1.19633271812
ACH-000427,-0.9645083160150001
ACH-000433,-0.972192296612
ACH-000436,-1.06900602565
ACH-000444,-0.778165431919
ACH-000445,-1.2974046758700002
ACH-000448,-1.07357959419
ACH-000450,-0.9017121349130001
ACH-000452,-1.12119042776
ACH-000454,-1.14226121271
ACH-000458,-0.775052156761
ACH-000459,-0.531855819824
ACH-000460,-1.19629916759
ACH-000461,-1.0765903988299999
ACH-000463,-1.23109426615
ACH-000464,-1.10070535346
ACH-000466,-1.0923913598000001
ACH-000467,-1.0334591233700001
ACH-000468,-1.03583054878
ACH-000469,-1.04963386519
ACH-000470,-1.0314312683600002
ACH-000471,-0.985822822128
ACH-000472,-0.777008838338
ACH-000473,-1.01661322971
ACH-000475,-1.1701330925799998
ACH-000476,-1.27985393488
ACH-000477,-1.05950198421
ACH-000480,-1.11734416867
ACH-000481,-1.12450507457
ACH-000483,-1.07401350803
ACH-000484,-1.34056698303
ACH-000485,-1.22688158407
ACH-000486,-1.1033560634200001
ACH-000487,-1.10797817456
ACH-000488,-1.10624922764
ACH-000490,-1.0822446701000001
ACH-000491,-1.37902499994
ACH-000495,-0.455825470374
ACH-000496,-1.25472383957
ACH-000499,-1.0124969128899999
ACH-000500,-1.3757038788999998
ACH-000502,-1.19188530046
ACH-000503,-1.1958967677299999
ACH-000505,-0.5473753036469999
ACH-000507,-1.47315649801
ACH-000510,-1.3202321107600001
ACH-000511,-1.12637998638
ACH-000512,-1.41932179396
ACH-000516,-1.06731036128
ACH-000517,-1.23224518196
ACH-000518,-1.02473675427
ACH-000520,-1.0740502887999999
ACH-000521,-1.15239727571
ACH-000522,-1.40547340459
ACH-000524,-1.4668520976
ACH-000527,-0.864929129183
ACH-000528,-0.950525707984
ACH-000537,-1.43670237954
ACH-000541,-1.03231287842
ACH-000542,-1.06584431151
ACH-000544,-1.2085904840700001
ACH-000545,-1.12758637818
ACH-000547,-1.4599274205200001
ACH-000548,-1.1354013995299999
ACH-000549,-1.25116116748
ACH-000550,-1.17136137982
ACH-000552,-1.2070142851
ACH-000556,-1.18177808957
ACH-000557,-1.2106963574299998
ACH-000570,-1.03580771676
ACH-000571,-1.2579153920200001
ACH-000573,-1.2336079902500001
ACH-000576,-0.982948786215
ACH-000580,-1.32580732316
ACH-000584,-0.975618225129
ACH-000585,-1.1145011285200002
ACH-000588,-0.8153692748379999
ACH-000589,-1.03668304261
ACH-000591,-0.9504883920399999
ACH-000593,-1.1712091928200001
ACH-000600,-1.1577016200299999
ACH-000601,-0.9767908960330001
ACH-000604,-1.43087445775
ACH-000605,-1.37775666746
ACH-000606,-1.02385338016
ACH-000608,-0.593721729685
ACH-000614,-0.4680535036
ACH-000616,-1.01627642809
ACH-000618,-0.866465352452
ACH-000619,-1.17021125285
ACH-000620,-1.16690734377
ACH-000621,-0.8896303450249999
ACH-000622,-0.7128786860549999
ACH-000623,-0.944439806991
ACH-000624,-1.1306179443000002
ACH-000627,-0.854820473786
ACH-000630,-0.933689105496
ACH-000632,-1.16197627215
ACH-000633,-1.67930231632
ACH-000637,-0.899285799285
ACH-000638,-1.12739470719
ACH-000646,-1.17274089817
ACH-000647,-0.8093824669859999
ACH-000648,-1.4090962499500002
ACH-000649,-1.0190428524700001
ACH-000651,-0.94016023301
ACH-000652,-1.28833800453
ACH-000653,-0.797952050459
