,SSRP1 (6749)
ACH-000004,-1.32373926097
ACH-000007,-1.10598746841
ACH-000009,-1.26304022909
ACH-000011,-1.7012853143900002
ACH-000012,-1.2531784230399998
ACH-000013,-1.24614901096
ACH-000014,-1.21495797448
ACH-000015,-0.892377280175
ACH-000017,-1.20156318082
ACH-000018,-1.1244459545
ACH-000019,-1.56803718021
ACH-000021,-1.2130832371100002
ACH-000022,-0.96509764591
ACH-000025,-1.39206765656
ACH-000028,-1.26113548827
ACH-000030,-1.14025542854
ACH-000035,-1.135524163
ACH-000036,-1.5594276281200001
ACH-000037,-0.9207928401000001
ACH-000039,-1.3546409324700002
ACH-000040,-1.3174145421899999
ACH-000041,-0.9961765851000001
ACH-000042,-1.1072453977299999
ACH-000045,-1.0411832014700002
ACH-000047,-1.30314744403
ACH-000052,-1.27711287943
ACH-000053,-1.0759941410200002
ACH-000054,-1.45478868898
ACH-000055,-1.3702772301
ACH-000060,-1.1861839458499999
ACH-000067,-1.33098376063
ACH-000070,-1.4250963856299999
ACH-000075,-1.2140997892299998
ACH-000078,-1.4449072596299999
ACH-000082,-1.24356759749
ACH-000085,-1.23640267409
ACH-000086,-1.25810294558
ACH-000087,-1.0447145898999999
ACH-000092,-1.49071959598
ACH-000095,-1.52224215623
ACH-000097,-1.5204038801700002
ACH-000098,-1.38308748499
ACH-000099,-1.5242790292299997
ACH-000108,-1.23879310144
ACH-000113,-1.3663080079299998
ACH-000115,-1.38745576335
ACH-000116,-1.10632624855
ACH-000118,-1.08590366171
ACH-000120,-1.33481895868
ACH-000123,-1.39038593167
ACH-000127,-1.21567505142
ACH-000128,-1.23176919994
ACH-000132,-1.50922081728
ACH-000133,-1.28362612618
ACH-000137,-1.25492158632
ACH-000138,-1.20307022603
ACH-000142,-1.1909260468
ACH-000143,-1.1431884038700002
ACH-000146,-1.2556621484200001
ACH-000148,-1.2427921638700001
ACH-000150,-1.4127884589500002
ACH-000152,-1.1764476488200002
ACH-000153,-1.16828252666
ACH-000159,-1.5454625445299999
ACH-000160,-0.9435253589120001
