,DAP (1611)
ACH-000004,0.0847356547463
ACH-000007,-0.168407709172
ACH-000009,-0.06112526329969999
ACH-000011,-0.12179856293199999
ACH-000012,0.07711244144510002
ACH-000013,0.00999998205413
ACH-000014,-0.0362904467034
ACH-000015,-0.0125404494201
ACH-000017,-0.08667675048519999
ACH-000018,-0.33145500003600004
ACH-000019,0.08587590303480001
ACH-000021,-0.025214670885900004
ACH-000022,-0.0512033358526
ACH-000025,0.0428770423542
ACH-000028,0.10009216048399999
ACH-000030,0.0419879064157
ACH-000035,0.0760965529008
ACH-000036,-0.0912450288256
ACH-000037,0.179127481745
ACH-000039,-0.0717273617601
ACH-000040,-0.0369975001363
ACH-000041,0.0680705913255
ACH-000042,-0.0756745908836
ACH-000045,-0.31320054876200004
ACH-000047,-0.0480180023625
ACH-000052,0.306956821646
ACH-000053,-0.0518300881669
ACH-000054,-0.0137013756149
ACH-000055,0.0564746712359
ACH-000060,-0.13541258770700002
ACH-000067,-0.0385826628394
ACH-000070,0.184447974864
ACH-000075,-0.126314292613
ACH-000078,-0.079310683966
ACH-000082,-0.202632649839
ACH-000085,0.0711105845928
ACH-000086,0.139925309595
ACH-000087,-0.22795625617600002
ACH-000092,-0.102400889431
ACH-000095,-0.07515403073560001
ACH-000097,-0.111015019792
ACH-000098,-0.106748035798
ACH-000099,-0.158540285787
ACH-000108,-0.0294992737489
ACH-000113,0.00959695964746
ACH-000115,-0.0944729016102
ACH-000116,-0.13638428340199998
ACH-000118,0.008933492495160001
ACH-000120,-0.00148025510933
ACH-000123,-0.12706392941400002
ACH-000127,-0.243330658872
ACH-000128,-0.12799452600400002
ACH-000132,-0.042509323629099996
ACH-000133,0.0816803197408
ACH-000137,0.00992499986054
ACH-000138,-0.30789637603
ACH-000142,-0.0793504182245
ACH-000143,-0.150404691279
ACH-000146,-0.22159789778099998
ACH-000148,-0.106645876255
ACH-000150,-0.124716564093
ACH-000152,-0.16113403872999998
ACH-000153,-0.113393065659
ACH-000159,-0.156777026853
ACH-000160,-0.253065339672
ACH-000163,0.0351162742649
ACH-000167,-0.501169712562
ACH-000168,-0.44562749360299997
ACH-000169,0.032568661738299996
ACH-000178,-0.0767637991128
ACH-000182,-0.10964656644899999
ACH-000183,-0.163034068107
ACH-000188,-0.15739605059800002
ACH-000189,0.19722483982500003
ACH-000190,0.0455425609859
ACH-000198,-0.07935924043819999
ACH-000204,0.19930061312800001
ACH-000206,0.0350988202487
ACH-000207,-0.136921190211
ACH-000211,-0.166080556305
ACH-000215,-0.11622769771500001
ACH-000221,0.0677977565341
ACH-000222,-0.27201828651099996
ACH-000223,-0.227115863129
ACH-000226,-0.014810275622499999
ACH-000227,-0.323814270506
ACH-000228,-0.135759501965
ACH-000231,0.026190711039
ACH-000232,-0.22530880772599998
ACH-000233,-0.185196657758
ACH-000234,-0.0403296331415
ACH-000235,-0.253043916673
ACH-000237,-0.128043279946
ACH-000238,-0.36740809969899996
ACH-000243,-0.06728717488540001
ACH-000244,0.124560886237
ACH-000246,-0.25017734319699997
ACH-000248,-0.09662983635130001
ACH-000250,-0.0897342712556
ACH-000251,-0.44496583126999995
ACH-000253,-0.09789191200930002
ACH-000255,0.053549439354600006
ACH-000256,-0.0675234611822
ACH-000257,-0.295589636242
ACH-000258,0.0184052076697
ACH-000259,-0.126823657434
ACH-000260,-0.139986682271
ACH-000261,-0.11864110969599999
ACH-000262,0.094748770053
ACH-000263,-0.214721375782
ACH-000264,-0.0665140084347
ACH-000265,-0.030075688058700003
ACH-000266,-0.170058248806
ACH-000272,-0.142926009964
ACH-000273,-0.180026015479
