,RTN4R (65078)
ACH-000004,-0.0661315264388
ACH-000007,0.380023300185
ACH-000009,0.037333073195000004
ACH-000011,-0.0515978796649
ACH-000012,-0.019789028745500002
ACH-000013,-0.034414221298500004
ACH-000014,-0.08346967810539999
ACH-000015,-0.166476522086
ACH-000017,-0.011760901919899999
ACH-000018,0.118913898641
ACH-000019,0.199020442488
ACH-000021,-0.0522664384162
ACH-000022,0.0524855302635
ACH-000025,-0.10021479233200001
ACH-000028,-0.010656626113499998
ACH-000030,-0.0776881032257
ACH-000035,-0.314435833809
ACH-000036,0.0419377861704
ACH-000037,0.181608050424
ACH-000039,-0.24632496601599999
ACH-000040,0.0940077630579
ACH-000041,-0.124768496883
ACH-000042,-0.023727170578099997
ACH-000045,-0.175892481234
ACH-000047,-0.0386938042949
ACH-000052,-0.0759061380677
ACH-000053,0.115131798595
ACH-000054,0.0374831136374
ACH-000055,-0.11410307974199999
ACH-000060,-0.14924671237099998
ACH-000067,-0.18675833194699998
ACH-000070,0.236962554076
ACH-000075,-0.27828908265700003
ACH-000078,0.0355706000098
ACH-000082,0.04498057556480001
ACH-000085,-0.016547236557
ACH-000086,0.130446506231
ACH-000087,0.0932167546642
ACH-000092,0.0317902091179
ACH-000095,-0.016368597848200002
ACH-000097,0.00557889020749
ACH-000098,-0.0320336763482
ACH-000099,-0.07426338792760001
ACH-000108,-0.271048401048
ACH-000113,0.15243846622999999
ACH-000115,0.139916731899
ACH-000116,0.11411228442
ACH-000118,-0.0677407873157
ACH-000120,0.0580798603317
ACH-000123,0.166332928181
ACH-000127,-0.034074939289199996
ACH-000128,-0.116650498879
ACH-000132,-0.00469088412628
ACH-000133,-0.054072158055699995
ACH-000137,0.300919594493
ACH-000138,0.227969204278
ACH-000142,0.118069464596
ACH-000143,0.058097519742
ACH-000146,-0.0495994108713
ACH-000148,0.0414152377871
ACH-000150,-0.0173025493329
ACH-000152,0.08339207972149999
ACH-000153,0.27846060478100004
ACH-000159,0.24933101987300002
ACH-000160,-0.05237509761
ACH-000163,-0.09761478523980001
ACH-000167,0.18268100978399998
ACH-000168,-0.137536680832
ACH-000169,-0.243341452151
ACH-000178,0.044267675290199995
ACH-000182,0.0688134800117
ACH-000183,-0.190209350797
ACH-000188,-0.042625925577800004
ACH-000189,-0.0708537948175
ACH-000190,-0.0135533403098
ACH-000198,0.028926480706799998
ACH-000204,0.25835547237
ACH-000206,-0.0034096368207
ACH-000207,-0.044713660435199996
ACH-000211,0.0940290410974
ACH-000215,0.0307521574251
ACH-000221,-0.117880133991
ACH-000222,-0.0688357238528
ACH-000223,-0.028442810855
ACH-000226,0.027808985552799998
ACH-000227,0.078941025348
ACH-000228,0.0950595365753
ACH-000231,-0.036115455328800006
ACH-000232,-0.018198049186900003
ACH-000233,-0.055872407615900004
ACH-000234,-0.21976686637499998
ACH-000235,0.05412535684690001
ACH-000237,-0.0036789958463400003
ACH-000238,-0.119308384409
ACH-000243,-0.0404162969693
ACH-000244,-0.116555150284
ACH-000246,0.132450862325
ACH-000248,0.190459045977
ACH-000250,0.0875149583099
ACH-000251,0.0281702441528
ACH-000253,-0.044754803396
ACH-000255,-0.238738024778
ACH-000256,-0.0898923188806
ACH-000257,0.194614392735
ACH-000258,0.008224763615359999
ACH-000259,-0.0366337328433
ACH-000260,-0.024220572200799997
ACH-000261,0.00304349356603
ACH-000262,0.07599700633010001
ACH-000263,0.06054740148709999
ACH-000264,0.0137771048942
ACH-000265,-0.0799039787207
ACH-000266,0.007774113053060001
ACH-000272,-0.007074802411249999
ACH-000273,0.0235188993597
ACH-000274,-0.110147973892
ACH-000277,0.12650308593100001
ACH-000278,0.0782786062138
ACH-000279,0.0163034109481
ACH-000280,-0.09185832113839999
ACH-000281,0.0491418830846
ACH-000288,-0.0164770798572
ACH-000291,-0.04616408314119999
ACH-000293,0.19963707106800002
ACH-000294,0.182465248409
ACH-000295,0.06728240418840001
ACH-000296,-0.174744705114
ACH-000302,-0.108071654775
ACH-000304,0.157656500776
ACH-000307,0.0452102362847
ACH-000308,0.0343408290026
ACH-000310,0.07754247834889999
ACH-000311,0.100391999976
ACH-000312,0.0425672784858
ACH-000315,-0.0757735762889
ACH-000316,0.018966907318500002
ACH-000317,0.035332542697
ACH-000318,-0.058962730237699996
ACH-000319,-0.107357522917
ACH-000320,-0.0675010901634
ACH-000322,-0.146031587334
ACH-000323,-0.264992657512
ACH-000324,0.0143167360378
ACH-000329,-0.108588761654
ACH-000330,-0.143152152159
ACH-000331,0.213052708882
ACH-000332,0.0072452319032499995
ACH-000334,0.199186751977
ACH-000335,-0.12313127046399999
ACH-000336,-0.448824598388
ACH-000337,-0.145001934222
ACH-000339,0.0252371798884
ACH-000341,-0.22711464183000002
ACH-000348,-0.110043882175
ACH-000350,0.0939060866255
ACH-000352,0.12207545298800002
ACH-000356,-0.199858938332
ACH-000361,0.14099321190199998
ACH-000362,0.105628452571
ACH-000363,-0.037696280336400004
ACH-000364,-0.26521560225900004
ACH-000365,0.0706907898275
ACH-000366,-0.17268562323
ACH-000368,0.0337843957655
ACH-000374,0.10398508963400001
ACH-000375,-0.0939150324412
ACH-000376,0.114709637349
ACH-000381,-0.0999546696796
ACH-000383,0.141240375084
ACH-000387,-0.037676391294900004
ACH-000389,0.041695582855
