,ARPC5L (81873)
ACH-000004,0.0839050578591
ACH-000007,-0.0580800848341
ACH-000009,-0.0657635677784
ACH-000011,-0.074709242703
ACH-000012,0.0193236182482
ACH-000013,-0.024598366419799997
ACH-000014,-0.09952696091
ACH-000015,-0.176261910189
ACH-000017,-0.25988882434300004
ACH-000018,-0.159972599988
ACH-000019,0.0136703320282
ACH-000021,-0.0162058284076
ACH-000022,-0.0886209067959
ACH-000025,-0.101163136517
ACH-000028,0.0335668996916
ACH-000030,-0.122932520901
ACH-000035,-0.0158683168542
ACH-000036,-0.165174546292
ACH-000037,-0.132530753502
ACH-000039,-0.13476806687
ACH-000040,-0.047596457352499996
ACH-000041,-0.16356626012
ACH-000042,-0.056004795086199995
ACH-000045,-0.09135471047119999
ACH-000047,-0.201930477608
ACH-000052,0.08043509110119999
ACH-000053,-0.0700674390638
ACH-000054,-0.0562190658627
ACH-000055,0.16988880816
ACH-000060,-0.148402776465
ACH-000067,-0.013504069835
ACH-000070,-0.19360973344000001
ACH-000075,-0.197457719896
ACH-000078,-0.205622729434
ACH-000082,-0.256441266728
ACH-000085,-0.050716627199999996
ACH-000086,0.021700330084
ACH-000087,-0.388995388569
ACH-000092,-0.0201423777206
ACH-000095,-0.150269859656
ACH-000097,-0.0511191196049
ACH-000098,-0.06365470358269999
ACH-000099,-0.041553592835099996
ACH-000108,0.027213317828700002
ACH-000113,-0.217679305998
ACH-000115,0.026803665639
ACH-000116,-0.0805944163771
ACH-000118,-0.0993074267997
ACH-000120,-0.00912853221566
ACH-000123,-0.10576886995
ACH-000127,-0.024511325671099995
ACH-000128,-0.0979458126341
ACH-000132,-0.151207311253
ACH-000133,-0.194053567257
ACH-000137,-0.0006270254670569999
ACH-000138,0.0183698452287
ACH-000142,-0.145128258536
ACH-000143,-0.093383788662
ACH-000146,-0.0930975853281
ACH-000148,-0.0124236608201
ACH-000150,-0.0159549874944
ACH-000152,0.00460237887217
ACH-000153,0.00549266558013
ACH-000159,-0.165965369951
ACH-000160,0.07023916264060001
ACH-000163,0.021145962076699998
ACH-000167,-0.0345948741369
ACH-000168,-0.0188134921325
ACH-000169,0.009905438206799998
ACH-000178,0.0873820365779
ACH-000182,-0.252160721082
ACH-000183,-0.204586948456
ACH-000188,0.10777181129699999
ACH-000189,-0.13944305882400002
ACH-000190,-0.0602555542796
ACH-000198,-0.147377406254
ACH-000204,-0.0838703838517
ACH-000206,0.117683968153
ACH-000207,-0.177635916983
ACH-000211,-0.14816525310599998
ACH-000215,-0.103275337063
