,LMAN2 (10960)
ACH-000004,-0.44623634369599996
ACH-000007,-0.09560083748639998
ACH-000009,-0.491377063108
ACH-000011,-0.10006463157199999
ACH-000012,-0.122369389033
ACH-000013,-0.280336258052
ACH-000014,-0.37283782871699994
ACH-000015,-0.33787744409000003
ACH-000017,-0.310478434297
ACH-000018,-0.15183516123
ACH-000019,-0.431281269148
ACH-000021,-0.392589898577
ACH-000022,-0.336887150232
ACH-000025,-0.224784938603
ACH-000028,-0.529333128458
ACH-000030,-0.36520005355999996
ACH-000035,-0.146541296109
ACH-000036,-0.413999610333
ACH-000037,-0.36434108477399996
ACH-000039,-0.34365394302
ACH-000040,-0.391920183988
ACH-000041,-0.281674690757
ACH-000042,-0.6105284350119999
ACH-000045,-0.27647892151500003
ACH-000047,-0.322726950097
ACH-000052,-0.36673665319300003
ACH-000053,-0.244271434635
ACH-000054,-0.5219380515250001
ACH-000055,-0.194170176767
ACH-000060,-0.477862542499
ACH-000067,-0.41423896755500006
ACH-000070,-0.351012277654
ACH-000075,-0.48851849785400003
ACH-000078,-0.371171470462
ACH-000082,-0.5899445507600001
ACH-000085,-0.37656949389300004
ACH-000086,-0.272535818527
ACH-000087,-0.485787626513
ACH-000092,-0.328190944847
ACH-000095,-0.530939593308
ACH-000097,-0.32642903911
ACH-000098,-0.41796214013800004
ACH-000099,-0.439364951548
ACH-000108,-0.42027042672
ACH-000113,-0.292872977753
ACH-000115,-0.632775837439
ACH-000116,-0.220871607306
ACH-000118,-0.30485068224399997
ACH-000120,-0.398730052153
ACH-000123,-0.313402929255
ACH-000127,-0.20728028792300002
ACH-000128,-0.257268084343
ACH-000132,-0.393786110656
ACH-000133,-0.262617892357
ACH-000137,-0.143925449112
ACH-000138,-0.364352842979
ACH-000142,-0.25542029699200003
ACH-000143,-0.215594492401
ACH-000146,-0.331124856063
ACH-000148,-0.275566255995
ACH-000150,-0.6796671970199999
ACH-000152,-0.381580922386
ACH-000153,-0.47453921208800004
ACH-000159,-0.427615304032
ACH-000160,-0.472397500062
ACH-000163,-0.36049402786300005
ACH-000167,-0.5279385202610001
ACH-000168,-0.49605634067500004
ACH-000169,-0.13621498252
ACH-000178,-0.42183121818400005
ACH-000182,-0.318343468529
ACH-000183,-0.25586888072299996
ACH-000188,-0.52990814828
ACH-000189,-0.140999894331
ACH-000190,-0.233872770493
ACH-000198,-0.12849438875299998
ACH-000204,0.00363399553534
ACH-000206,-0.7918373254709999
ACH-000207,-0.18308882275199997
ACH-000211,-0.320061430241
ACH-000215,-0.21994129381299998
ACH-000221,-0.131290576974
ACH-000222,-0.5501579350720001
ACH-000223,-0.59720891848
ACH-000226,-0.27748167976300003
ACH-000227,-0.652270103016
ACH-000228,-0.23729339581199999
ACH-000231,-0.348928195343
ACH-000232,-0.37875813316699997
ACH-000233,-0.324484965812
ACH-000234,-0.351042940463
ACH-000235,-0.335070505769
ACH-000237,-0.4047162848
ACH-000238,-0.421955473091
ACH-000243,-0.270018958607
ACH-000244,-0.100516697367
ACH-000246,-0.336378274963
ACH-000248,-0.343768116616
ACH-000250,-0.465472947804
ACH-000251,-0.6211625649220001
ACH-000253,-0.5504887509899999
ACH-000255,-0.39096989092699996
ACH-000256,-0.384319715536
ACH-000257,-0.42244208164700003
ACH-000258,-0.226229693872
ACH-000259,-0.43739389649899996
ACH-000260,-0.333106384268
ACH-000261,-0.383114245056
ACH-000262,-0.481858415297
ACH-000263,-0.496102456351
ACH-000264,-0.33074793996999996
ACH-000265,-0.237494618965
ACH-000266,-0.40973206408699997
ACH-000272,-0.488286303334
ACH-000273,-0.48028515068000005
ACH-000274,-0.447654437984
ACH-000277,-0.43087539651100004
ACH-000278,-0.20661212845
ACH-000279,-0.455749787319
ACH-000280,-0.266177411263
ACH-000281,-0.213042335379
ACH-000288,-0.532435899692
ACH-000291,-0.36382696396700004
ACH-000293,-0.5148974032370001
ACH-000294,-0.416177926427
ACH-000295,-0.6519160296809999
ACH-000296,-0.162164457782
ACH-000302,-0.38494099369400003
ACH-000304,-0.486777552213
ACH-000307,-0.30753908053
ACH-000308,-0.317704230946
ACH-000310,-0.463925946061
ACH-000311,-0.297965597382
ACH-000312,-0.37137139617299997
ACH-000315,-0.307632434512
ACH-000316,-0.486589017463
ACH-000317,-0.19685938263900002
ACH-000318,-0.341681918412
ACH-000319,-0.16527139060999999
ACH-000320,-0.302499412376
ACH-000322,-0.416942137846
ACH-000323,-0.39259350947
ACH-000324,-0.376074924146
ACH-000329,-0.46670854350599994
ACH-000330,-0.179315937165
ACH-000331,-0.40283494703100003
ACH-000332,-0.42116814817000003
ACH-000334,-0.359580350323
ACH-000335,-0.560627804426
ACH-000336,-0.488329735546
ACH-000337,-0.305587785916
ACH-000339,-0.327554806518
ACH-000341,-0.203509281648
ACH-000348,-0.41028071805
ACH-000350,-0.407123543368
ACH-000352,-0.387661663205
ACH-000356,-0.150296260967
ACH-000361,-0.38186078088500003
ACH-000362,-0.240032719853
ACH-000363,-0.24802642323600002
ACH-000364,-0.37453100756499996
ACH-000365,-0.37800249294
ACH-000366,-0.433918551496
ACH-000368,-0.355275461707
ACH-000374,-0.483100980117
ACH-000375,-0.354572691306
ACH-000376,-0.318673769747
ACH-000381,-0.6075036479070001
ACH-000383,-0.42752416315999997
ACH-000387,-0.32087870417
ACH-000389,-0.417616700162
ACH-000390,-0.233043394425
ACH-000393,-0.39137751505699997
ACH-000395,-0.44408573608499996
ACH-000397,-0.44215192898
ACH-000401,-0.334414168866
ACH-000402,-0.590332417092
ACH-000403,-0.5037410269470001
ACH-000404,-0.40438545653
ACH-000406,-0.261421805367
ACH-000407,-0.20654451603399998
ACH-000408,-0.301929268317
ACH-000410,-0.200474887222
ACH-000411,-0.428910822847
ACH-000414,-0.393430498107
ACH-000415,-0.128543836891
ACH-000416,-0.322885730355
ACH-000420,-0.31779073431
ACH-000421,-0.354573352636
ACH-000424,-0.21247135277100002
ACH-000425,-0.345501360237
ACH-000426,-0.17287804403700002
ACH-000427,-0.385065109843
ACH-000433,-0.302208046355
ACH-000436,-0.424743843006
ACH-000444,-0.303756438122
ACH-000445,-0.22673396770799997
ACH-000448,-0.340813730047
ACH-000450,-0.137979175155
ACH-000452,-0.152114193376
ACH-000454,-0.253802055218
ACH-000458,-0.40516891029
ACH-000459,-0.16364717689400002
ACH-000460,-0.38451128990999994
ACH-000461,-0.45358948983
ACH-000463,-0.246830781501
ACH-000464,-0.35186905259900003
ACH-000466,-0.447778449187
