,MAP1LC3B (81631)
ACH-000004,-0.304487904289
ACH-000007,-0.290101031142
ACH-000009,-0.422760627711
ACH-000011,-0.27245764048099996
ACH-000012,-0.372517355339
ACH-000013,-0.261715917827
ACH-000014,-0.525966425876
ACH-000015,-0.351837499114
ACH-000017,-0.22093778755899998
ACH-000018,-0.270265635383
ACH-000019,-0.615575566911
ACH-000021,-0.543864608971
ACH-000022,-0.355900008772
ACH-000025,-0.15784054741800002
ACH-000028,-0.347912055738
ACH-000030,-0.22139298140500002
ACH-000035,-0.36915590236199997
ACH-000036,-0.43432107990400004
ACH-000037,-0.280056510378
ACH-000039,-0.263514712461
ACH-000040,-0.441466661512
ACH-000041,-0.3561632357
ACH-000042,-0.464409454614
ACH-000045,-0.45306910611199996
ACH-000047,-0.26468061732799997
ACH-000052,-0.242597257335
ACH-000053,-0.191063315884
ACH-000054,-0.23810524134599997
ACH-000055,-0.26275233032900003
ACH-000060,-0.166533689651
ACH-000067,-0.304152482198
ACH-000070,-0.286039731201
ACH-000075,-0.865702899206
ACH-000078,-0.633006912427
ACH-000082,-0.41214961690800006
ACH-000085,-0.672842309464
ACH-000086,-0.45702954368500004
ACH-000087,-0.361553205938
ACH-000092,-0.254757467613
ACH-000095,-0.328284730871
ACH-000097,-0.40057446153000004
ACH-000098,-0.369234854552
ACH-000099,-0.474512060128
ACH-000108,-0.413543063266
ACH-000113,-0.49264281683600003
ACH-000115,-0.264370190806
ACH-000116,-0.244962497205
ACH-000118,-0.32683373716499997
ACH-000120,-0.259787341761
ACH-000123,-0.290699803992
ACH-000127,-0.459570599362
ACH-000128,-0.599311243555
ACH-000132,-0.347389467347
ACH-000133,-0.400240445241
ACH-000137,-0.26840784488
ACH-000138,-0.500853915521
ACH-000142,-0.52596059798
ACH-000143,-0.266898420769
ACH-000146,-0.22379044496
ACH-000148,-0.454957955154
ACH-000150,-0.373760872101
ACH-000152,-0.525744737502
ACH-000153,-0.365701934515
ACH-000159,-0.38040781126400003
ACH-000160,-0.46094399085
ACH-000163,-0.264677028664
ACH-000167,-0.215723217256
ACH-000168,-0.5715218451240001
ACH-000169,-0.48308304226000004
ACH-000178,-0.596907367279
ACH-000182,-0.310902283063
ACH-000183,-0.479070632611
ACH-000188,-0.256512772008
ACH-000189,-0.266241600372
ACH-000190,-0.351588290541
ACH-000198,-0.45812797541199995
ACH-000204,-0.33580675015
ACH-000206,-0.18746088903799998
ACH-000207,-0.236066941754
ACH-000211,-0.436284627566
ACH-000215,-0.478130629818
ACH-000221,-0.317696428136
ACH-000222,-0.192587492571
ACH-000223,-0.243623696767
ACH-000226,-0.323760918007
ACH-000227,-0.597617207867
ACH-000228,-0.376389111207
ACH-000231,-0.289025621299
ACH-000232,-0.49547422893999993
ACH-000233,-0.347048732959
ACH-000234,-0.185818271639
ACH-000235,-0.50623968747
ACH-000237,-0.432950399642
ACH-000238,-0.225399919464
ACH-000243,-0.294662331455
ACH-000244,-0.29896246961
ACH-000246,-0.27109910831
ACH-000248,-0.364910959616
ACH-000250,-0.51893934252
ACH-000251,-0.198060110562
ACH-000253,-0.300812410572
ACH-000255,-0.405062754057
ACH-000256,-0.23625952448100002
ACH-000257,-0.434263651175
ACH-000258,-0.289968256944
ACH-000259,-0.302517967711
ACH-000260,-0.256369111639
ACH-000261,-0.20774987868900002
ACH-000262,-0.187267235805
ACH-000263,-0.810567869974
ACH-000264,-0.30283529832199996
ACH-000265,-0.23076951774799997
ACH-000266,-0.57312195275
ACH-000272,-0.12265587578500001
ACH-000273,-0.43699602581600006
ACH-000274,-0.23698846245299998
ACH-000277,-0.663821458859
ACH-000278,-0.182418966899
ACH-000279,-0.357289861308
ACH-000280,-0.362049298506
ACH-000281,-0.74424159334
ACH-000288,-0.50351893518
ACH-000291,-0.294649257413
ACH-000293,-0.290102751644
ACH-000294,-0.496279941631
ACH-000295,-0.405435959365
ACH-000296,-0.09415899417719999
ACH-000302,-0.251547376832
ACH-000304,-0.196049900859
ACH-000307,-0.5080819513679999
ACH-000308,-0.493392010236
ACH-000310,-0.6829725162360001
ACH-000311,-0.23341933791900002
ACH-000312,-0.6091242781530001
ACH-000315,-0.13499338573300002
ACH-000316,-0.38843954773199996
ACH-000317,-0.335097944872
ACH-000318,-0.221545083081
ACH-000319,-0.475835528657
ACH-000320,-0.40819906389300004
ACH-000322,-0.7415094439450001
ACH-000323,-0.423786321928
ACH-000324,-0.49962856145499995
ACH-000329,-0.618540618492
ACH-000330,-0.169345074309
ACH-000331,-0.447935869892
ACH-000332,-0.438714868363
ACH-000334,-0.320583939019
ACH-000335,-0.260039778554
ACH-000336,-0.593636907711
ACH-000337,-0.42344125875200006
ACH-000339,-0.43734151242700003
