,PLEKHJ1 (55111)
ACH-000004,0.0601560961496
ACH-000007,-0.165261923616
ACH-000009,0.00914665005503
ACH-000011,-0.24218374925
ACH-000012,-0.149903721504
ACH-000013,-0.115999424829
ACH-000014,-0.041839065540800004
ACH-000015,0.0243837571489
ACH-000017,-0.28020823648000004
ACH-000018,-0.24154004401299997
ACH-000019,-0.251311535609
ACH-000021,-0.31138606760000004
ACH-000022,0.0375529497249
ACH-000025,-0.155541188039
ACH-000028,-0.39278699588200006
ACH-000030,-0.031252120589900005
ACH-000035,-0.31539560710700004
ACH-000036,-0.07685443033719999
ACH-000037,-0.011132835322700001
ACH-000039,-0.0336063540518
ACH-000040,-0.115015198325
ACH-000041,-0.113914872008
ACH-000042,-0.06622403900519999
ACH-000045,-0.21949706253899998
ACH-000047,-0.247573901693
ACH-000052,0.046514227802499995
ACH-000053,-0.0348592600751
ACH-000054,-0.196026367441
ACH-000055,-0.296043701751
ACH-000060,-0.10210287323999999
ACH-000067,-0.244951964095
ACH-000070,0.006800850188890001
ACH-000075,-0.511196690836
ACH-000078,-0.0785226414399
ACH-000082,-0.009701811870819999
ACH-000085,-0.079775994121
ACH-000086,-0.236460441554
ACH-000087,-0.30210103604899996
ACH-000092,-0.06591577953
ACH-000095,-0.0779244570752
ACH-000097,-0.245490856819
ACH-000098,-0.218202054893
ACH-000099,-0.185252002854
ACH-000108,-0.18053496709300001
ACH-000113,-0.14174535733899998
ACH-000115,-0.232962072524
ACH-000116,-0.12709654079500002
ACH-000118,-0.0130774725329
ACH-000120,-0.119779330032
ACH-000123,-0.171017702262
ACH-000127,-0.0947352177698
ACH-000128,-0.0265547002102
ACH-000132,-0.319389674038
ACH-000133,-0.088123951361
ACH-000137,-0.34811995754299996
ACH-000138,-0.168218384928
ACH-000142,-0.177370544751
ACH-000143,-0.0783329449335
ACH-000146,-0.115385238695
ACH-000148,-0.133860448222
ACH-000150,-0.277444574176
ACH-000152,-0.268983761118
ACH-000153,0.0801549595158
ACH-000159,-0.254375615353
ACH-000160,0.12189390405400001
ACH-000163,-0.039096215215
ACH-000167,-0.22093331531500002
ACH-000168,0.0821681223746
ACH-000169,-0.20983443333700003
ACH-000178,-0.189481269562
ACH-000182,-0.08750392518030001
ACH-000183,-0.00772012931513
ACH-000188,-0.305393122279
ACH-000189,-0.232864833363
ACH-000190,-0.17835436121800002
ACH-000198,-0.12717846067
ACH-000204,-0.48811521725900003
ACH-000206,-0.138718549234
ACH-000207,-0.024251573138000002
ACH-000211,-0.209948720889
ACH-000215,-0.0524494027551
ACH-000221,0.08360000333489999
ACH-000222,0.0260575805061
ACH-000223,-0.18106976980099998
ACH-000226,-0.0896069686865
ACH-000227,-0.11413481783099999
ACH-000228,-0.15386587261600002
ACH-000231,-0.12175838389699999
ACH-000232,-0.206535232157
ACH-000233,-0.056245266667800005
ACH-000234,-0.415627633007
ACH-000235,-0.168920056975
ACH-000237,-0.159055442007
ACH-000238,-0.37851240787699997
ACH-000243,-0.0156208043987
ACH-000244,0.00790540431552
ACH-000246,-0.0231309611449
ACH-000248,-0.24590354863000002
ACH-000250,-0.0839569197479
ACH-000251,-0.21029874893800002
ACH-000253,-0.0470690598697
ACH-000255,-0.06817605012630001
ACH-000256,-0.025885774108199998
ACH-000257,-0.21957778920899998
ACH-000258,-0.0863257795948
ACH-000259,-0.0131644461535
ACH-000260,-0.0509221254146
ACH-000261,-0.23528176084000002
ACH-000262,-0.19501956586
ACH-000263,-0.056812154565500005
ACH-000264,-0.246186656943
ACH-000265,-0.0047986976316199996
ACH-000266,-0.23689239266800002
ACH-000272,-0.164409634444
ACH-000273,-0.0019156436296
ACH-000274,-0.0649861445077
ACH-000277,-0.166383308402
ACH-000278,-0.17764804628199998
ACH-000279,-0.211873710094
ACH-000280,-0.17379064783300002
ACH-000281,0.0942211391634
ACH-000288,0.0578275140806
ACH-000291,-0.263002655847
ACH-000293,0.0658271102974
ACH-000294,-0.230606543252
ACH-000295,0.038755777845699994
ACH-000296,-0.165106686112
ACH-000302,-0.176498896897
ACH-000304,0.0426993363849
ACH-000307,-0.0838793064227
ACH-000308,-0.125552435252
ACH-000310,-0.012568031357
ACH-000311,-0.166351514442
ACH-000312,-0.176640277007
ACH-000315,-0.150404303363
ACH-000316,0.011558687267200001
ACH-000317,0.0349350530039
ACH-000318,-0.113693449137
ACH-000319,-0.216498465838
ACH-000320,-0.0417972822898
ACH-000322,-0.0726808211127
ACH-000323,-0.290487663702
ACH-000324,-0.099957547454
ACH-000329,-0.197593103321
ACH-000330,-0.0339833835898
ACH-000331,0.0940666744552
ACH-000332,-0.132029202459
ACH-000334,-0.451389262166
ACH-000335,-0.151662043772
ACH-000336,0.020737752766
ACH-000337,0.08303566704530001
ACH-000339,-0.14006035843
ACH-000341,-0.46008143213999997
ACH-000348,-0.0313617246389
ACH-000350,0.0491077289112
ACH-000352,0.020751900984700002
ACH-000356,-0.0168389141902
ACH-000361,-0.302979644951
ACH-000362,-0.0999151085677
ACH-000363,-0.31350099635
ACH-000364,-0.248617445325
ACH-000365,-0.158069876264
ACH-000366,-0.18866792855
ACH-000368,-0.0875884410227
ACH-000374,0.0636216875351
ACH-000375,-0.11959096091700001
ACH-000376,0.0998364492936
ACH-000381,-0.31355723425500004
ACH-000383,-0.204419395268
ACH-000387,0.0473416186619
ACH-000389,-0.23021608575599997
ACH-000390,-0.151417253044
ACH-000393,-0.165287218102
ACH-000395,-0.117252230825
ACH-000397,0.0485014778333
ACH-000401,-0.19752700183
ACH-000402,-0.13988327642
ACH-000403,-0.158491590548
ACH-000404,-0.315821879871
ACH-000406,0.0140637511756
ACH-000407,-0.27146210177499996
ACH-000408,-0.109424593761
ACH-000410,-0.161114131051
ACH-000411,-0.163962043833
ACH-000414,-0.029716227472999998
ACH-000415,-0.0717894968052
