,FIS1 (51024)
ACH-000004,-0.952880637923
ACH-000007,-0.18656255288899998
ACH-000009,-0.243069248937
ACH-000011,-0.324300622991
ACH-000012,-0.527149665743
ACH-000013,-0.28936691968199996
ACH-000014,-0.188298699722
ACH-000015,-0.294837107354
ACH-000017,-0.24800539474
ACH-000018,-0.785967373969
ACH-000019,-0.298873230136
ACH-000021,-0.387537173165
ACH-000022,-0.370833833402
ACH-000025,-0.336899260201
ACH-000028,-0.65806529607
ACH-000030,-0.830653817667
ACH-000035,-0.323006100705
ACH-000036,-0.382000137993
ACH-000037,-0.466142030679
ACH-000039,-0.479364804901
ACH-000040,-0.300382874115
ACH-000041,-0.7197319271870001
ACH-000042,-0.34063600417400003
ACH-000045,-0.512622270374
ACH-000047,-0.470176386259
ACH-000052,-0.20854585307300003
ACH-000053,-0.333272085903
ACH-000054,-0.5942517831899999
ACH-000055,-0.560985655315
ACH-000060,-0.33766198681500004
ACH-000067,-0.436216005442
ACH-000070,-0.343549675832
ACH-000075,-0.495440274362
ACH-000078,-0.357788447435
ACH-000082,-0.366445211022
ACH-000085,-1.4579589714899999
ACH-000086,-0.048491190060599994
ACH-000087,-0.474128665475
ACH-000092,-0.21244479840799999
ACH-000095,-0.6940753133159999
ACH-000097,-0.47571398541599996
ACH-000098,-0.109500185622
ACH-000099,-0.349898138248
ACH-000108,-0.149523276254
ACH-000113,-0.98790407189
ACH-000115,-0.209406784735
ACH-000116,-0.333642590594
ACH-000118,-0.17236590130899998
ACH-000120,-0.301307840314
ACH-000123,-0.874562551461
ACH-000127,-0.41821472284199995
ACH-000128,-0.8564369454180001
ACH-000132,-0.659999621576
ACH-000133,-0.253148445599
ACH-000137,-0.64420303959
ACH-000138,-0.07585646283389999
ACH-000142,-0.504497212301
ACH-000143,-1.05191117701
ACH-000146,-1.3812834815200001
ACH-000148,-0.319350610187
ACH-000150,-1.10512092246
ACH-000152,-0.636343263359
ACH-000153,-0.27668602165999995
ACH-000159,-0.32221207543200003
ACH-000160,-1.42198015683
ACH-000163,-0.32314918018399996
ACH-000167,-0.443214819132
ACH-000168,-1.08372637332
ACH-000169,-0.48092840491300004
ACH-000178,-0.22006041960900002
ACH-000182,-1.0819082689100001
ACH-000183,-0.152489989883
ACH-000188,-1.00791998812
ACH-000189,-0.43783093868699996
ACH-000190,-0.328686293627
ACH-000198,-0.39987200757799995
ACH-000204,-0.587144492987
ACH-000206,-0.419713939233
ACH-000207,-0.7288419261310001
ACH-000211,-0.275442119045
ACH-000215,-0.239918208363
ACH-000221,-0.36601555772100003
ACH-000222,-0.181564835326
ACH-000223,-0.711588689297
ACH-000226,-0.5945869889859999
ACH-000227,-0.785659681354
ACH-000228,-1.10735496539
ACH-000231,-0.197731647626
ACH-000232,-0.37857392183899996
ACH-000233,-0.24257300081500002
ACH-000234,-0.44219174556999996
ACH-000235,-0.579434512406
ACH-000237,-0.388499945049
ACH-000238,-0.954559799379
ACH-000243,-0.855829861267
ACH-000244,-1.07184295823
ACH-000246,-0.225529075171
ACH-000248,-0.497071658233
ACH-000250,-0.283141565191
ACH-000251,-0.45131475643700003
ACH-000253,-0.521069262293
ACH-000255,-0.296364719934
ACH-000256,-0.526750099122
ACH-000257,-0.7401641836120001
ACH-000258,-0.328018353399
ACH-000259,-0.265845258543
ACH-000260,-0.6229344985490001
ACH-000261,-0.374587870794
ACH-000262,-0.223719239211
ACH-000263,-0.634512988029
ACH-000264,-0.312757759654
ACH-000265,-0.42608796794500003
ACH-000266,-1.21161931855
ACH-000272,-0.27600974010400003
ACH-000273,-0.35638266354599996
ACH-000274,-0.444235794931
ACH-000277,-0.329250193008
ACH-000278,-0.644720466853
ACH-000279,-0.422053153715
ACH-000280,-0.386055876596
ACH-000281,-0.202953698503
ACH-000288,-0.32818974833299996
ACH-000291,-0.256262137289
ACH-000293,-0.37855094958
ACH-000294,-0.940290664453
ACH-000295,-0.286330626897
ACH-000296,-0.7041500698119999
ACH-000302,-0.754946227453
ACH-000304,-0.8449769714859999
ACH-000307,-0.893668527342
ACH-000308,-0.7031116195010001
ACH-000310,-0.401289458229
ACH-000311,-0.161533198367
ACH-000312,-0.142877816473
ACH-000315,-0.787652591163
ACH-000316,-0.21657330823399998
ACH-000317,-0.274808830024
ACH-000318,-0.997593576953
ACH-000319,-0.290651713661
ACH-000320,-0.40527059719999997
ACH-000322,-0.282092336835
ACH-000323,-0.293072011914
ACH-000324,-0.3964343545699999
ACH-000329,-0.278992384966
ACH-000330,-0.739070941088
ACH-000331,-0.554321428623
ACH-000332,-0.585235596597
ACH-000334,-0.327255150909
ACH-000335,-0.447322981091
ACH-000336,-1.088795814
ACH-000337,-0.7661418741760001
ACH-000339,-0.703856095544
ACH-000341,-0.427925849304
ACH-000348,-0.413366053762
ACH-000350,-0.22743788787099997
ACH-000352,-0.16170680155300002
ACH-000356,-0.164260022343
ACH-000361,-0.302353327372
ACH-000362,-0.435248104229
ACH-000363,-0.13648072234300002
