,DUOX2 (50506)
ACH-000004,-0.437058176387
ACH-000007,-0.22125603960700002
ACH-000009,-0.28081925790999995
ACH-000011,-0.1917787004
ACH-000012,-0.142292967689
ACH-000013,-0.130586025883
ACH-000014,-0.6978334233140001
ACH-000015,-0.135164960956
ACH-000017,-0.23679803886599998
ACH-000018,-0.34911862854000003
ACH-000019,-0.21565038939599998
ACH-000021,-0.0655713043436
ACH-000022,-0.06490515572769999
ACH-000025,-0.367502398368
ACH-000028,0.09744661282139999
ACH-000030,-0.252280208792
ACH-000035,-0.202848285053
ACH-000036,-0.16757512654999998
ACH-000037,-0.48428190199199994
ACH-000039,-0.020120604885599996
ACH-000040,-0.263193592002
ACH-000041,-0.147399341357
ACH-000042,-0.20894226288800002
ACH-000045,-0.242472121299
ACH-000047,-0.0814689648071
ACH-000052,-0.181826753513
ACH-000053,-0.27232520517299996
ACH-000054,-0.11155672160999998
ACH-000055,-0.0238340494203
ACH-000060,-0.16580063973200002
ACH-000067,-0.451574703078
ACH-000070,-0.031976173901100004
ACH-000075,-0.357814224197
ACH-000078,-0.246779493613
ACH-000082,-0.172808169091
ACH-000085,-0.035490110467
ACH-000086,-0.0749203780258
ACH-000087,-0.34085227645599997
ACH-000092,-0.20847668179
ACH-000095,-0.378247819221
ACH-000097,0.0421209251136
ACH-000098,-0.187242431318
ACH-000099,-0.0262059808916
ACH-000108,-0.31391965163400004
ACH-000113,-0.18363784936500002
ACH-000115,-0.350266695252
ACH-000116,-0.184462873358
ACH-000118,-0.19691999706500002
ACH-000120,-0.216109054188
ACH-000123,-0.162001521716
ACH-000127,-0.07575967638460002
ACH-000128,-0.325061528704
ACH-000132,-0.36210961911300005
ACH-000133,-0.1406548991
ACH-000137,-0.17805074277600003
ACH-000138,-0.0633421703336
ACH-000142,-0.113441750255
ACH-000143,-0.272811718249
ACH-000146,-0.289261096933
ACH-000148,-0.263062847623
ACH-000150,0.0063362600619999996
ACH-000152,-0.336155096616
ACH-000153,-0.41838998038
ACH-000159,-0.356472634656
ACH-000160,-0.400318025273
ACH-000163,-0.275406757978
ACH-000167,-0.40266060310900004
ACH-000168,-0.00963484229978
ACH-000169,-0.0425084826541
ACH-000178,-0.192493334201
ACH-000182,-0.139412102584
ACH-000183,-0.261883401895
ACH-000188,-0.283812143641
ACH-000189,-0.11685121394200002
ACH-000190,-0.127069218803
ACH-000198,-0.247222987546
ACH-000204,0.0705682977967
ACH-000206,-0.24215793036299998
ACH-000207,-0.36879073365500004
ACH-000211,-0.115795833252
ACH-000215,-0.19869645010899997
ACH-000221,-0.208920471512
ACH-000222,-0.09393534429580001
ACH-000223,-0.352414893424
ACH-000226,-0.35418074573200004
ACH-000227,-0.44497701775799997
ACH-000228,-0.35442285377899996
ACH-000231,-0.406082344423
ACH-000232,-0.334270322557
ACH-000233,-0.30405636751
ACH-000234,-0.225881534097
ACH-000235,-0.339166974948
ACH-000237,-0.18598887209800002
ACH-000238,-0.295223011402
ACH-000243,-0.201581602079
ACH-000244,-0.149627459849
ACH-000246,-0.10598623965199999
ACH-000248,-0.28063964556800003
ACH-000250,-0.226280366505
ACH-000251,-0.277475336169
ACH-000253,-0.42507455679399997
ACH-000255,-0.394162505498
ACH-000256,-0.19662732240400002
ACH-000257,-0.431711590298
ACH-000258,-0.196584519344
ACH-000259,-0.173053536954
ACH-000260,-0.13530318604
ACH-000261,-0.263906043817
ACH-000262,-0.191776724002
ACH-000263,-0.434843393004
ACH-000264,-0.239359250647
ACH-000265,-0.34307637354000003
ACH-000266,-0.210877798428
ACH-000272,-0.26943340297699997
ACH-000273,-0.17033405315000003
ACH-000274,-0.285186385847
ACH-000277,-0.18511479409200002
ACH-000278,-0.031070290942000003
ACH-000279,-0.175488285315
ACH-000280,-0.150764650146
ACH-000281,0.203924392006
ACH-000288,-0.34198224503799995
ACH-000291,-0.11265565670399999
ACH-000293,-0.11885884423000001
ACH-000294,-0.187128711961
ACH-000295,-0.214358466332
ACH-000296,-0.042579722685900004
ACH-000302,-0.186272153006
ACH-000304,-0.288082353319
ACH-000307,-0.310623242381
ACH-000308,-0.0938510848068
ACH-000310,-0.189690638245
ACH-000311,-0.0376931995215
ACH-000312,-0.220635929894
ACH-000315,-0.24207002728799998
ACH-000316,-0.18952218208299998
ACH-000317,-0.168705500895
