,BTAF1 (9044)
ACH-000004,-0.0902774025384
ACH-000007,-0.40174329957800003
ACH-000009,-0.480822157732
ACH-000011,-0.34894672567100005
ACH-000012,-0.11181598144400001
ACH-000013,-0.222469452118
ACH-000014,-0.349887672921
ACH-000015,-0.5967929312470001
ACH-000017,-0.425669431097
ACH-000018,-0.424762849445
ACH-000019,-0.501136168378
ACH-000021,-0.25807815501200004
ACH-000022,-0.332367412383
ACH-000025,-0.262273171475
ACH-000028,-0.7755442473469999
ACH-000030,-0.265292331614
ACH-000035,-0.294276880924
ACH-000036,-0.343461122698
ACH-000037,-0.366193534886
ACH-000039,-0.575143174836
ACH-000040,-0.569142905647
ACH-000041,-0.62946081041
ACH-000042,-0.484800221552
ACH-000045,-0.550673734761
ACH-000047,-0.358724049845
ACH-000052,-0.23898909600499998
ACH-000053,-0.0638041915198
ACH-000054,0.014139350714799999
ACH-000055,-0.44106747534199997
ACH-000060,-0.537756638405
ACH-000067,-0.781617235205
ACH-000070,-0.8775836880589999
ACH-000075,-0.199911953218
ACH-000078,-0.289057783608
ACH-000082,-0.619900672917
ACH-000085,-0.420077752003
ACH-000086,-0.16095079066
ACH-000087,-0.529971108537
ACH-000092,-0.252725405574
ACH-000095,-0.567498583369
ACH-000097,-0.820487525029
ACH-000098,-0.205512481635
ACH-000099,-0.546593401027
ACH-000108,-0.235280227997
ACH-000113,-0.462846665687
ACH-000115,-0.581611344122
ACH-000116,-0.710821583134
ACH-000118,-0.29379207983399996
ACH-000120,-0.627321956778
ACH-000123,-0.47920597696500006
ACH-000127,-0.479546429502
ACH-000128,-0.586346717971
ACH-000132,-0.243543034385
ACH-000133,-0.643705669906
ACH-000137,-0.38712429788400005
ACH-000138,-0.499999700119
ACH-000142,-0.7040941144030001
ACH-000143,-0.57073662568
ACH-000146,-0.482016661673
ACH-000148,-0.5804469583590001
ACH-000150,0.07560219983080001
ACH-000152,-0.738017686512
ACH-000153,-0.18080630813499998
ACH-000159,-0.34975047091600003
ACH-000160,-0.350695754652
ACH-000163,-0.435262540783
ACH-000167,-0.0880070117741
ACH-000168,-0.463683320313
ACH-000169,-0.357281699495
ACH-000178,-0.6371811573489999
ACH-000182,-0.640463390941
ACH-000183,-0.634494243403
ACH-000188,-0.6143694534449999
ACH-000189,-0.400848042142
ACH-000190,-0.510582507354
ACH-000198,-0.55537335662
ACH-000204,-0.626941712708
ACH-000206,-0.264958884896
ACH-000207,-1.04781709597
ACH-000211,-0.614668429027
ACH-000215,-0.44116389900499997
ACH-000221,-0.437064228303
ACH-000222,-0.6122381859220001
ACH-000223,-0.5415765183
ACH-000226,-0.304911309774
ACH-000227,-0.36141146329199997
ACH-000228,-0.344359899049
ACH-000231,-0.671406776427
ACH-000232,-0.655365411898
ACH-000233,-0.021976275268900003
ACH-000234,-0.311090596452
ACH-000235,-0.568581385656
ACH-000237,-0.263384559129
ACH-000238,-0.535175095199
ACH-000243,-0.8399527428970001
ACH-000244,-0.132639797007
ACH-000246,-0.27229503654599996
ACH-000248,-0.213297385338
ACH-000250,-0.514502908643
