,MERTK (10461)
ACH-000004,-0.21306489919100002
ACH-000007,-0.281789484014
ACH-000009,-0.158094436029
ACH-000011,-0.0353808316376
ACH-000012,-0.152793391849
ACH-000013,-0.07504066830919999
ACH-000014,-0.045279698281100005
ACH-000015,-0.39212063712300005
ACH-000017,-0.143122544322
ACH-000018,-0.115355459148
ACH-000019,0.10361290228299999
ACH-000021,-0.0356200822339
ACH-000022,-0.159303895882
ACH-000025,-0.241164327543
ACH-000028,-0.23966090574499999
ACH-000030,-0.0860299451164
ACH-000035,-0.138613223153
ACH-000036,-0.0382291880373
ACH-000037,-0.08465537060900001
ACH-000039,-0.363686774192
ACH-000040,-0.232751232819
ACH-000041,-0.206350841012
ACH-000042,-0.12320870039899999
ACH-000045,-0.0458280769073
ACH-000047,-0.371532004768
ACH-000052,-0.568859795681
ACH-000053,-0.102384236046
ACH-000054,-0.195334334808
ACH-000055,0.0683994517508
ACH-000060,-0.16947300899700002
ACH-000067,-0.209142499412
ACH-000070,-0.060167775565
ACH-000075,-0.42481942118199995
ACH-000078,-0.226840276799
ACH-000082,-0.09934671709930001
ACH-000085,-0.11589106795
ACH-000086,-0.113248446846
ACH-000087,-0.37160070851300003
ACH-000092,-0.199372384377
ACH-000095,-0.07282966021930001
ACH-000097,-0.136945901831
ACH-000098,-0.37798592945
ACH-000099,-0.150001563434
ACH-000108,-0.0701635696731
ACH-000113,-0.138206151916
ACH-000115,-0.175661676637
ACH-000116,-0.165029104798
ACH-000118,-0.164678936647
ACH-000120,-0.23725821630399999
ACH-000123,-0.132065077222
ACH-000127,-0.0648215693411
ACH-000128,-0.19850488755600001
ACH-000132,-0.219699276047
ACH-000133,-0.042072493812600004
ACH-000137,-0.440663253093
ACH-000138,0.08571921754239999
ACH-000142,-0.139203054875
ACH-000143,-0.295977896516
ACH-000146,-0.13939723502
ACH-000148,-0.0924249620737
ACH-000150,-0.0742263370555
ACH-000152,-0.0740321806652
ACH-000153,0.0684405715763
ACH-000159,-0.053037991783400004
