,PRKCE (5581)
ACH-000004,-0.108344213227
ACH-000007,0.160583884036
ACH-000009,0.021610406825
ACH-000011,-0.23159827654399998
ACH-000012,-0.0403682137018
ACH-000013,-0.185791216064
ACH-000014,-0.05984078071769999
ACH-000015,-0.09869992046800001
ACH-000017,-0.019118207894099997
ACH-000018,-0.544283666542
ACH-000019,-0.131818396568
ACH-000021,-0.0931597471921
ACH-000022,-0.39229143102700004
ACH-000025,-0.49977304237
ACH-000028,-0.287864939702
ACH-000030,-0.14000320976
ACH-000035,-0.252178977892
ACH-000036,-0.022548777214
ACH-000037,-0.437785024317
ACH-000039,-0.136688243354
ACH-000040,-0.142979950558
ACH-000041,-0.10383112631300001
ACH-000042,-0.413735202177
ACH-000045,-0.13878934499
ACH-000047,-0.0534869956834
ACH-000052,-0.28112722376
ACH-000053,-0.12042881559100001
ACH-000054,-0.412732532464
ACH-000055,-0.32373564005100003
ACH-000060,-0.499924477007
ACH-000067,-0.12786836583
ACH-000070,-0.881451985579
ACH-000075,-0.0154416997909
ACH-000078,-0.396707286686
ACH-000082,-0.573067150114
ACH-000085,0.122304468091
ACH-000086,-0.213825607264
ACH-000087,0.048954983990400006
ACH-000092,-0.455352310311
ACH-000095,-0.179590565293
ACH-000097,-0.173469925251
ACH-000098,-0.19589671433800002
ACH-000099,-0.326774269858
ACH-000108,-0.30946629523200003
ACH-000113,-0.25666359034
ACH-000115,-0.14343908025399998
ACH-000116,-0.239399234303
ACH-000118,-0.120670018041
ACH-000120,-0.590631586953
ACH-000123,0.0498673572964
ACH-000127,-0.28756659206999996
ACH-000128,-0.273739038814
ACH-000132,-0.825040843977
ACH-000133,-0.22972191374499998
ACH-000137,-0.15207564582900002
ACH-000138,-0.18945338733
ACH-000142,-0.440645234379
ACH-000143,-0.341613873367
ACH-000146,-0.111681867269
ACH-000148,-0.0579615664415
ACH-000150,-0.15833402083599998
ACH-000152,-0.356292463678
ACH-000153,0.16372608102
ACH-000159,-0.17188527834399997
ACH-000160,-0.225462857834
ACH-000163,-0.419816639564
ACH-000167,-0.20013303381900002
ACH-000168,-0.198429060387
ACH-000169,-0.16414954004899998
ACH-000178,-0.306940268552
ACH-000182,-0.183031419893
ACH-000183,-0.205493816492
ACH-000188,-0.12047147926599999
ACH-000189,0.039645822414099995
ACH-000190,-0.164644294455
ACH-000198,-0.07448041504649999
ACH-000204,-0.375864806823
ACH-000206,-0.2883374543
ACH-000207,-0.35344584441200005
ACH-000211,-0.108349238013
ACH-000215,-0.260076919146
ACH-000221,-0.237673300767
ACH-000222,0.225615245435
ACH-000223,-0.38683037509199997
ACH-000226,-0.31780092631900003
ACH-000227,-0.544799696843
ACH-000228,-0.16382979627699998
ACH-000231,-0.300403521203
ACH-000232,-0.17309912873799999
ACH-000233,-0.251141160445
ACH-000234,-0.27743794905200003
ACH-000235,-0.08432686353919999
ACH-000237,-0.149098418974
ACH-000238,-0.30211067120499996
ACH-000243,-0.17627805901500002
ACH-000244,-0.264626143619
ACH-000246,-0.10088038893300001
ACH-000248,-0.17647441665
ACH-000250,-0.23586714471200002
ACH-000251,-0.180004813777
ACH-000253,-0.199781353352
ACH-000255,-0.114432874826
ACH-000256,-0.09104298503830001
ACH-000257,0.232238276349
ACH-000258,-0.14396266757600001
ACH-000259,-0.291351519644
ACH-000260,-0.302923355672
ACH-000261,-0.12589007779300002
ACH-000262,-0.0184289256268
ACH-000263,0.161895691261
ACH-000264,-0.265281459133
ACH-000265,-0.0341880440321
ACH-000266,-0.259339950086
ACH-000272,-0.17637339955200002
ACH-000273,-0.268941349173
ACH-000274,-0.519732209894
ACH-000277,-0.317540069259
ACH-000278,-0.268573484797
ACH-000279,-0.192273679718
ACH-000280,0.018211016994900003
ACH-000281,-0.107218023354
ACH-000288,-0.381376782659
ACH-000291,-0.127674588723
ACH-000293,-0.522010529869
ACH-000294,-0.150502677964
ACH-000295,-0.22672238469099998
ACH-000296,0.025337737937099997
ACH-000302,-0.139475889283
ACH-000304,-0.488954177768
ACH-000307,-0.218137477258
ACH-000308,-0.19074033302299997
ACH-000310,-0.11246011863199999
ACH-000311,-0.134698637758
ACH-000312,-0.40923393977
ACH-000315,-0.617015411362
ACH-000316,-0.16249573427
ACH-000317,-0.23224525487199998
ACH-000318,-0.170216135797
ACH-000319,-0.216594646218
ACH-000320,-0.0319618816829
ACH-000322,-0.300830733875
ACH-000323,-0.649215323218
ACH-000324,-0.183941282367
ACH-000329,-0.289463491858
ACH-000330,-0.334470101587
ACH-000331,-0.262038630172
ACH-000332,-0.14547045099199998
ACH-000334,-0.447516531255
ACH-000335,-0.263345308808
ACH-000336,0.0205672872414
ACH-000337,-0.0104656496437
ACH-000339,-0.126072707463
ACH-000341,-0.340028654078
ACH-000348,-0.09508762576639998
ACH-000350,-0.100461286791
ACH-000352,-0.258885388831
ACH-000356,0.200029577943
ACH-000361,-0.21251255423
ACH-000362,-0.21894121192899998
ACH-000363,-0.239159582244
ACH-000364,-0.351049130046
ACH-000365,-0.0377080237613
ACH-000366,-0.228022986099
ACH-000368,-0.327919131705
ACH-000374,-0.204699863743
ACH-000375,-0.106800483667
ACH-000376,-0.234581080685
ACH-000381,-0.44777465804899996
ACH-000383,-0.23705340273000003
ACH-000387,-0.271134126965
ACH-000389,-0.031491178938099995
ACH-000390,-0.141047059198
ACH-000393,-0.262960124665
ACH-000395,-0.399353330342
ACH-000397,-0.185207733257
ACH-000401,-0.00430782318683
ACH-000402,-0.43952808255599995
