,EIF5AL1 (143244)
ACH-000004,-0.42144069484499996
ACH-000007,-0.0951050555676
ACH-000009,-0.574930653653
ACH-000011,-0.430269992885
ACH-000012,-0.439223629382
ACH-000013,-0.341394635225
ACH-000014,-0.275929358468
ACH-000015,-0.351466551801
ACH-000017,-0.329226709781
ACH-000018,-0.7004007498370001
ACH-000019,-0.441182775631
ACH-000021,-0.408920747662
ACH-000022,-0.363086595082
ACH-000025,-0.367760057715
ACH-000028,-0.11775599506699999
ACH-000030,-0.465910469612
ACH-000035,-0.572280414818
ACH-000036,-0.38551097869999995
ACH-000037,-0.44373535789499996
ACH-000039,-0.382288684847
ACH-000040,-0.476662364625
ACH-000041,-0.23896582151
ACH-000042,-0.241994790407
ACH-000045,-0.395410633792
ACH-000047,-0.351162602113
ACH-000052,-0.148691684053
ACH-000053,-0.42969384050899995
ACH-000054,-0.046709092713099996
ACH-000055,-0.278300103691
ACH-000060,-0.369421558204
ACH-000067,-0.740462155157
ACH-000070,-0.294991629585
ACH-000075,-0.144042863043
ACH-000078,-0.189230485539
ACH-000082,-0.633856301051
ACH-000085,-0.12729111578299998
ACH-000086,-0.501596876716
ACH-000087,-0.37070016596
ACH-000092,-0.275789948525
ACH-000095,-0.314372719937
ACH-000097,-0.34298505019299996
ACH-000098,-0.5053648452139999
ACH-000099,-0.246838014017
ACH-000108,-0.38785145434600005
ACH-000113,-0.250474525815
ACH-000115,-0.592097066025
ACH-000116,-0.328903082937
ACH-000118,-0.100193584108
ACH-000120,-0.09630483279039999
ACH-000123,-0.29096511335499997
ACH-000127,-0.46239166853200003
ACH-000128,-0.297452441688
ACH-000132,-0.146886555445
ACH-000133,-0.128838018695
ACH-000137,-0.328335920425
ACH-000138,-0.23513796185
ACH-000142,-0.388779912054
ACH-000143,-0.548036309944
ACH-000146,-0.49923936652400003
ACH-000148,-0.435705218869
ACH-000150,-0.39897271951700003
ACH-000152,-0.623950835804
ACH-000153,0.0194445221561
ACH-000159,-0.170869901628
ACH-000160,-0.42868033739100003
ACH-000163,-0.472372581991
ACH-000167,-0.410080971008
ACH-000168,-0.174386265035
ACH-000169,-0.425008775831
ACH-000178,-0.278224551166
ACH-000182,-0.279942403798
ACH-000183,-0.29372038641
ACH-000188,-0.470467885865
ACH-000189,-0.182957821518
ACH-000190,-0.32388164974
ACH-000198,-0.24957819072700002
ACH-000204,-0.190141959577
ACH-000206,-0.558622669178
ACH-000207,-0.0466184763484
ACH-000211,-0.5187903404909999
ACH-000215,-0.36468889318400005
ACH-000221,-0.240763235138
ACH-000222,-0.15133604657299998
ACH-000223,-0.326660392614
ACH-000226,-0.241582403571
ACH-000227,-0.404986863487
ACH-000228,-0.48165234156900005
ACH-000231,-0.37810282016400004
ACH-000232,-0.36239746602399997
ACH-000233,-0.6335521439549999
ACH-000234,-0.10294716670399999
ACH-000235,-0.164860454894
ACH-000237,-0.491876341634
ACH-000238,-0.37252265427599995
ACH-000243,-0.310152241176
ACH-000244,-0.22793992353
ACH-000246,-0.178699113416
ACH-000248,-0.35092246163699997
ACH-000250,-0.245146625483
ACH-000251,-0.42850910541000004
ACH-000253,-0.44390506247
ACH-000255,-0.430240291484
ACH-000256,-0.509405070016
ACH-000257,-0.313362538192
ACH-000258,-0.682209726233
ACH-000259,-0.325727620204
ACH-000260,-0.155866651598
ACH-000261,-0.163470837133
ACH-000262,-0.209876787343
ACH-000263,-0.228273045367
ACH-000264,-0.426178102906
ACH-000265,-0.260260386466
ACH-000266,-0.0661224426492
ACH-000272,-0.198986600348
ACH-000273,-0.468033578552
ACH-000274,-0.21030123426300001
ACH-000277,-0.6864979761390001
ACH-000278,-0.498049814898
ACH-000279,-0.283937718015
ACH-000280,-0.48879561689199996
ACH-000281,-0.341473126351
ACH-000288,-0.618666218023
ACH-000291,-0.24754319630399998
ACH-000293,-0.37047736142300003
ACH-000294,-0.0241327546591
ACH-000295,-0.538027579194
ACH-000296,-0.593733618453
ACH-000302,-0.50854929398
ACH-000304,0.19066735969700002
ACH-000307,-0.267734269304
ACH-000308,-0.223619256219
ACH-000310,-0.234585769952
ACH-000311,-0.269821728438
ACH-000312,-0.235764071303
ACH-000315,-0.542523937504
ACH-000316,-0.476669663982
ACH-000317,-0.00387659556944
ACH-000318,-0.45282300481000004
ACH-000319,-0.26967745463599996
ACH-000320,-0.777772215724
ACH-000322,-0.520586540827
ACH-000323,-0.451919147244
ACH-000324,-0.227751325677
ACH-000329,-0.24606358867699998
ACH-000330,-0.299268344007
ACH-000331,-0.414167791756
ACH-000332,-0.28260376925299996
ACH-000334,-0.605766571993
ACH-000335,0.03451103550159999
ACH-000336,-0.610903225439
ACH-000337,-0.467446886964
ACH-000339,-0.42763358741499996
ACH-000341,-0.474315210323
ACH-000348,-0.150912376266
ACH-000350,-0.253750913046
ACH-000352,-0.257561889218
ACH-000356,-0.246201749
ACH-000361,-0.403930947808
ACH-000362,-0.47035028167900006
ACH-000363,-0.422785517509
ACH-000364,-0.188067719895
ACH-000365,-0.267789152222
ACH-000366,-0.36577723402400003
ACH-000368,-0.507613720009
ACH-000374,-0.14616558704000002
ACH-000375,-0.23048998766800002
ACH-000376,-0.561506827405
ACH-000381,-0.49958804758500003
ACH-000383,-0.237099849958
ACH-000387,-0.167831903102
ACH-000389,-0.18862497614
ACH-000390,-0.232748088317
ACH-000393,-0.163273346401
ACH-000395,-0.148079873159
ACH-000397,-0.487969818247
ACH-000401,-0.034648019311099995
ACH-000402,-0.45110592032200003
ACH-000403,-0.267578276777
ACH-000404,0.103547786832
ACH-000406,-0.532223251097
ACH-000407,-0.43959532765299997
ACH-000408,-0.434587289583
ACH-000410,-0.169540817714
ACH-000411,-0.208811355493
ACH-000414,-0.125329083341
ACH-000415,-0.385161559661
ACH-000416,-0.289224148011
ACH-000420,-0.22858246580699998
ACH-000421,-0.15419062640999998
ACH-000424,-0.347651324228
ACH-000425,-0.282797709788
ACH-000426,-0.8547104811599999
ACH-000427,-0.5517047843289999
ACH-000433,-0.42299546609899996
ACH-000436,-0.711310657426
ACH-000444,-0.375226412658
ACH-000445,-0.295510891356
ACH-000448,-0.278312989117
ACH-000450,-0.5222827927179999
ACH-000452,-0.417222510127
ACH-000454,-0.588281658365
ACH-000458,-0.33228433605700003
ACH-000459,-0.43870698677000003
ACH-000460,-0.21378834180300002
ACH-000461,-0.19356417898400002
ACH-000463,-0.348561483194
ACH-000464,-0.155717142075
ACH-000466,-0.169282375165
ACH-000467,-0.188076319887
ACH-000468,-0.0877961416434
ACH-000469,-0.22552943251999996
ACH-000470,-0.24532798948600001
ACH-000471,-0.35639964615599995
ACH-000472,-0.15059485949999998
ACH-000473,-0.399833428139
ACH-000475,-0.33971866363000003
ACH-000476,-0.48944099563500004
ACH-000477,-0.351992997358
ACH-000480,-0.302767798946
ACH-000481,-0.315777933037
ACH-000483,-0.31553097369399996
ACH-000484,0.13853499591600002
ACH-000485,-0.531431451999
ACH-000486,-0.378534047808
ACH-000487,-0.178497425955
ACH-000488,-0.286360966923
ACH-000490,-0.23373091806
ACH-000491,-0.458678754183
ACH-000495,-0.407746960303
ACH-000496,-0.19870752714499998
ACH-000499,-0.19818745980099997
ACH-000500,-0.321636432688
ACH-000502,-0.303568233545
ACH-000503,-0.324289665019
ACH-000505,-0.306788733078
ACH-000507,-0.518893700282
ACH-000510,-0.496036661008
ACH-000511,-0.43244045607799997
ACH-000512,-0.0194129736942
ACH-000516,-0.24017872116
ACH-000517,-0.12093229452299999
ACH-000518,-0.206496184439
ACH-000520,-0.294648226015
ACH-000521,-0.43030810457400004
ACH-000522,-0.34794028294600005
ACH-000524,-0.43692034374899996
ACH-000527,-0.367441840028
ACH-000528,-0.33915102936499997
ACH-000537,-0.166200991377
ACH-000541,-0.401341009271
ACH-000542,-0.149376674803
ACH-000544,-0.470243498796
ACH-000545,-0.44777657881399996
ACH-000547,-0.0787856437904
ACH-000548,-0.35202898689999995
ACH-000549,-1.03361357608
ACH-000550,-0.16070532869999998
ACH-000552,-0.368939105182
ACH-000556,-0.419781823317
ACH-000557,-0.5886263521239999
ACH-000570,-0.38325386678199996
ACH-000571,-0.21899062709199998
ACH-000573,-0.266292012414
ACH-000576,-0.140202808604
ACH-000580,0.356487198935
ACH-000584,-0.512428952809
ACH-000585,-0.0901994008062
ACH-000588,-0.335620905247
ACH-000589,-0.37638639334799995
ACH-000591,-0.46402452083499995
ACH-000593,-0.388182128106
ACH-000600,-0.528011944913
ACH-000601,-0.315274204355
ACH-000604,-0.381532135238
ACH-000605,-0.36851471922300005
ACH-000606,-0.32825015997400003
ACH-000608,-0.293397278194
