,HDGFRP2 (84717)
ACH-000004,0.0856990005851
ACH-000007,-0.0475422462583
ACH-000009,-0.140732600733
ACH-000011,-0.09097907449789999
ACH-000012,-0.324763584824
ACH-000013,-0.223799320911
ACH-000014,-0.153605750382
ACH-000015,-0.04514170706130001
ACH-000017,-0.274756323676
ACH-000018,-0.19659630552000001
ACH-000019,-0.132316974762
ACH-000021,-0.28722107376600003
ACH-000022,-0.32542333712
ACH-000025,-0.483116101362
ACH-000028,-0.36275768185699997
ACH-000030,-0.180686077744
ACH-000035,-0.12319619589099999
ACH-000036,-0.138909405369
ACH-000037,0.0547964866859
ACH-000039,-0.176722764039
ACH-000040,-0.0077945120158300005
ACH-000041,-0.257403841012
ACH-000042,-0.268217529588
ACH-000045,-0.137913629024
ACH-000047,-0.007225613472009999
ACH-000052,0.0477242514958
ACH-000053,0.15887957050999998
ACH-000054,-0.0704984573399
ACH-000055,-0.415049541985
ACH-000060,-0.19380345331300003
ACH-000067,-0.0128183344248
ACH-000070,-0.415286761646
ACH-000075,-0.11820202207399999
ACH-000078,-0.04781705391319999
ACH-000082,-0.14751943613600002
ACH-000085,-0.0444342023771
ACH-000086,-0.283381133596
ACH-000087,-0.36459954557499996
ACH-000092,-0.08317494721469999
ACH-000095,-0.314337078426
ACH-000097,-0.17726916154599998
ACH-000098,-0.0416248206509
ACH-000099,-0.16988476410999998
ACH-000108,-0.225913124758
ACH-000113,-0.2883276909
ACH-000115,-0.377557122174
ACH-000116,-0.204175909891
ACH-000118,-0.262040393969
ACH-000120,-0.35141105729999994
ACH-000123,-0.346549424964
ACH-000127,-0.18259377414500003
ACH-000128,-0.252852038667
ACH-000132,-0.248244805546
ACH-000133,-0.276484889603
ACH-000137,-0.21256735854800002
ACH-000138,-0.328894555403
ACH-000142,-0.238336419454
ACH-000143,0.144205952404
ACH-000146,0.00895194877956
ACH-000148,-0.0112428319385
ACH-000150,-0.18643561756299998
ACH-000152,-0.018747762469099996
ACH-000153,-0.0338453013778
ACH-000159,-0.128032493594
ACH-000160,0.368633363689
ACH-000163,0.0546995002809
ACH-000167,0.570690607369
ACH-000168,-0.414405972927
