,HBEGF (1839)
ACH-000004,-0.12071660943
ACH-000007,-0.004030165721579999
ACH-000009,-0.16850284237
ACH-000011,-0.0160824941
ACH-000012,-0.0917000440585
ACH-000013,-0.0649092811087
ACH-000014,-0.191756474219
ACH-000015,-0.208888047546
ACH-000017,0.017425598246799998
ACH-000018,-0.133959199363
ACH-000019,-0.100898365843
ACH-000021,-0.19039546877799998
ACH-000022,-0.011485587616700002
ACH-000025,0.0779534481981
ACH-000028,-0.218347272317
ACH-000030,-0.17956360462999998
ACH-000035,-0.10261707610300001
ACH-000036,-0.05277343181
ACH-000037,-0.124869006814
ACH-000039,-0.40811638001100004
ACH-000040,-0.164924315158
ACH-000041,-0.0288688280751
ACH-000042,0.0582066634229
ACH-000045,-0.250894399986
ACH-000047,-0.012438505727099999
ACH-000052,-0.190305606346
ACH-000053,-0.037169437220999996
ACH-000054,-0.239636524446
ACH-000055,0.07553232575260001
ACH-000060,-0.17743647712299998
ACH-000067,-0.232629850704
ACH-000070,0.0452566017929
ACH-000075,-0.056950060890899996
ACH-000078,0.0511573475954
ACH-000082,-0.221202703853
ACH-000085,0.07619935156289999
ACH-000086,-0.211349758746
ACH-000087,0.020991263821200003
ACH-000092,-0.0607732987418
ACH-000095,-0.205430312116
ACH-000097,-0.165453958194
ACH-000098,-0.264233712289
ACH-000099,-0.168680613444
ACH-000108,-0.027741287917800003
ACH-000113,-0.119604006364
ACH-000115,-0.10938144445999999
ACH-000116,-0.0657792668548
ACH-000118,-0.0816439999242
ACH-000120,-0.06067255875869999
ACH-000123,-0.0991421900114
ACH-000127,-0.135964984044
ACH-000128,-0.15997161899499998
ACH-000132,-0.24884106199
ACH-000133,-0.26806720683
ACH-000137,-0.122063266974
ACH-000138,-0.0556174065734
ACH-000142,-0.0494902758859
ACH-000143,-0.20424993786600001
ACH-000146,-0.15366448892
ACH-000148,-0.18160321011100003
ACH-000150,-0.21144902365499998
ACH-000152,-0.195700742687
ACH-000153,-0.188805384624
ACH-000159,-0.08494467893610001
ACH-000160,-0.13856270748299998
ACH-000163,-0.0699446440911
ACH-000167,-0.265136859824
ACH-000168,-0.139113001835
ACH-000169,-0.0148451547252
ACH-000178,-0.13221621162799999
ACH-000182,-0.21437285715999999
ACH-000183,-0.252345490066
ACH-000188,-0.00498942230361
ACH-000189,-0.147331089715
ACH-000190,-0.0169580586855
ACH-000198,-0.120420528761
ACH-000204,-0.221222334366
ACH-000206,-0.33165244662099996
ACH-000207,-0.0749084201816
ACH-000211,-0.0685873463863
ACH-000215,-0.0937318148371
ACH-000221,0.0118900759222
ACH-000222,-0.0753016948535
ACH-000223,-0.0912085120233
ACH-000226,-0.22698038071600002
ACH-000227,-0.0510637125324
ACH-000228,0.029605189027900002
ACH-000231,-0.176148143972
ACH-000232,-0.179890478266
ACH-000233,-0.155019216942
ACH-000234,-0.109490048732
ACH-000235,-0.09840577434469999
