,TCP11L2 (255394)
ACH-000004,-0.045613809576599995
ACH-000007,0.24968895081599998
ACH-000009,0.09112412358280002
ACH-000011,0.06258148588069999
ACH-000012,0.125457764664
ACH-000013,0.24831037115899998
ACH-000014,-0.006434370676
ACH-000015,0.0968617264198
ACH-000017,-0.08377977031469999
ACH-000018,0.0123165015114
ACH-000019,0.316988889091
ACH-000021,0.130796760797
ACH-000022,0.19740377269900003
ACH-000025,0.22065611031500001
ACH-000028,0.102828755795
ACH-000030,0.216633146864
ACH-000035,0.315963270315
ACH-000036,0.177306603491
ACH-000037,0.11634130310900001
ACH-000039,0.297866488198
ACH-000040,0.032456629125099994
ACH-000041,-0.156783238506
ACH-000042,0.183866186268
ACH-000045,0.112106097315
ACH-000047,0.011047747538100002
ACH-000052,0.031046125126700002
ACH-000053,0.141636028154
ACH-000054,0.0623777799593
ACH-000055,0.123300897278
ACH-000060,0.00893076658286
ACH-000067,0.155804978072
ACH-000070,0.128494198867
ACH-000075,0.0538648460241
ACH-000078,0.12964239430500002
ACH-000082,0.11862655273
ACH-000085,0.00686079989218
ACH-000086,0.0593884914244
ACH-000087,0.14765297785
ACH-000092,0.10364230552100001
ACH-000095,0.0819109504402
ACH-000097,0.226551021947
ACH-000098,0.08559457532999999
ACH-000099,0.143179967413
ACH-000108,0.426710229272
ACH-000113,0.0811071346604
ACH-000115,-0.00657113510328
ACH-000116,0.177994775523
ACH-000118,0.289793546019
ACH-000120,0.127380101876
ACH-000123,0.12938376273
ACH-000127,0.18114692920000003
ACH-000128,0.1011974122
ACH-000132,0.181538339029
ACH-000133,0.051981767076199996
ACH-000137,0.18240358878899998
ACH-000138,0.260090450091
ACH-000142,0.11074684752399999
ACH-000143,0.04899859740680001
ACH-000146,0.18140203703899999
ACH-000148,0.045320124637000005
ACH-000150,-0.04402757891419999
ACH-000152,0.0607111129637
ACH-000153,0.26265053282699996
ACH-000159,0.169462171996
ACH-000160,0.17102045059
ACH-000163,0.116259613803
ACH-000167,-0.055160025773
ACH-000168,0.212721738259
ACH-000169,0.310208451178
ACH-000178,0.12305312168199999
ACH-000182,0.142715695196
ACH-000183,-0.0123535901688
ACH-000188,0.10102687502699999
ACH-000189,0.39174719225500004
ACH-000190,0.18922868072299998
ACH-000198,0.209595438583
ACH-000204,0.21935312724300002
ACH-000206,0.232813260944
ACH-000207,0.233186604582
ACH-000211,0.150111902305
ACH-000215,0.0422924094365
ACH-000221,0.169317860357
ACH-000222,0.191049444155
ACH-000223,0.0758717157031
ACH-000226,0.0326088215037
ACH-000227,0.104250941153
ACH-000228,0.23597996923700001
ACH-000231,0.114026601556
ACH-000232,0.21708912103300002
ACH-000233,0.155568341041
ACH-000234,0.110296189598
ACH-000235,0.11353554955
ACH-000237,0.119158417884
ACH-000238,0.05220532622819999
ACH-000243,0.166855435148
ACH-000244,0.206071864095
ACH-000246,0.136950717342
ACH-000248,0.18570148029199998
ACH-000250,0.155020088241
ACH-000251,0.0983569409273
ACH-000253,0.23709794987399999
ACH-000255,0.12257747637599999
ACH-000256,0.20611890195500002
ACH-000257,0.320095014593
ACH-000258,0.09159992384919999
ACH-000259,0.059768071152
ACH-000260,0.21228484526900002
ACH-000261,0.116789980271
ACH-000262,0.304144535961
ACH-000263,-0.101405144841
ACH-000264,0.195899914715
ACH-000265,0.166599002343
ACH-000266,0.13872833647
ACH-000272,0.163927902767
ACH-000273,0.09416178155379999
ACH-000274,0.125231199979
ACH-000277,0.100796685217
ACH-000278,0.00893814857235
ACH-000279,0.18990571008200002
ACH-000280,0.114858318928
ACH-000281,0.13067408770400002
ACH-000288,0.144846852584
ACH-000291,0.187067703072
ACH-000293,0.14914049151699998
ACH-000294,0.0532652727843
ACH-000295,0.040599932088900004
ACH-000296,0.152487873397
ACH-000302,0.0981851640361
ACH-000304,0.091432050123
ACH-000307,0.0810916937674
ACH-000308,0.101848925194
ACH-000310,0.113125627546
ACH-000311,0.246507981958
ACH-000312,0.23904927308600002
ACH-000315,0.20673899284699998
