,CYFIP1 (23191)
ACH-000004,-0.7522126117010001
ACH-000007,-0.20824637831300002
ACH-000009,-0.7365816652789999
ACH-000011,-0.195949929897
ACH-000012,-0.344102859372
ACH-000013,-0.299702550923
ACH-000014,-0.546810481417
ACH-000015,-0.38777580734399997
ACH-000017,-0.36026223211499997
ACH-000018,-0.344374640296
ACH-000019,-0.657446973587
ACH-000021,-0.533949403952
ACH-000022,-0.41227267284900004
ACH-000025,-0.211480031111
ACH-000028,-0.37341269185599996
ACH-000030,-0.46930900247699997
ACH-000035,-0.283983949545
ACH-000036,-0.734449382891
ACH-000037,-0.30809019639400004
ACH-000039,-0.466197631936
ACH-000040,-0.476091167588
ACH-000041,-0.593591717718
ACH-000042,-0.644381565248
ACH-000045,-0.768189845019
ACH-000047,-0.383814565062
ACH-000052,-0.633756257288
ACH-000053,-0.331195261889
ACH-000054,-0.43856804878899996
ACH-000055,-0.515011361026
ACH-000060,-0.37496181856399996
ACH-000067,-0.575454712764
ACH-000070,-0.255237823718
ACH-000075,-0.67419334299
ACH-000078,-0.6996144282369999
ACH-000082,-0.574623299287
ACH-000085,-0.778998419293
ACH-000086,-0.260798600421
ACH-000087,0.007890529637009999
ACH-000092,-0.369397117589
ACH-000095,-0.613200310308
ACH-000097,-0.656690930642
ACH-000098,-0.575204003441
ACH-000099,-0.616001698659
ACH-000108,-0.36136537791699996
ACH-000113,-0.48525484288500004
ACH-000115,-0.348919926874
ACH-000116,-0.41523572732600006
ACH-000118,-0.470674201875
ACH-000120,-0.414238967118
ACH-000123,-0.41288472891000005
ACH-000127,-0.31870029421999996
ACH-000128,-0.585077127063
ACH-000132,-0.6654503921230001
ACH-000133,-0.530587566201
ACH-000137,-0.632859878441
ACH-000138,-0.6714047414759999
ACH-000142,-0.711784996855
ACH-000143,-0.270302207414
ACH-000146,-0.380370415117
ACH-000148,-0.32866320329300003
ACH-000150,-0.274039799092
ACH-000152,-0.272337069127
ACH-000153,-0.912910951971
ACH-000159,-0.558341970717
ACH-000160,-0.7405793302279999
ACH-000163,-0.413580564684
ACH-000167,-0.305874166256
ACH-000168,-0.6839683412950001
ACH-000169,-0.434509249794
ACH-000178,-0.530648784581
ACH-000182,-0.41901179111500003
ACH-000183,-0.396746762614
ACH-000188,-0.37841967820600003
ACH-000189,-0.27036262509
ACH-000190,-0.344332134442
ACH-000198,-0.437733831312
ACH-000204,-0.595401815503
ACH-000206,-0.21346177033100003
ACH-000207,-0.46977448356000007
ACH-000211,-0.673161359758
ACH-000215,-0.49257175529200004
ACH-000221,-0.548588381526
ACH-000222,-0.670460053972
ACH-000223,-0.765737334654
ACH-000226,-0.420748748099
ACH-000227,-0.833822074587
ACH-000228,-0.312880082052
ACH-000231,-0.495322638429
ACH-000232,-0.526652574224
ACH-000233,-0.572092071046
ACH-000234,-0.625536938918
ACH-000235,-0.689888745022
ACH-000237,-0.33955893158699996
ACH-000238,-0.302864104915
ACH-000243,-0.636394776694
ACH-000244,-0.44483120638000007
ACH-000246,-0.331959789154
ACH-000248,-0.591110423136
ACH-000250,-0.316112012959
ACH-000251,-0.0584993633636
ACH-000253,-0.48110343504600006
ACH-000255,-0.602863512241
ACH-000256,-0.549791655954
ACH-000257,-0.120424314865
ACH-000258,-0.7062176443829999
ACH-000259,-0.40017512399899996
ACH-000260,-0.54076505986
ACH-000261,-0.74231515749
ACH-000262,-0.46763951108999996
ACH-000263,-0.592191785198
ACH-000264,-0.670426420897
ACH-000265,-0.41642153737
ACH-000266,-0.815546116998
ACH-000272,-0.517450793541
ACH-000273,-0.413943404503
ACH-000274,-0.607883051629
ACH-000277,-0.362030067056
ACH-000278,-0.6631314952880001
ACH-000279,-0.472715489962
ACH-000280,-0.5256608551049999
ACH-000281,-0.780175979031
ACH-000288,-0.564398970219
ACH-000291,-0.403403948258
ACH-000293,-0.423878141524
ACH-000294,-0.29920257366
ACH-000295,-0.463627905176
ACH-000296,-0.367192001647
ACH-000302,-0.48374116083400004
ACH-000304,-0.52938209579
ACH-000307,-0.501735491868
ACH-000308,-0.5480104610859999
ACH-000310,-1.0591961064
ACH-000311,-0.486716368256
ACH-000312,-0.526069731482
ACH-000315,-0.43448210108499996
ACH-000316,-0.23625708300599998
ACH-000317,-0.360129954335
ACH-000318,-0.45317861246299995
ACH-000319,-0.31464813491099997
ACH-000320,-0.512506598116
ACH-000322,-0.20894224414
ACH-000323,-0.602340441118
ACH-000324,-0.491434082487
