,TNFAIP8L2 (79626)
ACH-000004,-0.19323732156
ACH-000007,-0.19302426039999998
ACH-000009,-0.410741331709
ACH-000011,-0.051027351950699996
ACH-000012,-0.28406426699799997
ACH-000013,-0.275175382774
ACH-000014,-0.392893782043
ACH-000015,-0.142595172753
ACH-000017,-0.093550514768
ACH-000018,-0.24300243536999996
ACH-000019,-0.3131340036
ACH-000021,-0.267704683418
ACH-000022,-0.061939603647499994
ACH-000025,-0.367560865705
ACH-000028,-0.420656440466
ACH-000030,-0.219776728787
ACH-000035,-0.384260671572
ACH-000036,-0.327776838213
ACH-000037,-0.128223575963
ACH-000039,-0.303440056105
ACH-000040,-0.159460157906
ACH-000041,-0.115057786986
ACH-000042,-0.08102355667439999
ACH-000045,-0.224709727024
ACH-000047,-0.330255913459
ACH-000052,0.0393736226895
ACH-000053,-0.463592201063
ACH-000054,-0.13053963204000002
ACH-000055,-0.19165062258499999
ACH-000060,-0.134157889784
ACH-000067,-0.000106547626177
ACH-000070,-0.314127157431
ACH-000075,-0.0567850253536
ACH-000078,-0.239891272084
ACH-000082,-0.31085417913
ACH-000085,-0.131322645254
ACH-000086,-0.488392217131
ACH-000087,-0.203199526558
ACH-000092,-0.361798284094
ACH-000095,-0.20428437457499998
ACH-000097,-0.22060676960499997
ACH-000098,-0.204609861857
ACH-000099,-0.137494956659
ACH-000108,-0.183332604865
ACH-000113,-0.143728454187
ACH-000115,-0.257427514596
ACH-000116,-0.401614126568
ACH-000118,-0.25163078096700003
ACH-000120,-0.311777012915
ACH-000123,-0.296675092394
ACH-000127,-0.133818289065
ACH-000128,-0.161454104022
ACH-000132,-0.179015593791
ACH-000133,-0.21773963324
ACH-000137,-0.0298876751303
ACH-000138,-0.144957263596
ACH-000142,-0.334018949334
ACH-000143,-0.232913135597
ACH-000146,-0.1972936438
ACH-000148,-0.266234284649
ACH-000150,-0.14198494102499998
ACH-000152,-0.147975102294
ACH-000153,-0.788538746776
ACH-000159,-0.139755615846
ACH-000160,-0.0882554841632
ACH-000163,-0.350319013221
ACH-000167,-0.0581666548824
ACH-000168,-0.42204784154799996
ACH-000169,-0.0827404305123
ACH-000178,-0.217526377843
ACH-000182,-0.156454175173
ACH-000183,-0.456225041481
ACH-000188,-0.322332199182
ACH-000189,-0.132585391374
ACH-000190,-0.17822608910100002
ACH-000198,-0.214544797678
