,ARPC4 (10093)
ACH-000004,-0.649620569727
ACH-000007,-0.6903447218240001
ACH-000009,-0.7490032304350001
ACH-000011,-1.24091965055
ACH-000012,-0.16941745087699997
ACH-000013,-0.9489012801469999
ACH-000014,-1.0837377145
ACH-000015,-0.8713646779090001
ACH-000017,-0.6291106851899999
ACH-000018,-0.969262469693
ACH-000019,-0.862846458612
ACH-000021,-0.13001039424799998
ACH-000022,-0.58164154403
ACH-000025,-0.741398804859
ACH-000028,-0.696310098712
ACH-000030,-0.651046193418
ACH-000035,-0.676344426685
ACH-000036,-0.937353901806
ACH-000037,-0.26167503267
ACH-000039,-0.8411997920800001
ACH-000040,-0.739518677862
ACH-000041,-0.510958744424
ACH-000042,-0.9827408792929999
ACH-000045,-0.8479925572679999
ACH-000047,-0.9471382972169999
ACH-000052,-0.7476687638539999
ACH-000053,-0.671889663594
ACH-000054,-1.28388445536
ACH-000055,-0.110032012204
ACH-000060,-1.17703721385
ACH-000067,-0.46762721438199994
ACH-000070,-0.6269667139840001
ACH-000075,-0.588000597861
ACH-000078,-0.349152738487
ACH-000082,-0.240840938787
ACH-000085,-0.439851294825
ACH-000086,-0.8866540334990001
ACH-000087,-0.236397892626
ACH-000092,-0.983477277517
ACH-000095,-0.51058854295
ACH-000097,-0.545851519115
ACH-000098,-1.11260371191
ACH-000099,-0.7191029622030001
ACH-000108,-0.9874098121770001
ACH-000113,-0.74268487246
ACH-000115,-0.509618458539
ACH-000116,-0.862254491508
ACH-000118,-0.9057561498799999
ACH-000120,-0.677684568503
ACH-000123,-0.7489735446729999
ACH-000127,-0.9108431947869999
ACH-000128,-1.02508975509
ACH-000132,-1.25376177152
ACH-000133,-0.953201295891
ACH-000137,-0.556399687626
ACH-000138,-0.8688280009639999
ACH-000142,-1.2162945141500001
ACH-000143,-0.912702379928
ACH-000146,-0.556353131712
ACH-000148,-0.8440375884569999
ACH-000150,-0.854715529572
ACH-000152,-0.90274660329
ACH-000153,-1.05049456484
ACH-000159,-0.7737147460510001
ACH-000160,-0.68945320955
ACH-000163,-0.699686844198
ACH-000167,-1.2452490413200001
ACH-000168,-0.702693914156
ACH-000169,-0.362306635292
ACH-000178,-0.881946562436
ACH-000182,-1.08182109752
ACH-000183,-0.569269483778
ACH-000188,-0.7399609489489999
ACH-000189,-1.14839235881
ACH-000190,-0.450240774605
ACH-000198,-0.796139780827
ACH-000204,-0.647298190012
ACH-000206,-0.8459065494600001
ACH-000207,-1.00257962718
ACH-000211,-1.10712131426
ACH-000215,-0.798407341633
ACH-000221,-0.5288575481100001
ACH-000222,-0.573631605937
ACH-000223,-0.625559546963
ACH-000226,-0.404672266204
ACH-000227,-0.826826390531
ACH-000228,-0.38448870043399996
ACH-000231,-0.594167134888
ACH-000232,-1.05085462561
ACH-000233,-0.8414868339720001
ACH-000234,-1.10784760316
ACH-000235,-0.901845461014
ACH-000237,-0.528493093881
ACH-000238,-0.8853056978799999
ACH-000243,-1.10753900814
ACH-000244,-0.784474516867
ACH-000246,-0.84055815645
ACH-000248,-0.415666275439
ACH-000250,-0.639252174378
ACH-000251,-0.984280436717
ACH-000253,-1.2898637463299998
ACH-000255,-0.9954351686920001
ACH-000256,-1.21835279065
ACH-000257,-0.686662461325
ACH-000258,-0.507929998345
ACH-000259,-0.565866050647
ACH-000260,-0.9236699428149999
ACH-000261,-0.611801268522
ACH-000262,-1.2153719055299999
ACH-000263,-0.846295036005
ACH-000264,-0.5180822429640001
ACH-000265,-0.734375614104
ACH-000266,-0.786912139219
ACH-000272,-1.17844234016
ACH-000273,-0.966789899621
ACH-000274,-0.30611450244800004
ACH-000277,-0.6089275697850001
ACH-000278,-0.832403489779
ACH-000279,-0.39319863613600003
ACH-000280,-0.89818702828
ACH-000281,-0.9745947857770001
ACH-000288,-0.7627684566859999
ACH-000291,-0.84626130367
ACH-000293,-0.913513697331
ACH-000294,-0.933684917157
ACH-000295,-0.7095315216429999
ACH-000296,-1.12033799691
ACH-000302,-0.6649699982549999
ACH-000304,-0.432516224184
ACH-000307,-1.0050514286399999
ACH-000308,-0.896152132973
ACH-000310,-0.71384280576
ACH-000311,-0.633770615181
ACH-000312,-0.8167697139839999
ACH-000315,-1.1376642057
ACH-000316,-0.827644348608
ACH-000317,-0.905377753767
ACH-000318,-0.7570934523039999
ACH-000319,-0.986476304859
ACH-000320,-0.8081737773919999
ACH-000322,-0.40359142991999997
ACH-000323,-0.959899968086
ACH-000324,-1.19294978519
ACH-000329,-0.6264669902109999
ACH-000330,-0.881038967843
ACH-000331,-0.9721647406530001
ACH-000332,-0.7741747659379999
ACH-000334,-0.608393376048
ACH-000335,-0.842947528571
ACH-000336,-0.660664187726
ACH-000337,-0.868507297872
ACH-000339,-0.9386600311799999
ACH-000341,-0.633714660739
ACH-000348,-0.660318789595
ACH-000350,-0.225890495321
ACH-000352,-0.8635647274160001
ACH-000356,-0.518084981139
ACH-000361,-1.34380394713
ACH-000362,-1.1751536523000001
ACH-000363,-0.487016083389
ACH-000364,-0.9803877467990001
ACH-000365,-0.988737182996
ACH-000366,-0.349581569582
ACH-000368,-0.9379909586040001
ACH-000374,-0.575715200599
ACH-000375,-1.05873269875
ACH-000376,-0.491737040042
ACH-000381,-0.989849747282
ACH-000383,-0.733369406347
ACH-000387,-0.592102946323
ACH-000389,-1.0572607781899999
ACH-000390,-0.413053031409
ACH-000393,-0.888249351101
ACH-000395,-1.14552198529
ACH-000397,-0.859819764869
ACH-000401,-0.870903104019
ACH-000402,-0.9474346253829999
ACH-000403,-0.8993977230310001
ACH-000404,-0.8046030262430001
ACH-000406,-0.396647676157
ACH-000407,-1.08252424411
ACH-000408,-0.9179249388160001
ACH-000410,-0.446538717259
ACH-000411,-1.2537847845999999
ACH-000414,-1.11073613293
ACH-000415,-0.964301693066
ACH-000416,-0.7884817141689999
ACH-000420,-1.3822782508899998
ACH-000421,-0.923252705534
ACH-000424,-1.07316893832
ACH-000425,-0.7504335287430001
ACH-000426,-0.44228041001900004
ACH-000427,-0.791749579076
ACH-000433,-0.9132287214920001
ACH-000436,-0.703683925661
ACH-000444,-0.6120977671100001
ACH-000445,-1.02016045569
ACH-000448,-0.549743748939
ACH-000450,-0.626947757917
ACH-000452,-0.7951689347840001
ACH-000454,-0.975986082402
ACH-000458,-0.758096724323
ACH-000459,-0.460664377823
ACH-000460,-1.1029359620899999
ACH-000461,-0.646660450423
ACH-000463,-0.47251915317500004
ACH-000464,-0.8052272727959999
ACH-000466,-0.809917740008
ACH-000467,-0.865358785599
ACH-000468,-1.23423193164
ACH-000469,-1.13358188046
ACH-000470,-0.9888307598630001
ACH-000471,-1.09961073767
ACH-000472,-0.865076640702
ACH-000473,-0.614480205792
ACH-000475,-0.7769966735639999
ACH-000476,-1.1954338697600002
ACH-000477,-0.526252151136
ACH-000480,-0.619177051059
ACH-000481,-0.613351125056
ACH-000483,-0.7420316824809999
ACH-000484,-0.551138630886
ACH-000485,-0.186698647073
ACH-000486,-0.503787717628
ACH-000487,-0.464165776983
ACH-000488,-0.510672456828
ACH-000490,-0.760391504233
ACH-000491,-1.04443958064
ACH-000495,-0.659169668372
ACH-000496,-0.744654580617
ACH-000499,-0.6743507029639999
ACH-000500,-0.8538326879100001
ACH-000502,-0.759702322084
ACH-000503,-0.386874683387
ACH-000505,-0.796890606459
ACH-000507,-0.65870584915
ACH-000510,-0.837277891873
ACH-000511,-0.634021744166
ACH-000512,-0.59338460658
ACH-000516,-0.645173337175
ACH-000517,-0.966185183005
ACH-000518,-1.03389841605
ACH-000520,-0.6840145866339999
ACH-000521,-1.00210572211
ACH-000522,-0.599520725393
ACH-000524,-0.7494159497890001
ACH-000527,-1.20697249279
ACH-000528,-0.92293963573
ACH-000537,-1.23702135225
ACH-000541,-0.518232414095
ACH-000542,-0.9211755131910001
ACH-000544,-1.0884506272
ACH-000545,-0.640817884744
ACH-000547,-1.11976792652
ACH-000548,-0.539512074424
ACH-000549,-0.9375496063050001
ACH-000550,-1.34495484956
ACH-000552,-0.781050394187
ACH-000556,-0.48754647456999994
ACH-000557,0.029997935229700002
ACH-000570,-0.7181123812639999
