,BNIPL (149428)
ACH-000004,-0.452675140605
ACH-000007,0.0566794424093
ACH-000009,-0.374208420375
ACH-000011,-0.20710999988899997
ACH-000012,-0.267506627169
ACH-000013,-0.33144037917
ACH-000014,-0.235540447608
ACH-000015,-0.145221798718
ACH-000017,-0.0528851511088
ACH-000018,-0.129666458914
ACH-000019,-0.532468081548
ACH-000021,-0.266673364565
ACH-000022,-0.253588873063
ACH-000025,-0.405527587929
ACH-000028,-0.31279570300299997
ACH-000030,-0.173286415084
ACH-000035,-0.380402355274
ACH-000036,-0.172180011844
ACH-000037,-0.198480428895
ACH-000039,-0.17807052145
ACH-000040,-0.237006383359
ACH-000041,-0.258135403279
ACH-000042,-0.20819658782699998
ACH-000045,-0.0636417882614
ACH-000047,-0.136954953918
ACH-000052,-0.035047507529300005
ACH-000053,-0.425943566607
ACH-000054,-0.132016075977
ACH-000055,-0.303867996737
ACH-000060,-0.17452230585
ACH-000067,-0.09515726018
ACH-000070,-0.214189976835
ACH-000075,-0.262079871516
ACH-000078,-0.184646708249
ACH-000082,-0.412617214779
ACH-000085,-0.352374069223
ACH-000086,-0.425159534964
ACH-000087,-0.27852945589
ACH-000092,-0.46412207020199997
ACH-000095,-0.29388143312
ACH-000097,-0.20563664545899998
ACH-000098,-0.17303006513
ACH-000099,-0.180138282467
ACH-000108,-0.4498610568
ACH-000113,-0.0699210683802
ACH-000115,-0.127203501414
ACH-000116,-0.20951208263300003
ACH-000118,-0.317420025793
ACH-000120,-0.237461861675
ACH-000123,-0.22620701205
ACH-000127,-0.158003499216
ACH-000128,-0.138472927228
ACH-000132,-0.220460843308
ACH-000133,-0.180772380609
ACH-000137,-0.259395525206
ACH-000138,-0.260915882251
ACH-000142,-0.32699422806999995
ACH-000143,-0.158442874959
ACH-000146,-0.21987372948000003
ACH-000148,-0.19410721470400003
ACH-000150,-0.230657102621
ACH-000152,-0.37488834132200005
ACH-000153,-0.384915561903
ACH-000159,-0.211820345285
ACH-000160,-0.124613060856
ACH-000163,-0.49784476630900004
ACH-000167,-0.21789787373599998
ACH-000168,-0.296775328554
ACH-000169,-0.09539231521239999
ACH-000178,-0.199443785167
ACH-000182,-0.205108237016
ACH-000183,-0.256335625829
ACH-000188,-0.182696622555
ACH-000189,-0.46153582865599996
ACH-000190,-0.400573641933
ACH-000198,-0.23681309608800002
ACH-000204,-0.768797771765
ACH-000206,-0.22969359483399998
ACH-000207,-0.368268770603
ACH-000211,-0.21415889373
ACH-000215,-0.34393330804600003
ACH-000221,-0.156453048923
ACH-000222,-0.298606060134
ACH-000223,-0.0834965089341
ACH-000226,-0.36495938218
ACH-000227,-0.08338849179610001
ACH-000228,-0.252178587641
ACH-000231,-0.34206892708400005
ACH-000232,-0.304083588226
ACH-000233,-0.0734930404018
ACH-000234,-0.332901265394
ACH-000235,-0.260077377151
ACH-000237,-0.197990142313
ACH-000238,-0.062303069221099995
ACH-000243,-0.227173795275
ACH-000244,0.0751503517806
ACH-000246,-0.0626422085821
ACH-000248,-0.188610037848
ACH-000250,-0.287985346681
ACH-000251,-0.46583476415200004
ACH-000253,-0.293646028504
ACH-000255,-0.282637114649
ACH-000256,-0.0525631696284
ACH-000257,-0.114137120449
ACH-000258,-0.444728192122
ACH-000259,-0.213091383323
ACH-000260,-0.18113090235999998
ACH-000261,-0.0658793064842
ACH-000262,-0.239758696916
ACH-000263,-0.31329695242
ACH-000264,-0.424685554431
ACH-000265,-0.16235932271
ACH-000266,-0.234610430192
ACH-000272,-0.194162783759
ACH-000273,-0.432104814568
ACH-000274,-0.09121882013419999
ACH-000277,-0.11524254875800001
ACH-000278,-0.407936939782
ACH-000279,-0.18445946799899998
ACH-000280,-0.291453042409
ACH-000281,-0.251490339793
ACH-000288,-0.316843579318
ACH-000291,-0.238914150278
ACH-000293,-0.318814604362
ACH-000294,-0.140022209886
ACH-000295,-0.43891118528000006
ACH-000296,-0.333326068735
ACH-000302,-0.163505495027
ACH-000304,-0.406263536316
ACH-000307,-0.0193191577073
ACH-000308,-0.289301450041
