,ATP5J2 (9551)
ACH-000004,-0.7665088006049999
ACH-000007,-0.590835563293
ACH-000009,-0.78705831268
ACH-000011,-0.700369916528
ACH-000012,-0.7015068724500001
ACH-000013,-0.967049970508
ACH-000014,-0.797525900079
ACH-000015,-0.893380608153
ACH-000017,-0.700822209119
ACH-000018,-0.8518961103280001
ACH-000019,-1.23092051357
ACH-000021,-0.780797907535
ACH-000022,-0.7363330458089999
ACH-000025,-0.621761355194
ACH-000028,-0.76132656022
ACH-000030,-0.716031111099
ACH-000035,-1.08738050404
ACH-000036,-0.5848025191830001
ACH-000037,-0.47113359537
ACH-000039,-0.7897334043719999
ACH-000040,-0.748797561569
ACH-000041,-0.787791953993
ACH-000042,-0.737632225397
ACH-000045,-0.632743648698
ACH-000047,-0.64730643952
ACH-000052,-0.6898517613959999
ACH-000053,-0.7244975732510001
ACH-000054,-0.8342179068269999
ACH-000055,-0.506802569075
ACH-000060,-0.774008373659
ACH-000067,-0.50896276807
ACH-000070,-0.843137991902
ACH-000075,-0.722502422423
ACH-000078,-0.623761234898
ACH-000082,-0.81629949154
ACH-000085,-0.731283630012
ACH-000086,-0.759333235059
ACH-000087,-0.785729038024
ACH-000092,-0.621804349122
ACH-000095,-0.754914488018
ACH-000097,-0.866589509538
ACH-000098,-0.656128974253
ACH-000099,-0.557411373944
ACH-000108,-0.8090158392560001
ACH-000113,-0.965341718547
ACH-000115,-0.386947479169
ACH-000116,-1.2026567334
ACH-000118,-0.795466126189
ACH-000120,-0.5444359836399999
ACH-000123,-0.787423852736
ACH-000127,-1.07995069207
ACH-000128,-0.9863989955920001
ACH-000132,-0.855348011194
ACH-000133,-0.833277176487
ACH-000137,-0.6093138246600001
ACH-000138,-0.7152012975480001
ACH-000142,-0.719157588316
ACH-000143,-0.828726522586
ACH-000146,-0.454819661777
ACH-000148,-0.812865017335
ACH-000150,-1.0780853722700001
ACH-000152,-0.698574409752
ACH-000153,-0.946336791517
ACH-000159,-0.735109786261
ACH-000160,-1.1883022412100002
ACH-000163,-0.572807292538
ACH-000167,-0.7678676349269999
ACH-000168,-0.72724485695
ACH-000169,-1.00752382511
ACH-000178,-0.585387641901
ACH-000182,-0.960796279242
ACH-000183,-0.7594389399889999
ACH-000188,-0.662729572842
ACH-000189,-0.687875039724
ACH-000190,-0.824197162071
ACH-000198,-0.838290369163
ACH-000204,-0.512138161085
ACH-000206,-0.713990130818
ACH-000207,-0.740887051501
ACH-000211,-0.872382246823
ACH-000215,-0.633352417369
ACH-000221,-1.00645260219
ACH-000222,-0.42514244559500003
ACH-000223,-0.823191450465
ACH-000226,-0.575040352209
ACH-000227,-1.0773700892799998
ACH-000228,-0.672076997655
ACH-000231,-0.510857681887
ACH-000232,-0.863499506795
ACH-000233,-0.705028921622
ACH-000234,-0.644163930955
ACH-000235,-0.5383643677409999
ACH-000237,-0.5033007290529999
ACH-000238,-1.0518192802
ACH-000243,-0.578682053554
ACH-000244,-0.721409170239
ACH-000246,-0.7037669456389999
ACH-000248,-0.754388597201
ACH-000250,-0.515530841204
ACH-000251,-0.747821922446
ACH-000253,-0.596357067137
ACH-000255,-0.790021681881
ACH-000256,-0.909320039858
ACH-000257,-0.873215901024
ACH-000258,-0.18544731730099998
ACH-000259,-0.92261604263
ACH-000260,-0.6325278112
ACH-000261,-0.794719604651
ACH-000262,-0.46993329180699994
ACH-000263,-0.7757740181399999
ACH-000264,-0.9137254946
ACH-000265,-0.690355859605
ACH-000266,-0.5706627839639999
ACH-000272,-0.566628113428
ACH-000273,-0.6988470217180001
ACH-000274,-1.0829998295299998
ACH-000277,-0.975207369434
ACH-000278,-0.5312051900720001
ACH-000279,-0.881485650026
ACH-000280,-1.00697910221
ACH-000281,-0.5265120970939999
ACH-000288,-0.9312002977220001
ACH-000291,-0.726180821588
ACH-000293,-1.02368020455
ACH-000294,-0.536886418925
ACH-000295,-0.7780300188920001
ACH-000296,-0.754801384836
ACH-000302,-0.8237063315250001
ACH-000304,-0.872805275842
ACH-000307,-0.795622070236
ACH-000308,-0.738846151347
ACH-000310,-0.94822599264
ACH-000311,-0.816545137491
ACH-000312,-0.672594350697
ACH-000315,-0.7413471894310001
ACH-000316,-0.616540265112
ACH-000317,-0.654147489042
ACH-000318,-0.9617461905920001
ACH-000319,-0.714505949681
ACH-000320,-0.784582755836
ACH-000322,-1.19372155662
ACH-000323,-0.8170659596359999
ACH-000324,-0.75531878875
ACH-000329,-0.7340978402230001
ACH-000330,-0.9585994439799999
ACH-000331,-0.649881388777
ACH-000332,-0.621474652692
ACH-000334,-0.729852715768
ACH-000335,-0.7041239596459999
ACH-000336,-0.9012970076000001
ACH-000337,-0.68180228432
ACH-000339,-0.613624804456
ACH-000341,-0.6921602029189999
ACH-000348,-0.543270827588
ACH-000350,-0.612074606497
ACH-000352,-0.7005576313590001
ACH-000356,-0.825250333463
ACH-000361,-1.00075204098
ACH-000362,-1.00428267973
ACH-000363,-0.7900838774210001
ACH-000364,-0.775114753883
ACH-000365,-0.617803778699
ACH-000366,-0.535471902372
ACH-000368,-0.714476759884
ACH-000374,-1.06634484094
ACH-000375,-0.6877126061069999
ACH-000376,-0.937331089887
ACH-000381,-0.7332762150650001
ACH-000383,-0.647548098657
ACH-000387,-0.872092928381
ACH-000389,-0.538627321329
ACH-000390,-0.758852522958
ACH-000393,-0.78787088628
ACH-000395,-0.646124942729
ACH-000397,-0.453576843112
ACH-000401,-0.7147184937569999
ACH-000402,-0.73782354424
ACH-000403,-0.932750552636
ACH-000404,-0.762816228142
ACH-000406,-0.936601171522
ACH-000407,-0.7469899885600001
ACH-000408,-0.59735019055
ACH-000410,-0.930961652477
ACH-000411,-0.7068027064139999
ACH-000414,-0.8698876479150001
ACH-000415,-1.01662390139
ACH-000416,-0.548189569816
ACH-000420,-0.547276904859
ACH-000421,-0.7140065356559999
ACH-000424,-0.7703944937630001
ACH-000425,-0.5838259653019999
ACH-000426,-0.47684770726899994
ACH-000427,-1.1764722706100001
ACH-000433,-0.743418685247
ACH-000436,-0.74717000765
ACH-000444,-0.6497376612569999
ACH-000445,-0.8174814605580001
ACH-000448,-0.706452126147
ACH-000450,-0.8578604472589999
ACH-000452,-0.8372815902580001
ACH-000454,-0.484987883116
ACH-000458,-0.611634063496
ACH-000459,-1.25292435244
ACH-000460,-0.6888997498639999
ACH-000461,-1.21448908278
ACH-000463,-0.66602513532
ACH-000464,-0.817703003646
ACH-000466,-0.899932343731
ACH-000467,-0.958550162695
ACH-000468,-0.80694084888
ACH-000469,-0.843520707337
ACH-000470,-0.827217957079
ACH-000471,-0.500525238956
ACH-000472,-0.7103359956309999
ACH-000473,-0.6818457228620001
ACH-000475,-0.8682279814309999
ACH-000476,-0.9275505070450001
ACH-000477,-0.723878215879
ACH-000480,-0.8094444789499999
ACH-000481,-0.821560756001
ACH-000483,-0.9805836181219999
ACH-000484,-0.586005447428
ACH-000485,-0.915177151768
ACH-000486,-0.704418483715
ACH-000487,-0.910095668137
