,OTOR (56914)
ACH-000004,0.106880988335
ACH-000007,-0.347817144551
ACH-000009,-0.0811466463365
ACH-000011,-0.118118811367
ACH-000012,-0.122043311162
ACH-000013,-0.0627545287365
ACH-000014,0.0646991924849
ACH-000015,-0.09740197049930001
ACH-000017,-0.08450421870370001
ACH-000018,0.0488863884901
ACH-000019,-0.0458516753125
ACH-000021,-0.17377282982500003
ACH-000022,-0.031718379375900004
ACH-000025,-0.068614600936
ACH-000028,-0.200729198257
ACH-000030,-0.0569653754844
ACH-000035,-0.08053014171789999
ACH-000036,-0.125225095417
ACH-000037,0.0448627759464
ACH-000039,-0.114282561258
ACH-000040,0.0139855591751
ACH-000041,-0.042000684536499994
ACH-000042,-0.172633250385
ACH-000045,-0.038993219329599996
ACH-000047,-0.16994967833500002
ACH-000052,-0.121602775287
ACH-000053,-0.12613796659
ACH-000054,-0.17500893703899997
ACH-000055,0.0104943556585
ACH-000060,-0.11185586348
ACH-000067,-0.143304420437
ACH-000070,-0.24122359785300002
ACH-000075,-0.0441435020229
ACH-000078,-0.0487867207443
ACH-000082,-0.0220307668487
ACH-000085,-0.06667247214840001
ACH-000086,-0.082649141644
ACH-000087,-0.08431106512049999
ACH-000092,-0.121400445627
ACH-000095,-0.223844045396
ACH-000097,-0.19028458007399998
ACH-000098,-0.050751951907699995
ACH-000099,-0.181713509487
ACH-000108,-0.22660712564899999
ACH-000113,-0.0798885123824
ACH-000115,-0.137671120764
ACH-000116,-0.0928130115725
ACH-000118,-0.130181706147
ACH-000120,-0.0262081683892
ACH-000123,-0.19275503752599998
ACH-000127,-0.054780240591
ACH-000128,-0.11211853590999998
ACH-000132,-0.100284542523
ACH-000133,-0.133250236172
ACH-000137,-0.139053300096
ACH-000138,-0.0779636020015
ACH-000142,0.051286337545
ACH-000143,-0.0679333645688
ACH-000146,-0.120077877382
ACH-000148,-0.07986515435060001
ACH-000150,-0.027124063464799997
ACH-000152,0.0101377511472
ACH-000153,-0.145632784627
ACH-000159,-0.0450948588994
ACH-000160,-0.217317861273
ACH-000163,-0.168702986921
ACH-000167,-0.0121065551056
ACH-000168,-0.12078405080499999
ACH-000169,0.00431008603304
ACH-000178,-0.102239120052
ACH-000182,-0.11089836529100001
