,IL4I1 (259307)
ACH-000004,-0.049453303269
ACH-000007,-0.437555385678
ACH-000009,-0.18586535315400002
ACH-000011,0.06640317354349999
ACH-000012,-0.176774012764
ACH-000013,-0.220259413594
ACH-000014,-0.07081619608360001
ACH-000015,-0.348183504906
ACH-000017,-0.0819490763155
ACH-000018,-0.05715422186769999
ACH-000019,0.0710610419183
ACH-000021,-0.0209244428756
ACH-000022,-0.17097137325800002
ACH-000025,-0.0394000241971
ACH-000028,-0.0830069025774
ACH-000030,-0.12648828918299998
ACH-000035,-0.119312395616
ACH-000036,-0.026587629129400003
ACH-000037,0.0400134912649
ACH-000039,-0.144824024147
ACH-000040,-0.128039364046
ACH-000041,-0.0803674895452
ACH-000042,0.04317274910619999
ACH-000045,-0.009940862073930001
ACH-000047,-0.0404490447536
ACH-000052,0.116966769777
ACH-000053,-0.042095176420200005
ACH-000054,-0.138236508891
ACH-000055,-0.13056025548900002
ACH-000060,0.0904305782235
ACH-000067,-0.27271546920699996
ACH-000070,-0.00499669296419
ACH-000075,-0.150951414643
ACH-000078,-0.158797441741
ACH-000082,-0.060064534934
ACH-000085,-0.050091258738
ACH-000086,-0.12574820656400001
ACH-000087,-0.177612259586
ACH-000092,0.07169731467939999
ACH-000095,0.0747659193022
ACH-000097,-0.0792420040564
ACH-000098,-0.280586489296
ACH-000099,-0.22747600873000004
ACH-000108,-0.0657337678658
ACH-000113,-0.073441723862
ACH-000115,-0.06654814162690001
ACH-000116,0.09053400037119999
ACH-000118,-0.0852623082135
ACH-000120,-0.292171937765
ACH-000123,-0.0981926414635
ACH-000127,-0.151875541327
ACH-000128,-0.11474714345999999
ACH-000132,-0.182776296898
ACH-000133,-0.040921855222199995
ACH-000137,-0.0711855289967
ACH-000138,-0.121799586525
ACH-000142,-0.20610686838300002
ACH-000143,0.128599791505
ACH-000146,-0.09440326359069999
ACH-000148,-0.0369742234823
ACH-000150,-0.0287077919222
ACH-000152,-0.00895650692098
ACH-000153,-0.403270627271
ACH-000159,-0.0915579393705
ACH-000160,-0.208707331237
ACH-000163,0.0153889113588
ACH-000167,0.14148987449
ACH-000168,0.042605941321800005
ACH-000169,-0.0438589159174
ACH-000178,0.0261370212476
ACH-000182,-0.100838573976
ACH-000183,0.18330861937600001
ACH-000188,-0.140825529508
ACH-000189,-0.39993363860200004
ACH-000190,-0.230298349278
ACH-000198,-0.0454495154481
ACH-000204,-0.114742200298
ACH-000206,-0.00530848137836
ACH-000207,0.0509525601769
ACH-000211,-0.015831365536
ACH-000215,-0.0329646104317
ACH-000221,0.267767430878
ACH-000222,-0.130514784488
ACH-000223,0.0691814134045
ACH-000226,-0.09151991322789998
ACH-000227,0.0682117514121
ACH-000228,-0.0483906885295
ACH-000231,-0.07614066598130001
ACH-000232,-0.07466713270160001
ACH-000233,-0.136794506377
ACH-000234,-0.104013696021
ACH-000235,-0.0754306488314
ACH-000237,0.00731182915376
ACH-000238,-0.174134135619
ACH-000243,0.049707467684
ACH-000244,-0.27500242100600003
ACH-000246,-0.17328477048799998
ACH-000248,0.0172561235973
ACH-000250,-0.0874526756253
ACH-000251,-0.271853571566
ACH-000253,-0.06402759140139999
ACH-000255,-0.153494825297
ACH-000256,-0.15418150189000002
ACH-000257,-0.33639207447999997
ACH-000258,0.34934554790100003
ACH-000259,-0.0249163134973
ACH-000260,-0.189360997123
ACH-000261,-0.027525466482
ACH-000262,-0.09968713666989999
ACH-000263,0.168063288928
ACH-000264,0.0521040116148
ACH-000265,-0.229127348243
ACH-000266,-0.167848370194
ACH-000272,-0.0673775177195
ACH-000273,0.0836803316503
ACH-000274,-0.022864648980200002
ACH-000277,0.016203639904
ACH-000278,-0.26595430481800003
ACH-000279,-0.11229512932600001
ACH-000280,-0.17745123609700003
ACH-000281,-0.20405854590199998
ACH-000288,-0.0415113254952
ACH-000291,-0.216613411698
ACH-000293,0.093961501589
ACH-000294,-0.205005019599
ACH-000295,0.0184659879751
ACH-000296,-0.05708477675530001
ACH-000302,-0.316875380117
ACH-000304,-0.135708463135
ACH-000307,-0.07489547545210001
ACH-000308,-0.07045390878039999
ACH-000310,-0.136666298222
ACH-000311,0.0182980709991
ACH-000312,-0.007304535829609999
ACH-000315,-0.156558325745
ACH-000316,0.16468468137599998
ACH-000317,0.120238490832
ACH-000318,-0.144638422914
ACH-000319,-0.137142432787
ACH-000320,-0.0478014750543
ACH-000322,-0.07349403925760001
ACH-000323,-0.05792273471530001
