,DRAXIN (374946)
ACH-000004,-0.10129125364199999
ACH-000007,0.250038375346
ACH-000009,0.09372246079
ACH-000011,0.20002564745
ACH-000012,0.0777766879983
ACH-000013,0.218814131181
ACH-000014,0.151912955242
ACH-000015,0.154911260908
ACH-000017,0.21912371495400002
ACH-000018,0.028398851101799998
ACH-000019,0.132699257342
ACH-000021,0.16440917484200002
ACH-000022,0.205877537807
ACH-000025,0.023643117138499998
ACH-000028,0.192429231119
ACH-000030,0.204001724285
ACH-000035,0.0399756300015
ACH-000036,0.130092059167
ACH-000037,0.255489033375
ACH-000039,0.25400780646
ACH-000040,0.170447840407
ACH-000041,0.34504600653399997
ACH-000042,0.158749318758
ACH-000045,0.0860542843217
ACH-000047,0.112745302082
ACH-000052,-0.147225888478
ACH-000053,0.11275114668
ACH-000054,0.066721933926
ACH-000055,0.123307296251
ACH-000060,0.18327195699299997
ACH-000067,0.0121573858584
ACH-000070,0.269821728546
ACH-000075,0.353518762879
ACH-000078,0.183448960978
ACH-000082,0.102920876598
ACH-000085,-0.0858722165443
ACH-000086,0.11250451706299999
ACH-000087,-0.0508508387759
ACH-000092,0.10233379134
ACH-000095,0.155060910053
ACH-000097,0.232552755473
ACH-000098,0.024803870483900002
ACH-000099,0.182338148233
ACH-000108,0.279136944407
ACH-000113,0.08341999007380001
ACH-000115,0.0788242571455
ACH-000116,0.334793083243
ACH-000118,0.18233774348700002
ACH-000120,0.184449268279
ACH-000123,0.110830470086
ACH-000127,0.208586867136
ACH-000128,-0.104592885427
ACH-000132,0.0694268998055
ACH-000133,0.21074702160599998
ACH-000137,-0.0431541441931
ACH-000138,0.361702628871
ACH-000142,0.034801140442
ACH-000143,0.16827341237100002
ACH-000146,0.0580207170404
ACH-000148,0.240689032863
ACH-000150,-0.00939078598661
ACH-000152,0.18243955164099998
ACH-000153,0.200053607462
ACH-000159,0.250646194391
ACH-000160,0.0693325803208
ACH-000163,-0.0259545460708
ACH-000167,0.123845324342
ACH-000168,0.38835389263400005
ACH-000169,0.190458757929
ACH-000178,0.184046368151
ACH-000182,0.167392856294
ACH-000183,0.164715718196
ACH-000188,0.12424484225099999
ACH-000189,0.234299391046
ACH-000190,0.0278849856868
ACH-000198,0.0668633033285
ACH-000204,-0.037144388707699996
ACH-000206,-0.0401180115208
ACH-000207,0.0576574189509
ACH-000211,0.293735291865
ACH-000215,0.148237871998
ACH-000221,0.12042113437100001
ACH-000222,0.38825876841300005
ACH-000223,0.202538970704
ACH-000226,0.23658877727400002
ACH-000227,0.279088084351
ACH-000228,0.157507227472
ACH-000231,0.12585153625700002
ACH-000232,0.19735728096299998
ACH-000233,0.268103731204
ACH-000234,0.127211455314
ACH-000235,0.11119506140999999
ACH-000237,0.065859125436
ACH-000238,-0.0174757700399
ACH-000243,0.21586249519900003
ACH-000244,0.305101164616
ACH-000246,0.17471901199999998
ACH-000248,0.16250303066500002
ACH-000250,0.178383733884
ACH-000251,0.0797026535739
ACH-000253,-0.0189915006108
ACH-000255,0.07736934337239999
ACH-000256,0.143822389575
ACH-000257,0.112766088213
ACH-000258,0.40617963569
ACH-000259,0.169727278137
ACH-000260,0.22493362626999996
ACH-000261,0.161728730691
ACH-000262,-0.0012158188193699998
ACH-000263,0.00033639519960000007
ACH-000264,0.105328399292
ACH-000265,0.20725051432500002
ACH-000266,0.175248844603
ACH-000272,0.220407890854
ACH-000273,0.259907529774
ACH-000274,-0.004887275498180001
ACH-000277,-0.022691808154
ACH-000278,0.15413034361300001
ACH-000279,0.16253127879
ACH-000280,0.159572051638
ACH-000281,0.14182818119899998
ACH-000288,-0.0603077634071
ACH-000291,0.0619137816635
ACH-000293,0.29186494582199995
ACH-000294,0.38449552505999995
ACH-000295,0.124641918493
ACH-000296,0.171515525871
ACH-000302,0.105122999244
ACH-000304,0.284672268356
ACH-000307,0.178936567581
ACH-000308,0.151823358933
