,ENSA (2029)
ACH-000004,-0.554133524091
ACH-000007,-0.773003210335
ACH-000009,-0.6166738265439999
ACH-000011,-0.131545559382
ACH-000012,-0.586935880959
ACH-000013,-0.207788780889
ACH-000014,-0.42675348478
ACH-000015,-0.45752791834600004
ACH-000017,-0.306595693048
ACH-000018,-0.318275305003
ACH-000019,-0.522274157576
ACH-000021,-0.365327355074
ACH-000022,-0.39753062708000003
ACH-000025,-0.359452888345
ACH-000028,-0.568463159639
ACH-000030,-0.385514330585
ACH-000035,-0.578390064372
ACH-000036,-0.230505355933
ACH-000037,-0.428594567377
ACH-000039,-0.5613092237990001
ACH-000040,-0.220724741154
ACH-000041,-0.62617404708
ACH-000042,-0.313928735199
ACH-000045,-0.36947073142700004
ACH-000047,-0.7721105816670001
ACH-000052,-0.25823731020199997
ACH-000053,-0.452839765771
ACH-000054,-0.242277649528
ACH-000055,-0.577288239659
ACH-000060,-0.571439819952
ACH-000067,-0.153133866367
ACH-000070,-0.45637707101499997
ACH-000075,-0.298370493297
ACH-000078,-0.453130302535
ACH-000082,-0.7196406576100001
ACH-000085,-0.891016035957
ACH-000086,-0.7144040221119999
ACH-000087,-0.609173742582
ACH-000092,-0.394501850215
ACH-000095,-0.564725557056
ACH-000097,-0.37522522294
ACH-000098,-0.41222289242700005
ACH-000099,-0.280678946772
ACH-000108,-0.240030369324
ACH-000113,-0.263421228643
ACH-000115,-0.661181760926
ACH-000116,-0.42215823763000004
ACH-000118,-0.424355873351
ACH-000120,-0.292954799015
ACH-000123,-0.656306819184
ACH-000127,-0.25263030856999996
ACH-000128,-0.300624951678
ACH-000132,-0.432770703697
ACH-000133,-0.628088948475
ACH-000137,-0.412370504644
ACH-000138,-0.283948571973
ACH-000142,-0.502141312725
ACH-000143,-0.602470389731
ACH-000146,-0.380088737594
ACH-000148,-0.521560170308
ACH-000150,-0.474470641523
ACH-000152,-0.501053452141
ACH-000153,-1.29166810011
ACH-000159,-0.302525854971
ACH-000160,-0.421024417593
ACH-000163,-0.193472302974
ACH-000167,-0.5747776773300001
ACH-000168,-0.439390679357
ACH-000169,-0.530436816923
ACH-000178,-0.259357329069
ACH-000182,-0.297855812922
ACH-000183,-0.40150203642800003
ACH-000188,-0.49700974332
ACH-000189,-0.214261676661
ACH-000190,-0.334094584657
ACH-000198,-0.42766578979500003
ACH-000204,-0.47662648295000004
ACH-000206,-0.04392987965919999
ACH-000207,-0.27477201522
ACH-000211,-0.26147494236900004
ACH-000215,-0.400270574301
ACH-000221,-0.22236792949099998
ACH-000222,-0.6665613704810001
ACH-000223,-0.263194509232
ACH-000226,-0.442625415675
ACH-000227,-0.16427537115399998
ACH-000228,-0.256842194518
ACH-000231,-0.432537313986
ACH-000232,-0.486228070227
ACH-000233,-0.41061459929
ACH-000234,-0.541826890157
ACH-000235,-0.453250065573
ACH-000237,-0.42597290082199996
ACH-000238,-0.278299769451
ACH-000243,-0.280806258554
ACH-000244,-0.05579982822269999
ACH-000246,-0.28551408468
ACH-000248,-0.416765322109
ACH-000250,-0.433489500541
ACH-000251,-0.7042461524250001
ACH-000253,-0.22783387497699997
ACH-000255,-0.221130403219
ACH-000256,-0.416696725528
ACH-000257,-0.573061811246
ACH-000258,-0.546712337295
ACH-000259,-0.310648014955
ACH-000260,-0.40872374500799996
ACH-000261,-0.42384968261100003
ACH-000262,-0.457236957668
ACH-000263,-0.156833558115
ACH-000264,-0.468183726176
ACH-000265,-0.616109240902
ACH-000266,-0.413521878586
ACH-000272,-0.7154108433699999
ACH-000273,-0.491421725182
ACH-000274,-0.259088640945
ACH-000277,-0.32485149644699995
ACH-000278,-0.594075355205
ACH-000279,-0.647354016175
ACH-000280,-0.468778038706
ACH-000281,-0.352766255666
ACH-000288,-0.777443438245
ACH-000291,-0.297958179021
ACH-000293,-0.154220581687
ACH-000294,-0.483606014051
ACH-000295,-0.130684859892
ACH-000296,-0.513800741253
ACH-000302,-0.204019035286
ACH-000304,-0.879123509098
ACH-000307,-0.510005611979
ACH-000308,-0.278183325457
ACH-000310,-0.45648028534400004
ACH-000311,-0.414708857438
ACH-000312,-0.388020103829
ACH-000315,-0.590846843007
ACH-000316,-0.679944639523
ACH-000317,-0.626453105076
ACH-000318,-0.46595183266400003
ACH-000319,-0.42371370593900004
ACH-000320,-0.480380185085
ACH-000322,-0.208739552252
ACH-000323,-0.318543104651
ACH-000324,-0.434152645072
ACH-000329,-0.330624930552
ACH-000330,-0.513874714303
ACH-000331,-0.45698554350299997
ACH-000332,-0.41680840257299995
ACH-000334,-0.6207201212110001
ACH-000335,-0.550159061302
ACH-000336,-0.379669792289
ACH-000337,-0.676870807921
ACH-000339,-0.477903473834
ACH-000341,-0.483018627182
ACH-000348,-0.488303857893
ACH-000350,-0.460572731465
ACH-000352,-0.25571545928000006
ACH-000356,-0.413427406174
ACH-000361,-0.604983408139
ACH-000362,-0.90913044378
ACH-000363,-0.483950087425
ACH-000364,-0.370854189742
ACH-000365,-0.376500604472
ACH-000366,-0.448007070417
ACH-000368,-0.335892929168
ACH-000374,-0.521145497959
ACH-000375,-0.40045990982699997
ACH-000376,-0.493892021608
ACH-000381,-0.587303282306
ACH-000383,-0.37223724793000007
ACH-000387,-0.459807931835
ACH-000389,-0.488372122078
ACH-000390,-0.7143336679100001
ACH-000393,-0.36232140442599997
ACH-000395,-0.351021698142
ACH-000397,-0.37778932878399996
ACH-000401,-0.19254386128400003
ACH-000402,-0.196984901708
ACH-000403,-0.962890180026
ACH-000404,-0.665401071891
ACH-000406,-0.378330100324
ACH-000407,-0.45934682457099996
ACH-000408,-0.158429818559
ACH-000410,-0.628438897812
ACH-000411,-0.435649967598
ACH-000414,-0.23884173946999998
ACH-000415,-0.362878244287
ACH-000416,-0.551190124071
ACH-000420,-0.436650449732
ACH-000421,-0.435071367988
ACH-000424,-0.360721226475
ACH-000425,-0.43284551064800003
ACH-000426,-1.0919472234999998
ACH-000427,-0.30139794138799997
ACH-000433,-0.493057800065
ACH-000436,-0.7010690561220001
ACH-000444,-0.370543981839
ACH-000445,-0.303876549591
ACH-000448,-0.409467447825
ACH-000450,-0.322707261292
ACH-000452,-0.333790387957
ACH-000454,-0.600949416739
ACH-000458,-0.285910407545
ACH-000459,-0.259342190444
ACH-000460,-0.547569349213
ACH-000461,-0.32714033208099996
ACH-000463,-0.333430812342
ACH-000464,-0.11131875335000001
ACH-000466,-0.43376359480300003
ACH-000467,-0.291477082229
ACH-000468,-0.466752233966
ACH-000469,-0.39217123584799995
ACH-000470,-0.39474708350000004
ACH-000471,-0.474381801748
ACH-000472,-0.43906277264700005
ACH-000473,-0.2937323957
ACH-000475,-0.21636497115400002
ACH-000476,-0.546234948122
ACH-000477,-0.47106957618600004
ACH-000480,-0.568515207126
ACH-000481,-0.460614787459
ACH-000483,-0.471490894924
ACH-000484,-0.479498052474
ACH-000485,-0.942191871737
ACH-000486,-0.169405858677
ACH-000487,-0.312563472563
ACH-000488,-0.414438935657
ACH-000490,-0.40728034871
ACH-000491,-0.279911517854
ACH-000495,-0.6304442510399999
ACH-000496,-0.37046388141500003
ACH-000499,-0.403229787163
ACH-000500,-0.863626162591
ACH-000502,-0.41873011313
ACH-000503,-0.8316723970090001
ACH-000505,-0.48085974100900003
ACH-000507,-0.787550838042
ACH-000510,-0.318765848261
ACH-000511,-0.565811523735
ACH-000512,-0.595741839522
ACH-000516,-0.5688428994560001
ACH-000517,-0.602513301015
ACH-000518,-0.0891034259884
ACH-000520,-0.5017462782600001
ACH-000521,-0.506617468083
ACH-000522,-0.35429763576800005
ACH-000524,-0.470521976284
ACH-000527,-0.29962516254099997
ACH-000528,-0.484670777152
ACH-000537,-0.24247823105500002
ACH-000541,0.181019320884
ACH-000542,-0.305969082631
ACH-000544,-0.6754116182790001
ACH-000545,-0.282988700231
ACH-000547,-0.528149438085
ACH-000548,-0.5052529995080001
ACH-000549,-0.205128982992
ACH-000550,-0.20334409007100002
ACH-000552,-0.117355448228
