,SKIV2L2 (23517)
ACH-000004,-1.51637617195
ACH-000007,-1.23304861274
ACH-000009,-1.2349803693899999
ACH-000011,-1.54124785477
ACH-000012,-1.5786286963499998
ACH-000013,-1.452436043
ACH-000014,-1.48291268657
ACH-000015,-1.40354339847
ACH-000017,-1.31562385217
ACH-000018,-1.68816190171
ACH-000019,-1.1470276908700001
ACH-000021,-1.33703916397
ACH-000022,-1.44853424058
ACH-000025,-1.46687541574
ACH-000028,-1.56556152752
ACH-000030,-1.3817599779700003
ACH-000035,-1.46036358389
ACH-000036,-1.43651407218
ACH-000037,-1.8145050381099999
ACH-000039,-1.49429488081
ACH-000040,-1.4479289067299999
ACH-000041,-1.15076356819
ACH-000042,-1.4490843258200001
ACH-000045,-1.4471447887200002
ACH-000047,-1.72694540652
ACH-000052,-1.6986220518900002
ACH-000053,-1.58018992302
ACH-000054,-1.52009460928
ACH-000055,-1.34461864449
ACH-000060,-1.44888400597
ACH-000067,-1.23285627719
ACH-000070,-1.4017761395500001
ACH-000075,-1.4646930515399998
ACH-000078,-1.58398752058
ACH-000082,-1.7011408164700001
ACH-000085,-1.65115430746
ACH-000086,-1.4278014295700001
ACH-000087,-1.2227184424
ACH-000092,-1.3836656048700002
ACH-000095,-1.5165074704700001
ACH-000097,-1.0574322462799999
ACH-000098,-1.4623538825
ACH-000099,-1.5631609872999999
ACH-000108,-1.36396063801
ACH-000113,-1.40716657012
ACH-000115,-1.8142840788599999
ACH-000116,-1.70633223682
ACH-000118,-1.17171666926
ACH-000120,-1.3002343879
ACH-000123,-1.4623883141799998
ACH-000127,-1.44993487136
ACH-000128,-1.42588875262
ACH-000132,-1.3883823014200003
ACH-000133,-1.21004173942
ACH-000137,-1.54186672005
ACH-000138,-1.37141025847
ACH-000142,-1.39952968563
ACH-000143,-1.41954819866
ACH-000146,-1.4343341940600003
ACH-000148,-1.39171585562
ACH-000150,-1.3626431105399999
ACH-000152,-1.1935192122700002
ACH-000153,-1.84754339783
ACH-000159,-1.6693961479100001
ACH-000160,-1.93416018129
ACH-000163,-1.13364286514
ACH-000167,-1.5835951595
ACH-000168,-1.5589898016100001
ACH-000169,-1.17566712611
ACH-000178,-1.32791901807
ACH-000182,-1.39319219512
ACH-000183,-1.47596909714
ACH-000188,-1.4430234983399999
ACH-000189,-1.70020696509
ACH-000190,-1.45216491711
ACH-000198,-1.5091779795
ACH-000204,-1.3543720559099999
ACH-000206,-1.2150493455
ACH-000207,-1.3372510321
ACH-000211,-1.56911265099
ACH-000215,-1.4866793464599999
ACH-000221,-1.30095931353
ACH-000222,-1.3595245741799997
ACH-000223,-1.6201675335499999
ACH-000226,-1.4128508069999999
ACH-000227,-1.3975504718599998
ACH-000228,-1.33955825592
ACH-000231,-1.3676084927399998
ACH-000232,-1.40759335974
ACH-000233,-1.31185226764
ACH-000234,-1.43226414933
ACH-000235,-1.4670874171000001
ACH-000237,-1.65765801489
ACH-000238,-1.66657931855
ACH-000243,-1.4352621143200002
ACH-000244,-1.5462193343900001
ACH-000246,-1.37696799965
ACH-000248,-1.37765411439
ACH-000250,-1.5262024169
ACH-000251,-1.65946627058
ACH-000253,-1.7264674709599999
ACH-000255,-1.3887445721899998
ACH-000256,-1.6412996196399998
ACH-000257,-1.5616060621099999
ACH-000258,-1.67194849345
ACH-000259,-1.33819448172
ACH-000260,-1.38336899056
ACH-000261,-1.45111902759
ACH-000262,-1.6726906118399998
ACH-000263,-1.0753174104899998
ACH-000264,-1.59835236022
ACH-000265,-1.2641646124099999
ACH-000266,-1.4490773109000001
ACH-000272,-1.52101196569
ACH-000273,-1.3905760396899998
ACH-000274,-1.57497889123
ACH-000277,-1.13840918089
ACH-000278,-1.75348874247
ACH-000279,-1.51904837872
ACH-000280,-1.30560888976
ACH-000281,-1.21392417392
ACH-000288,-1.41023322745
ACH-000291,-1.35385558399
ACH-000293,-1.39927260512
ACH-000294,-1.34752569811
ACH-000295,-1.60123865773
ACH-000296,-1.22456034978
ACH-000302,-1.7497094404
ACH-000304,-1.4768078244799998
ACH-000307,-1.48964450022
ACH-000308,-1.3049443326
ACH-000310,-1.8239928616299999
ACH-000311,-1.2155706752
ACH-000312,-1.36259296255
ACH-000315,-1.24698900451
ACH-000316,-1.1836443234799998
ACH-000317,-1.28546135831
ACH-000318,-1.25413314291
ACH-000319,-1.4994499673700001
ACH-000320,-1.655219063
ACH-000322,-1.01714311256
ACH-000323,-0.844993838689
ACH-000324,-1.45106510227
ACH-000329,-1.4984855761700002
ACH-000330,-1.21465994343
ACH-000331,-1.28173010759
ACH-000332,-1.28253041843
ACH-000334,-1.68567160149
ACH-000335,-1.42001425164
ACH-000336,-1.07221649308
ACH-000337,-1.6253914900600002
ACH-000339,-1.4072390782100002
ACH-000341,-1.1403049158399998
ACH-000348,-1.40403492916
ACH-000350,-1.7508614738
ACH-000352,-1.3520015412900002
ACH-000356,-1.2750646037
ACH-000361,-1.4741995465200002
ACH-000362,-1.41445329792
ACH-000363,-1.4875523964
