,CC2D1B (200014)
ACH-000004,-0.24904454286999997
ACH-000007,-0.131930180413
ACH-000009,-0.566999937534
ACH-000011,0.0124302446864
ACH-000012,-0.382087458326
ACH-000013,-0.27574351497099997
ACH-000014,-0.332829933779
ACH-000015,-0.226866459517
ACH-000017,-0.16190503067
ACH-000018,-0.24130980255800002
ACH-000019,-0.130080277492
ACH-000021,-0.13953068942500002
ACH-000022,-0.278435340514
ACH-000025,-0.194008467804
ACH-000028,-0.281709190157
ACH-000030,-0.09735793090719999
ACH-000035,-0.269192006083
ACH-000036,-0.12187995168400001
ACH-000037,-0.025613358542900002
ACH-000039,-0.39043598043000005
ACH-000040,-0.188625783991
ACH-000041,-0.18057802702
ACH-000042,-0.10491700148800001
ACH-000045,-0.21784685227699999
ACH-000047,-0.171671794124
ACH-000052,-0.444389395022
ACH-000053,-0.0598941564227
ACH-000054,-0.12971951430099998
ACH-000055,-0.274233374032
ACH-000060,-0.355177503583
ACH-000067,-0.193366794923
ACH-000070,-0.259603900583
ACH-000075,-0.232028760795
ACH-000078,-0.236739359902
ACH-000082,0.017648083901799998
ACH-000085,-0.35852978082500003
ACH-000086,-0.280294228902
ACH-000087,-0.21132972305599998
ACH-000092,-0.284725168085
ACH-000095,-0.11013559512700001
ACH-000097,-0.121145505801
ACH-000098,-0.21789897936
ACH-000099,-0.199314375566
ACH-000108,-0.19679673341499998
ACH-000113,-0.22407518123700002
ACH-000115,-0.0568070721302
ACH-000116,-0.22579505255999996
ACH-000118,-0.174715163203
ACH-000120,0.0017793254353199999
ACH-000123,-0.320363078937
ACH-000127,-0.14069165937
ACH-000128,-0.270713132282
ACH-000132,-0.378853551962
ACH-000133,-0.0474682945766
ACH-000137,-0.21347423423300002
ACH-000138,-0.118074337152
ACH-000142,-0.12963381623099998
ACH-000143,-0.0658146858258
ACH-000146,-0.135763477553
ACH-000148,-0.13211170149
ACH-000150,-0.254549779428
ACH-000152,-0.247458372323
ACH-000153,-0.14049500082900002
ACH-000159,-0.158257497646
ACH-000160,-0.209611176999
ACH-000163,-0.0700869319114
ACH-000167,-0.101001038006
ACH-000168,-0.0983418855197
ACH-000169,-0.0759208871255
ACH-000178,-0.10920048632200001
ACH-000182,-0.0101879952367
ACH-000183,-0.327296663466
ACH-000188,-0.08761318346550001
ACH-000189,-0.010987494195399999
ACH-000190,-0.297658280381
ACH-000198,-0.210716735371
ACH-000204,0.177184646149
ACH-000206,0.1458532292
ACH-000207,-0.36522923522100004
ACH-000211,-0.0772925977127
ACH-000215,-0.20718783813299999
ACH-000221,-0.168938482837
ACH-000222,-0.24443781608800003
ACH-000223,-0.12475107503699999
ACH-000226,-0.17555973230500002
ACH-000227,-0.298912931569
ACH-000228,-0.291836613138
ACH-000231,-0.060938645351
ACH-000232,-0.18178108970100001
ACH-000233,0.0038427962723499996
ACH-000234,0.100885926955
ACH-000235,-0.17388441950999997
ACH-000237,-0.051737282477799997
ACH-000238,-0.270992684004
ACH-000243,-0.200683380026
ACH-000244,0.04196640841580001
ACH-000246,-0.09396443729980002
ACH-000248,-0.203710181746
ACH-000250,-0.06430259648709999
ACH-000251,-0.07084877851419999
ACH-000253,0.0164088083804
ACH-000255,-0.286176718767
ACH-000256,-0.06107057021599999
ACH-000257,-0.5481177885199999
ACH-000258,-0.159681011388
ACH-000259,-0.231138695757
ACH-000260,-0.18465254014000002
ACH-000261,-0.128790089936
ACH-000262,-0.269443587779
ACH-000263,-0.140581725119
ACH-000264,-0.18638111556899997
ACH-000265,-0.20158797318
ACH-000266,-0.058745156983
ACH-000272,-0.30076750521699996
ACH-000273,-0.176364384555
ACH-000274,-0.20001494351500002
ACH-000277,-0.133937270415
ACH-000278,-0.282786057671
ACH-000279,-0.293975124223
ACH-000280,-0.307751696892
ACH-000281,-0.207960291971
ACH-000288,-0.09868736467690001
ACH-000291,-0.0804772748043
ACH-000293,0.122076459624
ACH-000294,-0.20641444744800003
ACH-000295,0.11884713126299999
ACH-000296,-0.282024058211
ACH-000302,-0.185767480249
ACH-000304,-0.460473718459
ACH-000307,-0.129723908094
ACH-000308,-0.0668428874084
ACH-000310,-0.363761906879
ACH-000311,-0.161044760174
ACH-000312,-0.40291308532700004
ACH-000315,-0.22393468100000002
ACH-000316,-0.228852524076
ACH-000317,-0.10122021905300001
ACH-000318,-0.353192726072
ACH-000319,-0.163263489302
ACH-000320,-0.33959668761699996
ACH-000322,-0.273860846023
ACH-000323,-0.10165151178500001
ACH-000324,-0.34969512530999997
ACH-000329,-0.165548888648
ACH-000330,-0.19888754268300002
ACH-000331,-0.0952214892768
ACH-000332,-0.16837888950399998
ACH-000334,-0.188717798051
ACH-000335,-0.20994085999499998
ACH-000336,-0.573058511489
ACH-000337,-0.0230381769942
ACH-000339,-0.0646399337727
ACH-000341,-0.106687777549
ACH-000348,-0.0276978967607
ACH-000350,-0.20999816671799998
ACH-000352,-0.264595516041
ACH-000356,-0.477099138716
ACH-000361,-0.257268110757
ACH-000362,-0.211786642052
ACH-000363,-0.0100320598759
ACH-000364,0.0532879971695
ACH-000365,-0.16008174713
ACH-000366,-0.198387295543
ACH-000368,-0.00685810174945
ACH-000374,-0.21260625772
ACH-000375,-0.12464535875
ACH-000376,-0.28544104236400003
ACH-000381,-0.311517509184
ACH-000383,-0.187466217756
ACH-000387,-0.439643000288
ACH-000389,-0.22262074186500003
ACH-000390,-0.180005966101
ACH-000393,-0.111396707556
ACH-000395,-0.275043752388
ACH-000397,-0.148028977409
ACH-000401,-0.010600069786
ACH-000402,0.183630861466
ACH-000403,-0.10427232769400001
ACH-000404,-0.10420583148399999
ACH-000406,-0.131878296436
ACH-000407,-0.124750671513
