,DOPEY1 (23033)
ACH-000004,0.19969930740400002
ACH-000007,0.187044432973
ACH-000009,0.08487992639039998
ACH-000011,0.156107463857
ACH-000012,0.0336194051021
ACH-000013,0.0476530749849
ACH-000014,0.24286987228700002
ACH-000015,0.049918853537800005
ACH-000017,0.16458012498299998
ACH-000018,0.0671025894104
ACH-000019,0.163852039985
ACH-000021,-0.0212235844778
ACH-000022,0.25265389236200003
ACH-000025,0.342003109481
ACH-000028,-0.00192766140934
ACH-000030,0.13329852744100001
ACH-000035,0.220890043279
ACH-000036,0.15967408778699999
ACH-000037,0.115675598869
ACH-000039,-0.0148589040783
ACH-000040,0.125550593351
ACH-000041,0.0974165233498
ACH-000042,0.189553421782
ACH-000045,0.08894906438719999
ACH-000047,0.074901127697
ACH-000052,0.0570484026956
ACH-000053,0.028870190018700004
ACH-000054,0.156979356021
ACH-000055,0.11970420596100001
ACH-000060,-0.0179401305537
ACH-000067,-0.134283495427
ACH-000070,0.25504526474
ACH-000075,0.46585908958899996
ACH-000078,-0.03561568110630001
ACH-000082,0.097758654318
ACH-000085,0.16394563286
ACH-000086,0.170069233088
ACH-000087,0.102144671264
ACH-000092,0.12508868100099998
ACH-000095,0.10594806482699999
ACH-000097,0.168688222984
ACH-000098,0.0661165195383
ACH-000099,0.11978623545900001
ACH-000108,0.0639572850695
ACH-000113,0.27274285981699997
ACH-000115,0.12437262994100001
ACH-000116,0.17719545238499998
ACH-000118,0.141767008423
ACH-000120,0.126415094687
ACH-000123,0.113066610518
ACH-000127,0.0240199328188
ACH-000128,0.232466494802
ACH-000132,0.0805602295689
ACH-000133,0.158414000856
ACH-000137,0.164790670573
ACH-000138,0.162687740259
ACH-000142,0.24810247433200003
ACH-000143,0.181444558724
ACH-000146,0.196829808825
ACH-000148,0.0617767305164
ACH-000150,-0.0644815959136
ACH-000152,0.0911125047384
ACH-000153,-0.04009606004769999
ACH-000159,0.0105010329609
ACH-000160,0.0219525833589
ACH-000163,0.173617034039
ACH-000167,-0.163426471529
ACH-000168,0.207006283903
ACH-000169,0.411739512353
ACH-000178,0.0630121097483
ACH-000182,0.237303215889
ACH-000183,0.394506780131
ACH-000188,0.129411374286
ACH-000189,0.0389250870045
ACH-000190,0.20258670104499998
ACH-000198,0.07837848594539999
ACH-000204,0.576432619894
ACH-000206,0.19873092497699998
ACH-000207,0.207426637892
ACH-000211,0.18657630523899998
ACH-000215,0.104677393491
ACH-000221,0.139426662559
ACH-000222,0.248071061739
ACH-000223,0.103349069404
ACH-000226,0.10367165132999999
ACH-000227,0.165678915328
ACH-000228,0.020203391432700002
ACH-000231,0.117065610122
ACH-000232,0.21933858321400002
ACH-000233,0.267041058454
ACH-000234,0.26445612338
ACH-000235,0.14661048121200002
ACH-000237,0.144649699385
ACH-000238,0.296590600838
ACH-000243,0.0467324435654
ACH-000244,0.43331995831
ACH-000246,0.225873384494
ACH-000248,0.00967150127597
ACH-000250,0.167268325349
ACH-000251,0.0329485209162
ACH-000253,0.288688979324
ACH-000255,0.177478244447
ACH-000256,0.115927566417
ACH-000257,-0.0781973117309
ACH-000258,0.286045072795
ACH-000259,0.29763970881499996
