,LARP4B (23185)
ACH-000004,-0.0416704957955
ACH-000007,-0.020604982856299997
ACH-000009,-0.06882872339150001
ACH-000011,0.07472814259489999
ACH-000012,-0.0296226588785
ACH-000013,-0.174338112183
ACH-000014,0.174170918469
ACH-000015,0.0890404172989
ACH-000017,0.119968861947
ACH-000018,0.127263354637
ACH-000019,0.0528780802489
ACH-000021,-0.138398627621
ACH-000022,0.0309305160243
ACH-000025,-0.215711444036
ACH-000028,-0.180616112984
ACH-000030,-0.14537832531
ACH-000035,-0.0224138980212
ACH-000036,-0.110583120285
ACH-000037,-0.020691812035400003
ACH-000039,-0.18595643682799998
ACH-000040,-0.107057147879
ACH-000041,0.19106576713399998
ACH-000042,-0.124489091847
ACH-000045,-0.0787169031893
ACH-000047,-0.152997985692
ACH-000052,0.0627267656001
ACH-000053,0.0714316044472
ACH-000054,-0.121157091207
ACH-000055,-0.155716533596
ACH-000060,0.0261023711985
ACH-000067,-0.23056743365
ACH-000070,-0.09514867070760001
ACH-000075,-0.18445198038199997
ACH-000078,-0.238239295696
ACH-000082,-0.18991634977699998
ACH-000085,0.463503724459
ACH-000086,-0.0418347243496
ACH-000087,0.101721121412
ACH-000092,-0.131218238092
ACH-000095,-0.0530061059134
ACH-000097,0.0835051897154
ACH-000098,-0.188443058694
ACH-000099,-0.281081045095
ACH-000108,-0.119839143927
ACH-000113,-0.283769352642
ACH-000115,-0.024549544182700004
ACH-000116,-0.0187893737533
ACH-000118,-0.0734609334474
ACH-000120,0.07358090916339999
ACH-000123,-0.0012127171039400001
ACH-000127,-0.0100641665821
ACH-000128,-0.0787476520636
ACH-000132,-0.258539493615
ACH-000133,-0.01193138918
ACH-000137,-0.205116547268
ACH-000138,-0.390143828885
ACH-000142,0.29479728309500003
ACH-000143,-0.21034374098
ACH-000146,-0.154215231591
ACH-000148,-0.171426741332
ACH-000150,-0.06297500299850001
ACH-000152,0.028349985822799996
ACH-000153,0.0487844688334
ACH-000159,0.040978795523
ACH-000160,-0.17192915429299999
ACH-000163,-0.125907650384
ACH-000167,-0.173534436634
ACH-000168,-0.410212779385
ACH-000169,0.161367587561
ACH-000178,-0.155223459916
ACH-000182,-0.210445625557
ACH-000183,-0.16220321687
ACH-000188,-0.05207312617459999
ACH-000189,0.15106102918199998
ACH-000190,0.042546252631199995
ACH-000198,-0.388761636782
ACH-000204,-0.18557038787
ACH-000206,-0.196483376355
ACH-000207,-0.339388245001
ACH-000211,-0.012792711205200001
ACH-000215,0.0356077784608
ACH-000221,-0.0562406531628
ACH-000222,-0.413407505811
ACH-000223,0.0060287216179300005
ACH-000226,0.09883805578549999
ACH-000227,-0.301769316804
ACH-000228,0.100214397687
ACH-000231,0.005593602317359999
