,C1D (10438)
ACH-000004,-0.48476644002400004
ACH-000007,-0.667071842776
ACH-000009,-0.315609875112
ACH-000011,-0.7288476148280001
ACH-000012,-0.878294600624
ACH-000013,-0.366777321255
ACH-000014,-0.450114956847
ACH-000015,-0.334706642218
ACH-000017,-0.313753150084
ACH-000018,-0.7920620066130001
ACH-000019,-0.596779977819
ACH-000021,-0.698376234856
ACH-000022,-0.279877628876
ACH-000025,-0.755004608755
ACH-000028,-0.656956676463
ACH-000030,-0.644114958393
ACH-000035,-0.45954135407799995
ACH-000036,-0.868309225455
ACH-000037,-0.6944198503829999
ACH-000039,-0.839337909348
ACH-000040,-0.705607651804
ACH-000041,-0.426287603084
ACH-000042,-0.281836618631
ACH-000045,-0.240743031271
ACH-000047,-0.802313305421
ACH-000052,-0.770510841231
ACH-000053,-0.48255907171499995
ACH-000054,-0.5695994852880001
ACH-000055,0.0371457278395
ACH-000060,-0.586061966063
ACH-000067,-0.8891191695880001
ACH-000070,-0.39703539184500003
ACH-000075,-0.617667313107
ACH-000078,-0.80815732113
ACH-000082,-0.32730388519000003
ACH-000085,-0.57572559283
ACH-000086,-0.558666298302
ACH-000087,-0.8510246907350001
ACH-000092,-0.73537697795
ACH-000095,-0.463873187056
ACH-000097,-0.851335477536
ACH-000098,-0.45202628662699995
ACH-000099,-0.9589123056540001
ACH-000108,-0.449125320756
ACH-000113,-0.17720779158
ACH-000115,-0.18941516420600002
ACH-000116,-0.7641777042919999
ACH-000118,-0.40943507270199997
ACH-000120,-0.591481921284
ACH-000123,-0.45316238973399997
ACH-000127,-0.755644300298
ACH-000128,-0.340901023495
ACH-000132,-0.4911072363600001
ACH-000133,-0.543603592178
ACH-000137,-0.441329032372
ACH-000138,-0.578353309292
ACH-000142,-0.763503403106
ACH-000143,-0.46510535742700004
ACH-000146,-0.328863676553
ACH-000148,-0.546282511814
ACH-000150,-0.660070818145
ACH-000152,-0.673891127218
ACH-000153,-0.612823326619
ACH-000159,-0.305406559932
ACH-000160,-0.919452915539
ACH-000163,-0.7230509210930001
ACH-000167,-0.791250814788
ACH-000168,-0.292710366331
ACH-000169,-0.5553935173219999
ACH-000178,-0.482404127655
ACH-000182,-0.6938079406700001
ACH-000183,-0.248124460222
ACH-000188,-0.81170860115
ACH-000189,-0.734679294983
ACH-000190,-0.454559700444
ACH-000198,-0.505097484437
ACH-000204,-0.511902577389
ACH-000206,-0.31492108136999997
ACH-000207,-0.654026327231
ACH-000211,-0.538327898479
ACH-000215,-0.8367152761319999
ACH-000221,-0.20709561181299999
ACH-000222,-0.442255082411
ACH-000223,-0.561485195442
ACH-000226,-0.7343580426209999
ACH-000227,-0.912695966778
ACH-000228,-0.5097603337250001
ACH-000231,-0.8293588048280001
ACH-000232,-0.381616610368
ACH-000233,-0.5876403269439999
ACH-000234,-0.257770019556
ACH-000235,-0.307143477341
ACH-000237,-0.624755494306
ACH-000238,-0.8117421184110001
ACH-000243,-0.710991694525
ACH-000244,-0.288282960965
ACH-000246,-0.7027591661139999
ACH-000248,-0.46307378645499997
