,WBP1L (54838)
ACH-000004,-0.597391064
ACH-000007,-0.5621668390869999
ACH-000009,-0.6707215160100001
ACH-000011,-0.169613178669
ACH-000012,-0.661220943679
ACH-000013,-0.22808830270199998
ACH-000014,-0.4709480632
ACH-000015,-0.221241577442
ACH-000017,-0.522668007212
ACH-000018,-0.270792703229
ACH-000019,-0.606390997
ACH-000021,-0.38254157292900004
ACH-000022,-0.383803170514
ACH-000025,-0.35399035132
ACH-000028,-0.486747434679
ACH-000030,-0.581418835386
ACH-000035,-0.390999327144
ACH-000036,-0.522332703812
ACH-000037,-0.518108182993
ACH-000039,-0.751383784575
ACH-000040,-0.8844967387620001
ACH-000041,-0.53051058746
ACH-000042,-0.7760816387010001
ACH-000045,-0.48827351243100003
ACH-000047,-0.323710478016
ACH-000052,-0.442481904949
ACH-000053,-0.34077107573
ACH-000054,-0.463315728321
ACH-000055,-0.431027139359
ACH-000060,-0.654168785364
ACH-000067,-0.865377380146
ACH-000070,-0.281504652447
ACH-000075,-0.626624540628
ACH-000078,-0.638340480383
ACH-000082,-0.514516146739
ACH-000085,-0.632461934764
ACH-000086,-0.282033475892
ACH-000087,-0.272380862205
ACH-000092,-0.475291729138
ACH-000095,-0.732896961883
ACH-000097,-0.337098456615
ACH-000098,-0.587062951329
ACH-000099,-0.546686258198
ACH-000108,-0.242163477539
ACH-000113,-0.44485564997
ACH-000115,-0.208657388887
ACH-000116,-0.814233520337
ACH-000118,-0.466284264856
ACH-000120,-0.377613407414
ACH-000123,-0.45741890198299995
ACH-000127,-0.40828623449199997
ACH-000128,-0.471657975844
ACH-000132,-0.45519460579300003
ACH-000133,-0.369735284688
ACH-000137,-0.2021545005
ACH-000138,-0.5946938330629999
ACH-000142,-0.6141392116359999
ACH-000143,-0.217746145013
ACH-000146,-0.292386966102
ACH-000148,-0.38690007555399997
ACH-000150,-0.510050607953
ACH-000152,-0.34666055717699995
ACH-000153,-0.44171658575000006
ACH-000159,-0.575860176664
ACH-000160,-0.5664491319089999
ACH-000163,-0.216084116325
ACH-000167,0.43682887017
ACH-000168,-0.547867050172
ACH-000169,-0.707409019666
ACH-000178,-0.627214115306
ACH-000182,-0.647103507536
ACH-000183,-0.546447601937
ACH-000188,-0.487092296568
ACH-000189,-0.568606507483
ACH-000190,-0.408146346447
ACH-000198,-0.415825733489
ACH-000204,-0.42821688115400003
ACH-000206,-0.682586661222
ACH-000207,-0.408064923383
ACH-000211,-0.792654658624
ACH-000215,-0.5111420762169999
ACH-000221,0.08896852032050001
ACH-000222,-0.29653035544399997
ACH-000223,-0.617001292442
ACH-000226,-0.551389000479
ACH-000227,-0.8211854527410001
ACH-000228,-0.46771412775700005
ACH-000231,-0.313423307863
ACH-000232,-0.551504624508
ACH-000233,-0.660142931576
ACH-000234,-0.40080282793000005
ACH-000235,-0.49075890298
ACH-000237,-0.57369940893
ACH-000238,-0.685891047294
ACH-000243,-0.580313301164
ACH-000244,-0.48563520340300004
ACH-000246,-0.49251198673
ACH-000248,-0.554874910567
ACH-000250,-0.770844359747
ACH-000251,-0.208770086168
ACH-000253,-0.7908597869089999
ACH-000255,-0.40765428129000003
ACH-000256,-0.521784293008
ACH-000257,-0.400154500661
ACH-000258,-0.42688715187799997
ACH-000259,-0.540164288301
ACH-000260,-0.6048451429389999
ACH-000261,-0.648101664336
ACH-000262,-0.356581428582
ACH-000263,-0.662216110452
ACH-000264,-0.32518539688000003
ACH-000265,-0.380286389533
ACH-000266,-0.528477916606
ACH-000272,-0.685435212386
ACH-000273,-0.251461322519
ACH-000274,-0.749730184352
ACH-000277,-0.291507816499
ACH-000278,-0.489322654608
ACH-000279,-0.64865598538
ACH-000280,-0.5312774745359999
ACH-000281,-0.473762829817
ACH-000288,-0.33473978406800003
ACH-000291,-0.494816806707
ACH-000293,-0.701504452277
ACH-000294,-0.70148140785
ACH-000295,-0.77804655781
ACH-000296,-0.318812231624
ACH-000302,-0.24626147671100002
ACH-000304,-0.49181426957099994
ACH-000307,-0.489737353673
ACH-000308,-0.7767670800900001
ACH-000310,-1.05008675036
ACH-000311,-0.39387520571400003
ACH-000312,-0.574014940671
ACH-000315,-0.74397476278
ACH-000316,-0.25012729937
ACH-000317,-0.623797192721
ACH-000318,-0.315234878144
ACH-000319,-0.268845004059
