,TMEM50B (757)
ACH-000004,-0.20817502156
ACH-000007,-0.36993971574
ACH-000009,-0.187425426198
ACH-000011,-0.356476472843
ACH-000012,-0.303266027169
ACH-000013,-0.322230446851
ACH-000014,0.0135920623508
ACH-000015,-0.195558856969
ACH-000017,-0.254001560651
ACH-000018,-0.33646141460100004
ACH-000019,-0.368609199991
ACH-000021,-0.13447750825899998
ACH-000022,-0.238698161045
ACH-000025,-0.10902213929099999
ACH-000028,-0.238803382196
ACH-000030,-0.30014280229699997
ACH-000035,-0.249676529909
ACH-000036,-0.33593425934500004
ACH-000037,-0.24517420922
ACH-000039,-0.396323612976
ACH-000040,-0.135704473046
ACH-000041,-0.06134044059740001
ACH-000042,-0.22195583047400003
ACH-000045,0.00623695405456
ACH-000047,-0.0861266651929
ACH-000052,-0.055983388463
ACH-000053,-0.132326269082
ACH-000054,-0.302903630459
ACH-000055,-0.23651998773000002
ACH-000060,-0.187169709525
ACH-000067,-0.277923597284
ACH-000070,-0.23237891786999998
ACH-000075,-0.0526318894716
ACH-000078,-0.274038375221
ACH-000082,-0.252464576296
ACH-000085,-0.267069869242
ACH-000086,-0.286002505828
ACH-000087,-0.071902918508
ACH-000092,-0.255072698286
ACH-000095,-0.11758226566999999
ACH-000097,-0.24379512864
ACH-000098,-0.30149851152699997
ACH-000099,-0.234309016938
ACH-000108,-0.205978442737
ACH-000113,-0.18904139908700002
ACH-000115,-0.228599086843
ACH-000116,-0.41700642663099996
ACH-000118,-0.0597537974958
ACH-000120,-0.12205341004100001
ACH-000123,-0.27503696920000004
ACH-000127,-0.293677054535
ACH-000128,-0.158323990559
ACH-000132,-0.310406177987
ACH-000133,-0.212786387016
ACH-000137,-0.131534972601
ACH-000138,-0.0220487565895
ACH-000142,-0.299933623416
ACH-000143,-0.328045799252
ACH-000146,-0.144062315408
ACH-000148,-0.144967676912
ACH-000150,-0.410707156134
ACH-000152,-0.17140049281199998
ACH-000153,0.0634673297564
ACH-000159,-0.15244205301
ACH-000160,-0.09471923728489999
ACH-000163,-0.181000297602
ACH-000167,-0.26596884193799997
ACH-000168,-0.267787302838
ACH-000169,-0.13280035767
ACH-000178,-0.245163463795
ACH-000182,-0.22324685421
ACH-000183,-0.128071877375
ACH-000188,-0.559900724401
ACH-000189,-0.256496937126
ACH-000190,-0.214139835799
ACH-000198,-0.155701134694
ACH-000204,-0.106667040828
ACH-000206,-0.15686686348200002
ACH-000207,-0.163478009422
ACH-000211,-0.0829111014733
ACH-000215,-0.235438857311
ACH-000221,0.0455525616691
