,PCF11 (51585)
ACH-000004,-1.3293730399500001
ACH-000007,-1.37887758099
ACH-000009,-0.912284752736
ACH-000011,-1.4718458039500002
ACH-000012,-1.17344369193
ACH-000013,-1.47390263541
ACH-000014,-1.30919415596
ACH-000015,-1.25704960578
ACH-000017,-1.4299886746700001
ACH-000018,-0.8600486857240001
ACH-000019,-1.2577074860600002
ACH-000021,-1.26077054979
ACH-000022,-0.9180982617739999
ACH-000025,-1.0444267799299998
ACH-000028,-1.30273611797
ACH-000030,-1.3606750542
ACH-000035,-0.933220386172
ACH-000036,-1.33388267351
ACH-000037,-1.6275366113299998
ACH-000039,-1.2157802534
ACH-000040,-0.8841857685850001
ACH-000041,-1.3296143098100002
ACH-000042,-1.3241857912200001
ACH-000045,-1.3175078781
ACH-000047,-1.3789658429799998
ACH-000052,-1.14846270998
ACH-000053,-1.5800051519
ACH-000054,-1.38557923982
ACH-000055,-1.2159540644700002
ACH-000060,-0.8132071569850001
ACH-000067,-0.920205402208
ACH-000070,-1.20997714214
ACH-000075,-1.5345056375600001
ACH-000078,-1.4143355098700001
ACH-000082,-1.44916055634
ACH-000085,-1.03387382151
ACH-000086,-1.25751886912
ACH-000087,-1.2444586133600002
ACH-000092,-1.15368200085
ACH-000095,-1.4922463956999998
ACH-000097,-1.28442586355
ACH-000098,-1.06886231479
ACH-000099,-1.56637406535
ACH-000108,-1.2373547258700002
ACH-000113,-1.28797563412
ACH-000115,-1.6776155566600002
ACH-000116,-0.977572415656
ACH-000118,-1.10203490216
ACH-000120,-1.4000194778900001
ACH-000123,-1.44061458433
ACH-000127,-0.876305073068
ACH-000128,-1.12541109408
ACH-000132,-1.02937148511
ACH-000133,-1.2307064330600002
ACH-000137,-1.28745555283
ACH-000138,-1.4619266568
ACH-000142,-1.02756902069
ACH-000143,-1.17226403049
ACH-000146,-1.29058754615
ACH-000148,-1.07792312284
ACH-000150,-1.31532193189
ACH-000152,-1.12891773126
ACH-000153,-1.4649617748100001
ACH-000159,-1.36409764789
ACH-000160,-1.22194858501
ACH-000163,-1.25388560098
ACH-000167,-1.4245235370200002
ACH-000168,-1.23946545377
ACH-000169,-1.12129203215
ACH-000178,-1.04643309287
ACH-000182,-1.0443407580600002
ACH-000183,-1.30349702842
ACH-000188,-1.3133513505
ACH-000189,-0.972139539282
ACH-000190,-0.707775447634
ACH-000198,-1.31706762518
ACH-000204,-1.45657746926
ACH-000206,-1.2915409892899998
ACH-000207,-0.7653374990999999
ACH-000211,-0.947811165514
ACH-000215,-0.968705855785
ACH-000221,-1.18441277127
ACH-000222,-1.03247372526
ACH-000223,-1.41880331988
ACH-000226,-1.19328335554
ACH-000227,-1.39217410074
ACH-000228,-1.13389313612
ACH-000231,-1.2686374001
ACH-000232,-1.35216303217
ACH-000233,-1.5139072463999999
ACH-000234,-1.0500789327700002
ACH-000235,-1.07538460179
ACH-000237,-0.791777518737
ACH-000238,-1.57205473778
ACH-000243,-0.7924030779800001
ACH-000244,-1.2977016133200001
ACH-000246,-1.21825082907
ACH-000248,-0.988443023725
ACH-000250,-1.11160405987
ACH-000251,-0.8366578980949999
ACH-000253,-1.231361728
ACH-000255,-1.2436615183700002
ACH-000256,-1.0177096552
ACH-000257,-1.28676565092
ACH-000258,-0.9114403520469999
ACH-000259,-1.29170554706
ACH-000260,-1.58149590947
ACH-000261,-1.27825730171
