,SGPL1 (8879)
ACH-000004,-0.340691630082
ACH-000007,-0.132213330189
ACH-000009,-0.276362037733
ACH-000011,-0.25045599679499997
ACH-000012,-0.23066610254099998
ACH-000013,-0.17440487151599998
ACH-000014,-0.381930611929
ACH-000015,-0.304254818949
ACH-000017,-0.411085700078
ACH-000018,-0.104577691193
ACH-000019,-0.20750088540199998
ACH-000021,-0.23784593214299998
ACH-000022,-0.164212516461
ACH-000025,-0.46690506360100004
ACH-000028,-0.250709390874
ACH-000030,-0.520606607941
ACH-000035,-0.188943128702
ACH-000036,-0.24334173801999998
ACH-000037,-0.392681811033
ACH-000039,-0.49423915600199997
ACH-000040,-0.155538957997
ACH-000041,-0.496704455739
ACH-000042,-0.263684745126
ACH-000045,-0.526934421061
ACH-000047,-0.09927145963390001
ACH-000052,-0.261399464524
ACH-000053,-0.218601606167
ACH-000054,-0.326163818499
ACH-000055,-0.287806080286
ACH-000060,-0.417959051118
ACH-000067,-0.28707412067899996
ACH-000070,-0.08924398087089999
ACH-000075,-0.140330299493
ACH-000078,-0.4438887868
ACH-000082,-0.591919907343
ACH-000085,-0.19043784034800001
ACH-000086,-0.211177317264
ACH-000087,-0.21698510161600001
ACH-000092,-0.223573513043
ACH-000095,-0.520116733509
ACH-000097,-0.344793071417
ACH-000098,-0.27712555625
ACH-000099,-0.386780942008
ACH-000108,-0.148817476009
ACH-000113,-0.30955286176999997
ACH-000115,-0.08346045494570001
ACH-000116,-0.142687917054
ACH-000118,-0.256867687954
ACH-000120,-0.354698799204
ACH-000123,-0.43359002955
ACH-000127,-0.22694244518599999
ACH-000128,-0.0529971963968
ACH-000132,-0.249903253514
ACH-000133,-0.331223260279
ACH-000137,-0.45802872281400003
ACH-000138,-0.23505259613600002
ACH-000142,-0.09733471652280001
ACH-000143,-0.299225029299
ACH-000146,-0.30456072858000005
ACH-000148,-0.493899658225
ACH-000150,-0.30736854858
ACH-000152,-0.280746120833
ACH-000153,-0.07222289310760001
ACH-000159,-0.204568121844
ACH-000160,-0.211392285766
ACH-000163,-0.33236325618900003
ACH-000167,-0.338335201812
ACH-000168,-0.42222038383
ACH-000169,-0.48218644863999993
ACH-000178,-0.311622679573
ACH-000182,-0.338970815775
ACH-000183,-0.297999004428
ACH-000188,-0.279308518582
ACH-000189,-0.103041708583
ACH-000190,-0.339146111747
ACH-000198,-0.22501154349599997
ACH-000204,-0.458550027936
ACH-000206,-0.43605402384099995
ACH-000207,-0.39041624718199996
ACH-000211,-0.30879962808899997
ACH-000215,-0.180934076289
ACH-000221,-0.293787735126
ACH-000222,-0.163449469968
ACH-000223,-0.259191394252
ACH-000226,-0.29239148558600003
ACH-000227,-0.82334418388
ACH-000228,-0.51014509698
ACH-000231,-0.309218495044
ACH-000232,-0.317267878381
ACH-000233,-0.320354536293
ACH-000234,-0.14520353501299998
ACH-000235,-0.220489554665
ACH-000237,-0.332335694567
ACH-000238,0.0280452295675
ACH-000243,-0.629650338343
ACH-000244,-0.210308998288
ACH-000246,-0.257501226422
ACH-000248,-0.40473124898400004
ACH-000250,-0.317565670864
ACH-000251,-0.143276390788
ACH-000253,-0.27273440010600003
ACH-000255,-0.421584043464
ACH-000256,-0.47442316731899997
ACH-000257,-0.39039037886100003
ACH-000258,-0.588793794786
ACH-000259,-0.217701597016
ACH-000260,-0.179497692137
ACH-000261,-0.326003257611
ACH-000262,-0.5917859786249999
ACH-000263,-0.497203926457
ACH-000264,-0.45823791758
ACH-000265,-0.220001992599
ACH-000266,-0.206357028431
ACH-000272,-0.14918148795
ACH-000273,-0.44364619602
ACH-000274,-0.26245117391399997
ACH-000277,-0.466860294367
ACH-000278,-0.14885896634
ACH-000279,-0.324158304116
ACH-000280,-0.113467134328
ACH-000281,-0.339265462689
ACH-000288,-0.18032582951499998
ACH-000291,-0.237278608492
ACH-000293,-0.326030320714
ACH-000294,-0.481231277583
ACH-000295,-0.115882805313
ACH-000296,-0.22472411399099998
ACH-000302,-0.22091758136599998
ACH-000304,0.155145768417
ACH-000307,-0.27346765331399997
ACH-000308,-0.287103848773
ACH-000310,-0.594320768056
ACH-000311,-0.375262893645
ACH-000312,-0.33523818526
ACH-000315,-0.042456745565599995
ACH-000316,-0.228988969066
ACH-000317,-0.212159263534
ACH-000318,-0.244390924822
ACH-000319,-0.24014952089699998
ACH-000320,-0.0868693332164
ACH-000322,-0.276220597983
ACH-000323,-0.28644794448399996
ACH-000324,-0.458587417826
ACH-000329,-0.5009814982680001
ACH-000330,-0.374823242356
ACH-000331,-0.380006137812
ACH-000332,-0.299693443182
ACH-000334,-0.419222903681
ACH-000335,-0.193162068997
ACH-000336,-0.117753721721
ACH-000337,-0.355540279971
ACH-000339,-0.289853123003
ACH-000341,-0.372506983353
