,DYNC1LI2 (1783)
ACH-000004,-0.0787754805368
ACH-000007,-0.239177636814
ACH-000009,0.0197325313664
ACH-000011,-0.8308833303450001
ACH-000012,-0.339631314745
ACH-000013,-0.10221511268
ACH-000014,-0.15125585196799998
ACH-000015,-0.426399893217
ACH-000017,-0.12063748257300001
ACH-000018,-0.059291430412599995
ACH-000019,0.0563372541177
ACH-000021,-0.270907494027
ACH-000022,-0.37932072496299996
ACH-000025,-0.125532640396
ACH-000028,0.0310097003413
ACH-000030,-0.30224415900400003
ACH-000035,-0.013458325013299998
ACH-000036,-0.163609611886
ACH-000037,-0.416582152636
ACH-000039,-0.17588003578400002
ACH-000040,-0.234277285025
ACH-000041,-0.072089987944
ACH-000042,-0.713768469401
ACH-000045,-0.250856311969
ACH-000047,-0.11936585641799999
ACH-000052,-0.14783598849500001
ACH-000053,-0.10341598858300001
ACH-000054,-0.0652652662609
ACH-000055,-0.0397502345245
ACH-000060,-0.22402366135899998
ACH-000067,-0.21788580512800002
ACH-000070,-0.157291147456
ACH-000075,-0.41429431568400005
ACH-000078,-0.164235029074
ACH-000082,0.027230203237
ACH-000085,-0.234478104336
ACH-000086,-0.24483313386799999
ACH-000087,-0.131796976536
ACH-000092,0.15577621699799998
ACH-000095,-0.149764407408
ACH-000097,-0.219187807598
ACH-000098,-0.34533482028800006
ACH-000099,-0.0453754474599
ACH-000108,-0.0923223535758
ACH-000113,-0.119625888347
ACH-000115,-0.100910939702
ACH-000116,-0.22689816026999998
ACH-000118,-0.16992103581300003
ACH-000120,-0.523195835969
ACH-000123,-0.16133659577099999
ACH-000127,-0.462369002125
ACH-000128,-0.262511398737
ACH-000132,-0.18578225189599998
ACH-000133,-0.342519016209
ACH-000137,-0.356582172615
ACH-000138,-0.46657319781499995
ACH-000142,-0.640559317577
ACH-000143,0.0294064684808
ACH-000146,-0.0955758340337
ACH-000148,-0.084179565564
ACH-000150,-0.11467783904300001
ACH-000152,-0.327840355152
ACH-000153,-0.635047364063
ACH-000159,-0.0265398958623
ACH-000160,-0.343747071169
ACH-000163,-0.0163082227972
ACH-000167,-0.257705935997
ACH-000168,-0.12784854732
ACH-000169,-0.08810466727579999
ACH-000178,-0.105725127073
ACH-000182,-0.825186954451
ACH-000183,-0.18576200513399999
ACH-000188,-0.509120203199
ACH-000189,-0.503266345685
ACH-000190,-0.25804785638300004
ACH-000198,-0.11825219772399999
ACH-000204,-0.07337968169669999
ACH-000206,0.19077333981199998
ACH-000207,-0.215465436473
ACH-000211,-0.0605798799983
ACH-000215,-0.13776204383500001
ACH-000221,-0.386881980079
ACH-000222,-0.0410761699056
ACH-000223,-0.183925772885
ACH-000226,-0.112834212151
ACH-000227,-0.217247387757
ACH-000228,-0.611799104005
ACH-000231,-0.05526188113490001
ACH-000232,-0.12358795757000002
ACH-000233,-0.246433316968
ACH-000234,-0.638730830398
ACH-000235,-0.440791454867
ACH-000237,-0.498632957291
ACH-000238,-0.61359032493
ACH-000243,-0.046394823900499996
ACH-000244,-0.119541687575
ACH-000246,-0.372660218461
ACH-000248,-0.20174393487999998
ACH-000250,-0.764733695255
ACH-000251,-0.38949248918799995
ACH-000253,-0.06450762866109999
ACH-000255,-0.422147228758
ACH-000256,0.0273516728406
ACH-000257,0.00570888262857
ACH-000258,0.130720824134
ACH-000259,-0.134547008529
ACH-000260,-0.671368807077
ACH-000261,-0.445212930077
ACH-000262,-0.7802015605149999
ACH-000263,-8.37969340461e-05
ACH-000264,-0.237298129628
ACH-000265,-0.124841043983
ACH-000266,-0.228734347068
ACH-000272,-0.183152958689
ACH-000273,-0.058141138255
ACH-000274,0.000243897358854
ACH-000277,-0.0240258256694
ACH-000278,0.023379062679599997
ACH-000279,-0.0732125675149
ACH-000280,-0.8841791147120001
ACH-000281,-0.143533564295
ACH-000288,-0.5553868363800001
ACH-000291,-0.10016919750600001
ACH-000293,0.00185092388168
ACH-000294,0.00381474233168
ACH-000295,-0.104428001076
ACH-000296,-0.0725019916212
ACH-000302,0.14156993218800001
ACH-000304,-0.061995087495999995
ACH-000307,-0.19694742447799998
ACH-000308,-0.068691049428
ACH-000310,-0.384335243811
ACH-000311,-0.424626033845
ACH-000312,-0.36096792089
ACH-000315,0.036973449138
ACH-000316,-0.617444865676
ACH-000317,-0.038598222301599996
ACH-000318,-0.386254843821
ACH-000319,-0.39492893269699997
ACH-000320,-0.382955401876
ACH-000322,-0.194738108715
