,EIF3G (8666)
ACH-000004,-1.25978129331
ACH-000007,-1.6118997535799997
ACH-000009,-1.5914020722600002
ACH-000011,-1.8279962024
ACH-000012,-0.994610844149
ACH-000013,-1.3789327870200003
ACH-000014,-1.07417602232
ACH-000015,-1.62907201642
ACH-000017,-1.36459420477
ACH-000018,-1.3903250166
ACH-000019,-1.4185383251199999
ACH-000021,-1.56788870886
ACH-000022,-1.6723452248800001
ACH-000025,-1.7549098558900003
ACH-000028,-1.5420763598700002
ACH-000030,-1.5260213739200001
ACH-000035,-1.31049766728
ACH-000036,-1.48179150054
ACH-000037,-1.17217055104
ACH-000039,-1.3275917503499999
ACH-000040,-1.21704714009
ACH-000041,-1.58678913251
ACH-000042,-1.55015644996
ACH-000045,-1.44221707518
ACH-000047,-1.4421882404100002
ACH-000052,-1.3837444764700002
ACH-000053,-1.2455461423799998
ACH-000054,-1.36168645419
ACH-000055,-1.41262226264
ACH-000060,-1.37046161317
ACH-000067,-1.2855894649
ACH-000070,-1.53954202764
ACH-000075,-1.18556898845
ACH-000078,-1.6713424239599999
ACH-000082,-1.32439084489
ACH-000085,-1.55194291384
ACH-000086,-1.1730878588200002
ACH-000087,-1.47128966357
ACH-000092,-1.0059475898
ACH-000095,-1.38391768329
ACH-000097,-1.6384198091100002
ACH-000098,-1.63230362835
ACH-000099,-1.47229521407
ACH-000108,-1.70512432635
ACH-000113,-1.5902256425299999
ACH-000115,-2.69459369813
ACH-000116,-1.45856507641
ACH-000118,-1.3303295560600001
ACH-000120,-1.2032074512
ACH-000123,-1.32750648572
ACH-000127,-1.4978455474799999
ACH-000128,-1.7276766456200001
ACH-000132,-1.54350920859
ACH-000133,-0.984904781576
ACH-000137,-1.47781916619
ACH-000138,-1.8539343182299999
ACH-000142,-1.67267731988
ACH-000143,-1.54573294496
ACH-000146,-1.58692429185
ACH-000148,-1.37970965801
ACH-000150,-1.28997093411
ACH-000152,-1.4667215737700001
ACH-000153,-1.36301564709
ACH-000159,-1.50558412243
ACH-000160,-1.4048064363400001
ACH-000163,-1.4082761985499999
ACH-000167,-1.98902639945
ACH-000168,-1.4505045825100003
ACH-000169,-1.23602380549
ACH-000178,-1.42434228926
ACH-000182,-1.3643672840099998
ACH-000183,-1.53335189597
ACH-000188,-1.55760431306
ACH-000189,-1.08266881582
ACH-000190,-1.2373061219600001
ACH-000198,-1.3907963993
ACH-000204,-1.15942953705
ACH-000206,-2.03678302079
ACH-000207,-1.4364339723
ACH-000211,-1.24319655079
ACH-000215,-1.53687442783
ACH-000221,-1.5753524092200002
ACH-000222,-1.4855472361200002
ACH-000223,-1.330896227
