,SGTA (6449)
ACH-000004,0.0005192106186890001
ACH-000007,-0.28903046270599997
ACH-000009,-0.06769862583610001
ACH-000011,-0.0881026710474
ACH-000012,-0.147165926122
ACH-000013,-0.24708477270399998
ACH-000014,-0.0867966177847
ACH-000015,-0.166977145221
ACH-000017,-0.18979804768199998
ACH-000018,-0.0165795426829
ACH-000019,-0.0290742014468
ACH-000021,-0.294329387408
ACH-000022,-0.044722028664
ACH-000025,-0.250248476782
ACH-000028,-0.195369642598
ACH-000030,-0.10980600496099999
ACH-000035,-0.184897175193
ACH-000036,-0.223767353102
ACH-000037,0.05584567778519999
ACH-000039,-0.262276349444
ACH-000040,-0.326826285971
ACH-000041,-0.146094610984
ACH-000042,-0.0706686525675
ACH-000045,-0.20466445963399998
ACH-000047,-0.09649487054189998
ACH-000052,-0.0505053288695
ACH-000053,-0.16812038627700002
ACH-000054,-0.10398151935799999
ACH-000055,-0.0305663787463
ACH-000060,0.00677286676382
ACH-000067,-0.08353225394700001
ACH-000070,-0.113078427138
ACH-000075,0.036226452203800004
ACH-000078,-0.209674235253
ACH-000082,-0.115442854226
ACH-000085,-0.14725980149700002
ACH-000086,-0.17967136976599998
ACH-000087,0.065453640854
ACH-000092,-0.198552513125
ACH-000095,-0.0923804676684
ACH-000097,-0.138295115053
ACH-000098,-0.34550264948299997
ACH-000099,-0.356467513894
ACH-000108,-0.15377245545600002
ACH-000113,-0.209432875512
ACH-000115,-0.254172369655
ACH-000116,-0.180637774595
ACH-000118,-0.248439683479
ACH-000120,-0.188561494968
ACH-000123,-0.150228481562
ACH-000127,-0.30208928535
ACH-000128,0.0371372859328
ACH-000132,-0.218181763572
ACH-000133,-0.140372686663
ACH-000137,-0.226243461164
ACH-000138,-0.296107131942
ACH-000142,-0.279537295851
ACH-000143,-0.21749927709800002
ACH-000146,-0.12808510609
ACH-000148,-0.124948456941
ACH-000150,-0.366477539298
ACH-000152,-0.168057944048
ACH-000153,-0.230806636782
ACH-000159,-0.16887160910500001
ACH-000160,-0.042760641965800004
ACH-000163,-0.11778296667000002
ACH-000167,-0.0621702864917
ACH-000168,-0.177330243138
ACH-000169,-0.130992139758
ACH-000178,-0.19325824440499997
ACH-000182,-0.07511302262780001
ACH-000183,-0.0410608374509
ACH-000188,-0.258220879177
ACH-000189,-0.09406063348400001
ACH-000190,0.111125970987
ACH-000198,-0.097069782628
ACH-000204,-0.05833328962619999
ACH-000206,-0.147588252179
ACH-000207,0.213780039974
ACH-000211,-0.143071515319
ACH-000215,-0.179740707824
ACH-000221,-0.0390522072035
ACH-000222,-0.147389704223
ACH-000223,-0.206390572858
ACH-000226,-0.0185592418347
ACH-000227,-0.26580916615
ACH-000228,0.0273185087572
ACH-000231,-0.0676425841202
ACH-000232,-0.113916784533
ACH-000233,-0.37297172421700003
ACH-000234,-0.419061947322
ACH-000235,-0.0592750154456
ACH-000237,-0.246164938011
ACH-000238,-0.104473084068
ACH-000243,-0.27530959145100004
ACH-000244,0.223769910858
ACH-000246,-0.243255256952
ACH-000248,-0.34799240846699997
ACH-000250,-0.22907561450599997
ACH-000251,-0.132462580636
ACH-000253,-0.22211631421
ACH-000255,-0.123914022029
ACH-000256,-0.13595307452400002
ACH-000257,-0.156614414668
ACH-000258,-0.139230130681
ACH-000259,-0.0946656236784
ACH-000260,-0.242410264325
ACH-000261,-0.213279389484
ACH-000262,-0.0380218893454
ACH-000263,0.125215123968
ACH-000264,-0.138513877465
ACH-000265,-0.216833064397
ACH-000266,-0.18058662298
ACH-000272,-0.169832749316
ACH-000273,-0.110685618485
ACH-000274,-0.198538596417
ACH-000277,-0.170576655669
ACH-000278,-0.13945208388900002
ACH-000279,-0.153649914562
ACH-000280,-0.0649468988636
ACH-000281,-0.08955993852630001
ACH-000288,0.00287851193819
ACH-000291,-0.280914358643
ACH-000293,-0.133708648163
ACH-000294,-0.204438682449
ACH-000295,-0.15404894143
ACH-000296,-0.179127486377
ACH-000302,-0.218877653569
ACH-000304,-0.139664729691
ACH-000307,-0.12283503352700001
ACH-000308,-0.13916922656400002
ACH-000310,-0.313026762295
ACH-000311,-0.189814176047
ACH-000312,-0.25694173176999996
ACH-000315,0.0419042573651
ACH-000316,-0.0184323126955
ACH-000317,-0.137753336536
ACH-000318,-0.13981548916300002
ACH-000319,-0.0542722165074
ACH-000320,-0.302737217981
ACH-000322,-0.09203697307260002
ACH-000323,-0.131760681396
ACH-000324,-0.060356856327599996
ACH-000329,-0.147425645214
ACH-000330,-0.42977475294100004
ACH-000331,0.0627785323448
ACH-000332,-0.257749028834
ACH-000334,-0.289293501924
ACH-000335,-0.116856803115
ACH-000336,-0.149781836196
ACH-000337,-0.052323652115500004
ACH-000339,-0.240367942127
ACH-000341,-0.361071312254
ACH-000348,-0.122877721115
ACH-000350,-0.09272385595660002
ACH-000352,-0.186245934663
ACH-000356,-0.06895710490450001
ACH-000361,-0.202992022624
ACH-000362,-0.180941787534
ACH-000363,-0.270982607947
ACH-000364,0.0197101621582
ACH-000365,-0.07828185368419999
ACH-000366,-0.18192199276700002
ACH-000368,-0.007751607278569999
ACH-000374,-0.128187478367
ACH-000375,-0.452703156377
ACH-000376,-0.128115409166
ACH-000381,-0.021790914910400003
ACH-000383,-0.210828982368
ACH-000387,-0.044462934127
ACH-000389,-0.16223032297700002
ACH-000390,-0.115081488781
ACH-000393,-0.150849201501
ACH-000395,0.10808067555600001
ACH-000397,-0.199106624222
ACH-000401,-0.0596487055346
ACH-000402,-0.07168488024660001
