,HSD11B1 (3290)
ACH-000460,-0.12977705962000002
ACH-000461,0.018829978148199998
ACH-000463,-0.08593852493319999
ACH-000464,0.026853702227
ACH-000466,-0.226250030686
ACH-000467,-0.071167075973
ACH-000468,-0.037522463032
ACH-000469,-0.300619918506
ACH-000470,-0.19631290140299998
ACH-000471,-0.117872856349
ACH-000472,-0.418071550564
ACH-000473,-0.18440194137000002
ACH-000475,-0.21144909306499998
ACH-000476,-0.147698655223
ACH-000477,0.10410986950300001
ACH-000480,-0.17880191655299998
ACH-000481,-0.115638079136
ACH-000483,-0.20573370881499997
ACH-000484,-0.346715161832
ACH-000485,-0.078006759431
ACH-000486,-0.22661002916200002
ACH-000487,-0.162657628988
ACH-000488,-0.207649398996
ACH-000490,-0.298270468516
ACH-000491,-0.0912411692066
ACH-000495,-0.280840982091
ACH-000496,-0.125002517293
ACH-000499,0.0078996315019
ACH-000500,0.012848255542699999
ACH-000502,-0.0606452546077
ACH-000503,-0.157553383455
ACH-000505,-0.205988638553
ACH-000507,-0.281134621079
ACH-000510,-0.20934676787
ACH-000511,-0.154500708561
ACH-000512,-0.11616783732000001
ACH-000516,-0.20169981484700003
ACH-000517,-0.10796760531300001
ACH-000518,-0.231714751285
ACH-000520,-0.060484067602199994
ACH-000521,-0.106960195887
ACH-000522,-0.168701363269
ACH-000524,-0.0166451709561
ACH-000527,-0.169392224175
ACH-000528,-0.0807671625967
ACH-000537,-0.0855924286066
ACH-000541,-0.0242298821881
ACH-000542,-0.19637312076699998
ACH-000544,-0.136562117081
ACH-000545,-0.306811809369
ACH-000547,-0.217700118338
ACH-000548,-0.26904827721200003
ACH-000549,-0.299195234843
ACH-000550,-0.250449665052
ACH-000552,-0.17176966359200002
ACH-000556,-0.230947036076
ACH-000557,-0.0719435895734
ACH-000570,-0.119654190087
ACH-000571,-0.142350599031
ACH-000573,-0.10709805197899999
ACH-000576,-0.185926128993
ACH-000580,-0.07789874269449999
ACH-000584,-0.046310053087
ACH-000585,-0.355886587207
ACH-000588,-0.159757568981
ACH-000589,-0.08203467992039999
ACH-000591,0.07224917285299999
ACH-000593,-0.221192747541
ACH-000600,-0.307974944635
ACH-000601,-0.174345943997
ACH-000604,-0.06679449742650001
ACH-000605,-0.0975691377539
ACH-000606,-0.338885866205
ACH-000608,0.0029902458019499998
ACH-000614,0.0355108554496
ACH-000616,-0.119244450018
ACH-000618,-0.233631491466
ACH-000619,-0.169566007311
ACH-000620,-0.0850510623247
ACH-000621,-0.047641034947
ACH-000622,-0.155997758293
ACH-000623,-0.0636570948891
ACH-000624,-0.05683708699030001
ACH-000627,-0.1676384269
ACH-000630,-0.19571211258
ACH-000632,-0.21086529463300002
ACH-000633,-0.059674466295600005
ACH-000637,-0.0855597670236
ACH-000638,-0.08158807697420001
ACH-000646,-0.326244880934
ACH-000647,-0.11528149832699999
ACH-000648,-0.243554664784
ACH-000649,-0.17635684966200002
ACH-000651,-0.10923147400000001
ACH-000652,-0.0654751582143
ACH-000653,-0.102025569196
ACH-000657,-0.265204884749
ACH-000658,-0.169426050006
ACH-000661,-0.0526180761428
ACH-000662,0.0683014400417
ACH-000663,-0.179030680573
ACH-000665,-0.18106746224800002
ACH-000671,-0.356594456225
ACH-000673,-0.166726605984
ACH-000676,-0.193653337725
ACH-000677,-0.126719635607
ACH-000681,-0.0779835885394
ACH-000682,-0.16653355522
ACH-000683,-0.27475657665
ACH-000684,-0.16982291855300002
ACH-000688,-0.09625136249289999
ACH-000693,-0.140527283273
ACH-000694,-0.23972555273499999
ACH-000695,-0.45541665399899994
ACH-000696,-0.19563974940499998
ACH-000697,-0.20659955475000003
ACH-000699,-0.09593547639239998
ACH-000701,-0.0635192200397
ACH-000706,-0.210274094263
ACH-000711,-0.277783489758
ACH-000713,-0.18469434096999998
ACH-000714,-0.18932728197700002
ACH-000718,-0.14862162322
ACH-000720,-0.156901351646
ACH-000721,-0.0863447987028
ACH-000724,-0.146503525436
ACH-000725,-0.0400707328669
ACH-000732,0.030650782860900002
ACH-000734,-0.111730138822
ACH-000735,-0.30092891299
ACH-000736,-0.0577607913241
ACH-000738,-0.10025316777200001
ACH-000746,-0.21698125040199998
ACH-000747,0.00020714879476
ACH-000748,-0.0662442493204
ACH-000753,-0.0680189841588
ACH-000756,-0.166905625729
ACH-000757,-0.0482973667027
ACH-000758,0.030958965189400004
ACH-000760,-0.0133865673238
ACH-000763,-0.09191067134269999
ACH-000764,-0.17330054201200001
ACH-000765,-0.288121990118
ACH-000766,0.022064827023
ACH-000767,-0.141141102823
ACH-000768,-0.10015865868799999
ACH-000769,-0.009333550340879999
ACH-000770,-0.184856307504
ACH-000771,-0.145845721699
ACH-000773,-0.115655763567
ACH-000776,-0.25780744949900003
ACH-000777,-0.303032992319
ACH-000778,-0.127954907237
ACH-000781,-0.21254293407900002
ACH-000782,-0.115180176096
ACH-000783,-0.00659974936354
ACH-000784,-0.170405475815
ACH-000785,-0.13779080282
ACH-000787,0.0118616315263
ACH-000788,-0.111360552393
ACH-000791,-0.16765774197799999
ACH-000792,-0.215680998741
ACH-000794,-0.295654885955
ACH-000796,-0.149576639652
ACH-000799,-0.0962731820352
ACH-000800,-0.29355564266399997
ACH-000802,-0.148759713754
ACH-000804,-0.025867938794
ACH-000805,-0.177214681506
ACH-000809,-0.148312091048
ACH-000810,-0.562052781646
ACH-000811,-0.162784159019
ACH-000817,-0.32998832343699996
ACH-000819,-0.23593888359700002
ACH-000820,-0.30555453917500003
ACH-000821,-0.195652486483
ACH-000822,-0.00867221245994
ACH-000823,-0.23972515220499999
ACH-000824,-0.28726895733
ACH-000827,-0.0322005139057
ACH-000829,-0.211119775483
ACH-000831,-0.120757186611
ACH-000832,-0.273267679741
ACH-000833,0.06620077293740001
ACH-000834,-0.210749991828
ACH-000835,-0.255391894658
ACH-000836,-0.177045907608
ACH-000837,-0.065460624259
ACH-000838,-0.16048505503399998
ACH-000839,-0.445830943571
ACH-000840,0.35969732782499997
ACH-000841,-0.0172579273964
ACH-000843,-0.202346774897
ACH-000846,-0.26057653976399997
ACH-000847,-0.259743325016
ACH-000848,-0.0767239417341
ACH-000849,-0.174442616341
ACH-000851,-0.310430357898
ACH-000855,-0.04015856080480001
ACH-000856,0.012047284068799999
ACH-000858,-0.273091682696
ACH-000859,-0.023059558066699997
ACH-000861,-0.24135862856100002
ACH-000862,-0.289284237532
ACH-000865,-0.161149356872
ACH-000866,-0.12214570276100001
ACH-000867,-0.20252034914500003
ACH-000869,-0.18472295201299999
ACH-000872,-0.140628734695
ACH-000873,-0.443237943043
ACH-000876,-0.254122848646
ACH-000878,-0.0802981189375
ACH-000880,-0.00516908915782
ACH-000881,-0.343583312462
ACH-000882,-0.201240089573
ACH-000884,-0.0975306471737
ACH-000885,-0.0840911125791
ACH-000887,-0.27958713944
ACH-000888,-0.0605264241623
ACH-000889,-0.17313403932799998
ACH-000890,-0.0329544516955
ACH-000896,-0.12970933945000002
ACH-000898,-0.11748761599600001
ACH-000900,-0.16902085261100003
ACH-000901,0.0992716760209
ACH-000905,-0.155513763843
ACH-000906,-0.0960993378362
ACH-000907,-0.0703890326798
ACH-000910,-0.244889143358
ACH-000911,-0.342339165395
ACH-000912,-0.24872816562199998
ACH-000913,-0.20998620195599998
ACH-000915,0.0303934970647
ACH-000916,0.014240705782700001
ACH-000917,-0.149740102999
ACH-000921,-0.33915883113000006
ACH-000924,-0.16647717393
ACH-000926,-0.102374954181
ACH-000928,-0.178816405228
ACH-000929,-0.124998982954
ACH-000932,-0.179839230678
ACH-000935,-0.185347277846
ACH-000936,-0.262606465093
ACH-000937,-0.258981194866
ACH-000938,-0.0593424969546
ACH-000939,-0.152808159566
ACH-000941,-0.183760785033
ACH-000943,-0.20099939615600002
ACH-000946,-0.203484930871
ACH-000947,-0.06892854059610001
ACH-000948,-0.227108020254
ACH-000950,-0.206438379277
ACH-000953,-0.07799467560750001
ACH-000957,-0.256112739455
ACH-000958,-0.21883603243500002
ACH-000960,-0.188629479035
ACH-000963,-0.45413869530400003
ACH-000968,-0.163500408968
ACH-000969,-0.185565849953
ACH-000973,-0.177281707634
ACH-000974,-0.107717553698
ACH-000975,-0.020927489345
ACH-000976,-0.054464499843199995
ACH-000978,-0.287552671424
ACH-000980,-0.21538590529100002
ACH-000984,-0.14421713100400002
ACH-000986,-0.180212954734
ACH-000988,-0.0294900811325
ACH-000993,-0.104521185474
ACH-000994,0.00816678306646
ACH-000996,-0.282586183264
ACH-001001,-0.384223646219
ACH-001020,-0.286958694329
ACH-001028,-0.0607283495512
ACH-001031,-0.0635971712156
ACH-001038,-0.17296617107099999
ACH-001048,-0.181977787147
ACH-001050,-0.13738451584699998
ACH-001053,-0.16587671481799998
ACH-001054,-0.114163221458
ACH-001061,-0.231720616573
ACH-001067,-0.165812270524
ACH-001075,-0.17006743171799998
ACH-001096,-0.192069312875
ACH-001128,0.056687297143
ACH-001134,-0.246043880819
ACH-001151,-0.22338192634
ACH-001163,-0.134152729223
ACH-001164,-0.0812189649533
ACH-001173,-0.0477502733349
ACH-001183,-0.279511920861
ACH-001184,-0.507595697437
ACH-001190,-0.143224337617
ACH-001192,-0.161201592356
ACH-001193,-0.122077524218
ACH-001196,-0.0928042153012
ACH-001197,-0.11091662066500001
ACH-001205,-0.501449650542
ACH-001211,-0.17674426432
ACH-001212,0.33096207800599997
ACH-001228,-0.639999791985
ACH-001232,-0.0949847810977
ACH-001239,-0.205896904063
ACH-001274,-0.24727540622400002
ACH-001275,-0.12486032614499999
ACH-001277,0.10218856918199999
ACH-001278,-0.205103250662
ACH-001280,-0.184903180147
ACH-001283,-0.302627133999
ACH-001289,-0.326888023105
ACH-001295,-0.0260484818584
ACH-001300,-0.113928704428
ACH-001301,-0.0657999235067
ACH-001302,-0.235412893716
ACH-001303,-0.358027119451
ACH-001306,-0.202468327053
ACH-001318,-0.197575721552
ACH-001322,-0.11896438775999998
ACH-001328,-0.243875295964
ACH-001332,-0.270783583823
ACH-001333,-0.211685378757
ACH-001336,-0.389124233667
ACH-001340,-0.369657325461
ACH-001346,-0.38643191104999997
ACH-001353,-0.13460673295
ACH-001354,-0.702316530127
ACH-001367,-0.353650308968
ACH-001368,-0.202269441451
ACH-001374,-0.0111099445174
ACH-001375,-0.135571881131
ACH-001377,-0.353417202408
ACH-001380,-0.255296066308
ACH-001391,-0.012156461954000001
ACH-001407,-0.10706536339600001
ACH-001408,-0.18971383520399998
ACH-001413,-0.269235680797
ACH-001430,-0.493736599946
ACH-001431,-0.145057732583
ACH-001450,-0.15461822327
ACH-001496,-0.220745992764
ACH-001500,-0.0671729734083
ACH-001521,-0.40889545606100003
ACH-001523,-0.333632299927
ACH-001532,-0.22063642782499998
ACH-001536,-0.0772700383067
ACH-001550,-0.226957345231
ACH-001552,-0.355503946039
ACH-001554,-0.09954128928610001
ACH-001645,-0.12135328701999999
ACH-001654,-0.107017408562
ACH-001715,0.12811253373099998
ACH-001735,-0.0423615202879
ACH-001736,-0.161322536736
ACH-001737,0.045577905744900005
ACH-001740,-0.04876882596130001
ACH-001745,-0.356331384274
ACH-001750,-0.173292035689
ACH-001765,-0.211712418825
ACH-001956,-0.32245745972
ACH-001957,-0.216949445308
