,SEMA5A (9037)
ACH-000004,0.34204014043799996
ACH-000007,0.130031776183
ACH-000009,0.299710434559
ACH-000011,0.322473153708
ACH-000012,0.23308508064800001
ACH-000013,0.1975269572
ACH-000014,0.179704757522
ACH-000015,0.255363545208
ACH-000017,0.10370832569
ACH-000018,-0.0194627880441
ACH-000019,0.43169080119900005
ACH-000021,0.258078183222
ACH-000022,0.231077862477
ACH-000025,0.26777613542
ACH-000028,0.252936830667
ACH-000030,0.28120146479
ACH-000035,0.136423102195
ACH-000036,0.24224898600900002
ACH-000037,0.285531501406
ACH-000039,0.365537366315
ACH-000040,0.140630362899
ACH-000041,0.425867136888
ACH-000042,0.190693899846
ACH-000045,0.168919454124
ACH-000047,0.267877453541
ACH-000052,0.21909370815499998
ACH-000053,0.138855036893
ACH-000054,0.176954497731
ACH-000055,0.24207091196
ACH-000060,0.226154548172
ACH-000067,0.202740251806
ACH-000070,0.0600331833411
ACH-000075,0.267879712176
ACH-000078,0.328184229317
ACH-000082,-0.060003959786599996
ACH-000085,0.21710614535599998
ACH-000086,0.32988231090799996
ACH-000087,0.047565424805
ACH-000092,0.199117918805
ACH-000095,0.11390613169700001
ACH-000097,0.231265044586
ACH-000098,0.17635670027699998
ACH-000099,0.11241538673800001
ACH-000108,0.229030455115
ACH-000113,0.196558407784
ACH-000115,0.19531730517999998
ACH-000116,0.156696447804
ACH-000118,0.237400139571
ACH-000120,0.173911969291
ACH-000123,0.184236427487
ACH-000127,0.15736815890699998
ACH-000128,0.359159226422
ACH-000132,0.317432536349
ACH-000133,0.22250230386300002
ACH-000137,0.238986952757
ACH-000138,0.301118775243
ACH-000142,0.152575945441
ACH-000143,0.277505841423
ACH-000146,0.291663829255
ACH-000148,0.0627247042994
ACH-000150,0.141628806689
ACH-000152,0.0521814605487
ACH-000153,-0.0010179474788
ACH-000159,0.220892449931
ACH-000160,0.101638918336
ACH-000163,-0.105658208167
ACH-000167,-0.187361529363
ACH-000168,0.0750063405947
ACH-000169,0.27204006782400003
ACH-000178,0.279286213055
ACH-000182,0.25768946280099997
ACH-000183,0.184856399325
ACH-000188,0.176513276387
ACH-000189,0.0503082595689
ACH-000190,-0.024612099219299997
ACH-000198,0.14258076675
ACH-000204,0.228390311023
ACH-000206,0.141773828608
ACH-000207,0.44740332759499996
ACH-000211,0.206624809863
ACH-000215,0.25314071273600003
ACH-000221,0.205239901368
ACH-000222,0.523270044126
ACH-000223,0.223067892412
ACH-000226,0.216575453361
ACH-000227,-0.07697944513539999
ACH-000228,0.109517157071
ACH-000231,0.1743144346
ACH-000232,0.0576450653486
ACH-000233,0.224810526258
ACH-000234,0.31868825737100004
ACH-000235,0.163069204917
ACH-000237,0.324022355566
ACH-000238,0.427357352414
ACH-000243,0.348785358794
ACH-000244,-0.0819595107466
ACH-000246,0.117247256915
ACH-000248,0.064916629132
ACH-000250,0.20618304061599999
ACH-000251,0.270916007351
ACH-000253,0.0737469396711
ACH-000255,0.177632219603
ACH-000256,0.45480506171999996
ACH-000257,0.055358037638
ACH-000258,-0.0958691077781
ACH-000259,0.23334742716600002
ACH-000260,0.296124424527
ACH-000261,0.153312486338
ACH-000262,-0.157736357858
ACH-000263,0.209566506506
ACH-000264,0.06721679972490001
ACH-000265,0.316958429556
ACH-000266,0.235417340524
ACH-000272,-0.0119214708886
ACH-000273,0.194950176105
ACH-000274,0.194847266822
ACH-000277,0.19182530020100003
ACH-000278,0.146913883316
ACH-000279,0.15440379353599998
ACH-000280,0.0820924714804
ACH-000281,0.22659158883299998
ACH-000288,0.10832140445699999
ACH-000291,0.040234733394199994
ACH-000293,0.185603517872
ACH-000294,0.0982736958615
ACH-000295,0.28944991129299996
ACH-000296,-0.0245905700124
ACH-000302,0.20362519104899998
ACH-000304,0.06450430024569999
ACH-000307,0.23139399002799999
ACH-000308,0.229561550641
ACH-000310,0.43716511884
ACH-000311,0.198883155471
ACH-000312,0.250089120577
ACH-000315,0.123773243827
ACH-000316,0.157041463928
ACH-000317,0.21423628752999999
ACH-000318,0.257324191869
ACH-000319,0.192675642084
ACH-000320,0.390540817664
ACH-000322,0.155134643292
ACH-000323,0.09539962741159999
ACH-000324,0.138907520067
ACH-000329,0.163890410899
ACH-000330,0.0861056095761
ACH-000331,0.280394948725
ACH-000332,0.26704553565
ACH-000334,0.129383961818
ACH-000335,0.395983007667
ACH-000336,-0.0251303749611
ACH-000337,0.122608275131
ACH-000339,0.18543138601599998
ACH-000341,0.11168708954399999
ACH-000348,0.119889858749
ACH-000350,0.014296446065
ACH-000352,0.19164407373700001
ACH-000356,0.37801460706
ACH-000361,0.11764076450899999
ACH-000362,0.265152592445
ACH-000363,0.31938473159499997
ACH-000364,0.316752432719
ACH-000365,0.210614484691
ACH-000366,0.16460962160999998
ACH-000368,-0.0769811090034
ACH-000374,0.26161574018000006
ACH-000375,-0.0324659026242
