,ASPH (444)
ACH-000004,0.350741145822
ACH-000007,0.051239408117699996
ACH-000009,0.22021888997900002
ACH-000011,0.150887764816
ACH-000012,0.0100227486565
ACH-000013,0.341699599146
ACH-000014,0.292743203868
ACH-000015,0.25657378734700004
ACH-000017,0.17324689108600003
ACH-000018,0.493861433444
ACH-000019,0.0698382722647
ACH-000021,0.207409147102
ACH-000022,0.29106089551
ACH-000025,-0.00453814098754
ACH-000028,0.29290806191700003
ACH-000030,0.15829190853
ACH-000035,0.0393584548175
ACH-000036,0.17434310541900003
ACH-000037,0.230915995936
ACH-000039,0.402139272701
ACH-000040,0.19413382350000002
ACH-000041,0.19608846104000002
ACH-000042,0.308670067244
ACH-000045,0.165216065595
ACH-000047,0.31282042626
ACH-000052,0.180087714485
ACH-000053,0.193256928748
ACH-000054,0.142816949203
ACH-000055,0.48803547283999993
ACH-000060,0.0349442171224
ACH-000067,0.231974026352
ACH-000070,0.134619864062
ACH-000075,0.24124610065299998
ACH-000078,0.198771267643
ACH-000082,0.29177186329300003
ACH-000085,0.21409122204599998
ACH-000086,0.35092888960900004
ACH-000087,0.2617137872
ACH-000092,0.0966081422945
ACH-000095,0.318718723705
ACH-000097,0.170444389578
ACH-000098,0.228804201184
ACH-000099,0.196690684362
ACH-000108,0.359259045045
ACH-000113,0.0661181500715
ACH-000115,0.271731373684
ACH-000116,0.227933452218
ACH-000118,0.0929956098511
ACH-000120,0.317765789647
ACH-000123,0.026514211918000002
ACH-000127,0.182433647757
ACH-000128,0.335627499893
ACH-000132,0.325029326764
ACH-000133,0.10970806170499998
ACH-000137,0.288870497956
ACH-000138,0.366660004093
ACH-000142,0.260109555509
ACH-000143,0.245780262716
ACH-000146,0.18660222346000002
ACH-000148,0.258926015676
ACH-000150,0.300321817287
ACH-000152,0.159945085008
ACH-000153,-0.089701303297
ACH-000159,0.190843008435
ACH-000160,0.35781317419200004
ACH-000163,0.125399396006
ACH-000167,0.47797001368299996
ACH-000168,0.098868954596
ACH-000169,0.24478169630199997
ACH-000178,0.232848915098
ACH-000182,0.202862454383
ACH-000183,0.186496188426
