,ABCC2 (1244)
ACH-000004,0.0503407546761
ACH-000007,-0.236299937942
ACH-000009,-0.142054182473
ACH-000011,0.0630008978594
ACH-000012,-0.0623560679034
ACH-000013,0.015906518581600002
ACH-000014,-0.0385992054261
ACH-000015,-0.167097712457
ACH-000017,0.167802313748
ACH-000018,-0.239386678256
ACH-000019,-0.10312302473400001
ACH-000021,0.0250388556067
ACH-000022,0.045378035742800006
ACH-000025,-0.0577516367462
ACH-000028,0.0414040304059
ACH-000030,-0.0505181514185
ACH-000035,-0.025260328243
ACH-000036,0.060551690184899996
ACH-000037,0.205977333645
ACH-000039,-0.04478668977530001
ACH-000040,0.14856426810599999
ACH-000041,-0.185218597638
ACH-000042,-0.0761877723948
ACH-000045,0.185776704465
ACH-000047,0.0340687030191
ACH-000052,-0.07905702000369999
ACH-000053,-0.0259211182641
ACH-000054,0.02408833588
ACH-000055,-0.031494521179299996
ACH-000060,-0.194402773621
ACH-000067,-0.164524213496
ACH-000070,-0.0074738248758100005
ACH-000075,-0.0171496035283
ACH-000078,-0.0682888697453
ACH-000082,-0.0798554673674
ACH-000085,-0.0454095518176
ACH-000086,-0.19212088624200002
ACH-000087,0.07207763555489999
ACH-000092,0.022385203477599997
ACH-000095,0.0345202094441
ACH-000097,0.05680350610780001
ACH-000098,0.00657857138959
ACH-000099,-0.050205915295699996
ACH-000108,-0.12427926745300001
ACH-000113,0.07704242267789999
ACH-000115,0.133554832684
ACH-000116,-0.0268466749255
ACH-000118,-0.0341859042147
ACH-000120,-0.110567452941
ACH-000123,-0.118607806324
ACH-000127,-0.048090545841
ACH-000128,-0.00251684552613
ACH-000132,-0.295621190353
ACH-000133,-0.21368611427099998
ACH-000137,-0.0455871728443
ACH-000138,-0.045908537474
ACH-000142,-0.00704379803705
ACH-000143,-0.0267306360355
ACH-000146,-0.011210077426799999
ACH-000148,0.009713612897290001
ACH-000150,0.0191090026424
ACH-000152,0.0822695745619
ACH-000153,0.0250239439947
ACH-000159,0.006936419818439999
ACH-000160,-0.135781137266
ACH-000163,-0.0426359450483
ACH-000167,-0.270479040414
ACH-000168,-0.000120240928518
ACH-000169,-0.29316919596700003
ACH-000178,0.013917647062299998
ACH-000182,-0.0891018914507
ACH-000183,0.172327292484
ACH-000188,-0.0975180129203
ACH-000189,0.057613390053699996
ACH-000190,-0.137123556991
ACH-000198,0.0133316696018
ACH-000204,-0.15997776775
ACH-000206,-0.06334157028080001
ACH-000207,-0.19950285066799997
ACH-000211,-0.0191404395313
ACH-000215,-0.0113927571504
ACH-000221,0.102976825397
ACH-000222,-0.0891962978613
ACH-000223,-0.0539748022197
ACH-000226,0.07448467272680001
ACH-000227,-0.081635344225
ACH-000228,-0.100579929872
ACH-000231,-0.041707440807699996
ACH-000232,0.0614382458455
ACH-000233,-0.0284254288143
ACH-000234,-0.134842109892
ACH-000235,-0.0529368253132
ACH-000237,-0.0217381474755
ACH-000238,-0.0776777574245
ACH-000243,-0.104605571786
ACH-000244,0.154201274647
ACH-000246,-0.09587519008739999
ACH-000248,-0.0480623089811
ACH-000250,-0.0370926504192
ACH-000251,-0.0154699501061
ACH-000253,0.0032322346717199996
ACH-000255,-0.0583024505401
ACH-000256,-0.0561057194269
ACH-000257,0.143560644257
ACH-000258,-0.06518261192540001
ACH-000259,0.024288847165900004
ACH-000260,-0.020649175021200002
ACH-000261,0.0315736509962
ACH-000262,0.0207180253255
ACH-000263,0.154212138408
ACH-000264,-0.0767684861217
ACH-000265,-0.10742201400999998
ACH-000266,0.0190379767281
ACH-000272,0.063943187695
ACH-000273,-0.0220746553766
ACH-000274,-0.0213566322312
ACH-000277,-0.103584621568
ACH-000278,-0.0734350572433
ACH-000279,-0.013003807895
ACH-000280,-0.129671440508
ACH-000281,-0.115611273266
ACH-000288,-0.0306916904672
ACH-000291,-0.036243475838
ACH-000293,-0.228323262914
ACH-000294,-0.105650516446
ACH-000295,-0.137009777533
ACH-000296,-0.193736222587
ACH-000302,0.03454808458480001
ACH-000304,-0.047034586699699996
ACH-000307,-0.051044547551
ACH-000308,0.0006507630809269999
ACH-000310,-0.140902583137
ACH-000311,-0.041980087752599995
ACH-000312,-0.13616687510199998
ACH-000315,0.09605460201310001
ACH-000316,-0.0978578890099
ACH-000317,-0.0649876882771
