,TSEN2 (80746)
ACH-000004,-0.8739849821200001
ACH-000007,-0.880214803598
ACH-000009,-0.807393924159
ACH-000011,-0.7899324595110001
ACH-000012,-0.9260313708050001
ACH-000013,-0.8253734270890001
ACH-000014,-1.0353668294399998
ACH-000015,-0.882296981384
ACH-000017,-0.743672224002
ACH-000018,-0.982727151431
ACH-000019,-0.6735856716680001
ACH-000021,-0.847222807961
ACH-000022,-0.8763079152609999
ACH-000025,-0.8347964453550001
ACH-000028,-0.604341168706
ACH-000030,-0.759194990079
ACH-000035,-1.0876943401
ACH-000036,-0.710694843093
ACH-000037,-0.648915053926
ACH-000039,-0.877862332597
ACH-000040,-0.8322456146989999
ACH-000041,-1.21053007298
ACH-000042,-0.919999556759
ACH-000045,-0.944389272994
ACH-000047,-0.970939424885
ACH-000052,-0.962107638682
ACH-000053,-0.723000859039
ACH-000054,-0.909397873625
ACH-000055,-0.819690397652
ACH-000060,-1.3617095224200002
ACH-000067,-0.989924917844
ACH-000070,-0.721276811161
ACH-000075,-0.851679735663
ACH-000078,-0.800865979709
ACH-000082,-0.64732379578
ACH-000085,-1.0781174090999999
ACH-000086,-0.7777274758789999
ACH-000087,-0.979174152218
ACH-000092,-1.07017390564
ACH-000095,-0.924958414433
ACH-000097,-0.838815414291
ACH-000098,-0.912675551493
ACH-000099,-0.583457049173
ACH-000108,-0.7450379153919999
ACH-000113,-0.8581265875030001
ACH-000115,-0.356734672943
ACH-000116,-0.783448369236
ACH-000118,-0.8584102454379999
ACH-000120,-0.8802960067769999
ACH-000123,-0.685465270106
ACH-000127,-0.712819409601
ACH-000128,-0.9251344675579999
ACH-000132,-0.512214467285
ACH-000133,-0.781044829261
ACH-000137,-0.7514932464730001
ACH-000138,-0.9298083993790001
ACH-000142,-0.611183632846
ACH-000143,-0.967175793758
ACH-000146,-0.542621931047
ACH-000148,-0.748889132199
ACH-000150,-0.892511209058
ACH-000152,-0.997079295669
ACH-000153,-0.921979615184
ACH-000159,-0.818912677955
ACH-000160,-1.1038178723
ACH-000163,-0.8331920196860001
ACH-000167,-0.910817530507
ACH-000168,-1.0267853938299998
ACH-000169,-0.8260233619249999
ACH-000178,-0.980598290899
