,CDC25A (993)
ACH-000004,-0.46350739899099996
ACH-000007,0.07302248505219999
ACH-000009,-0.464998940686
ACH-000011,-0.0834645936306
ACH-000012,-0.268191914113
ACH-000013,-0.324295986336
ACH-000014,-0.07605953461560001
ACH-000015,-0.272000881374
ACH-000017,-0.178523225068
ACH-000018,-0.509219096556
ACH-000019,-0.12109846905999999
ACH-000021,-0.38725583527400004
ACH-000022,-0.330551984238
ACH-000025,-0.275276215381
ACH-000028,-0.388843998199
ACH-000030,-0.331892624888
ACH-000035,-0.292215470172
ACH-000036,-0.37858803006499997
ACH-000037,-0.37835105061200003
ACH-000039,-0.18321832116999998
ACH-000040,-0.257006454557
ACH-000041,-0.23791751060199998
ACH-000042,-0.357469910357
ACH-000045,-0.12567336810000002
ACH-000047,-0.371165949155
ACH-000052,-0.451601058806
ACH-000053,-0.348369905607
ACH-000054,-0.239000297456
ACH-000055,-0.496628802733
ACH-000060,-0.277703556962
ACH-000067,-0.643595988021
ACH-000070,-0.403653123902
ACH-000075,-0.309792076956
ACH-000078,-0.240440106151
ACH-000082,-0.24532153696400003
ACH-000085,0.0155099576503
ACH-000086,-0.337532642369
ACH-000087,-0.459721425682
ACH-000092,-0.268900367184
ACH-000095,-0.453807260492
ACH-000097,-0.168606640345
ACH-000098,-0.18113030605799998
ACH-000099,-0.259542351376
ACH-000108,-0.31218311019699996
ACH-000113,-0.250357438872
ACH-000115,-0.24456856326600002
ACH-000116,-0.8610355129009999
ACH-000118,-0.446770770827
ACH-000120,-0.209741330768
ACH-000123,-0.192933797047
ACH-000127,-0.27842209777
ACH-000128,-0.123390703608
ACH-000132,-0.284770752466
ACH-000133,-0.398028579654
ACH-000137,-0.32633270289599997
ACH-000138,-0.316001074982
ACH-000142,-0.248048068722
ACH-000143,-0.902371449093
ACH-000146,-0.596219080622
ACH-000148,-0.204719194784
ACH-000150,-0.38363501439900005
ACH-000152,-0.161542852561
ACH-000153,-0.112687057288
ACH-000159,-0.0943361104105
ACH-000160,-0.334668291183
ACH-000163,-0.317588079294
ACH-000167,-0.343956475706
ACH-000168,-0.281382657158
ACH-000169,-0.247411020808
ACH-000178,-0.40532837728
ACH-000182,-0.20729335710799998
ACH-000183,-0.43922018233599996
ACH-000188,-0.27643579571
ACH-000189,-0.112156865345
