,GTF3A (2971)
ACH-000004,-1.24674666157
ACH-000007,-1.25726697242
ACH-000009,-0.842126506406
ACH-000011,-1.6663344146599999
ACH-000012,-1.1938309043000002
ACH-000013,-1.44017245176
ACH-000014,-1.08030035947
ACH-000015,-1.6117865937600002
ACH-000017,-1.30080406066
ACH-000018,-0.920883469613
ACH-000019,-0.583881781293
ACH-000021,-1.31474527282
ACH-000022,-1.1152807386399999
ACH-000025,-1.40636953808
ACH-000028,-0.7104415857520001
ACH-000030,-1.186701328
ACH-000035,-1.54204734972
ACH-000036,-1.15448367389
ACH-000037,-1.14912711876
ACH-000039,-1.01068330864
ACH-000040,-1.23436802545
ACH-000041,-1.48115583904
ACH-000042,-1.45899762026
ACH-000045,-1.37102827502
ACH-000047,-1.13957106275
ACH-000052,-0.798735829026
ACH-000053,-1.22137305332
ACH-000054,-1.11705320787
ACH-000055,-1.31745599113
ACH-000060,-1.5001003477700001
ACH-000067,-1.33451424739
ACH-000070,-1.19455253067
ACH-000075,-1.4053714336200003
ACH-000078,-1.13621218582
ACH-000082,-1.22087026765
ACH-000085,-1.6050695843
ACH-000086,-1.1809305371799999
ACH-000087,-1.5260617318599998
ACH-000092,-1.0919315304000001
ACH-000095,-1.18018381589
ACH-000097,-1.2832942438200001
ACH-000098,-1.08951617392
ACH-000099,-1.26687478422
ACH-000108,-1.1941043915799998
ACH-000113,-1.2543045669600001
ACH-000115,-0.97463005213
ACH-000116,-1.2928642737
ACH-000118,-1.1642083005700001
ACH-000120,-1.2363755567899999
ACH-000123,-1.20753569537
ACH-000127,-1.31109343762
ACH-000128,-1.51877246107
ACH-000132,-0.906453846806
ACH-000133,-1.16203754467
ACH-000137,-1.3888791153100002
ACH-000138,-1.2446031370000001
ACH-000142,-1.60902734783
ACH-000143,-1.8126792524400002
ACH-000146,-1.39164396658
ACH-000148,-1.7769830552700001
ACH-000150,-1.2694567676700002
ACH-000152,-1.3561177070100001
ACH-000153,-2.1521343599700002
ACH-000159,-1.33964272638
ACH-000160,-0.7375335312450001
ACH-000163,-1.63931261465
ACH-000167,-1.7082503960799997
ACH-000168,-0.99893208014
ACH-000169,-1.65794133491
ACH-000178,-1.17980986179
ACH-000182,-1.41908818451
ACH-000183,-1.19562081301
ACH-000188,-1.28039510059
ACH-000189,-1.2040742951299999
ACH-000190,-1.3632965237399999
ACH-000198,-1.18022188324
ACH-000204,-1.6129979489500001
ACH-000206,-1.3923398277799999
ACH-000207,-1.07010162952
ACH-000211,-1.41830457462
ACH-000215,-1.1849703328899999
ACH-000221,-1.40808262075
ACH-000222,-1.2532594609899999
ACH-000223,-1.90112519743
ACH-000226,-1.2712735845
ACH-000227,-0.396048148042
ACH-000228,-1.51581406664
ACH-000231,-1.24023133461
ACH-000232,-1.36682509331
ACH-000233,-1.19769867765
ACH-000234,-1.48323664416
ACH-000235,-1.10064218142
ACH-000237,-1.69257359426
ACH-000238,-1.04628766282
ACH-000243,-1.0397856942200001
ACH-000244,-1.21837711221
ACH-000246,-1.20044097491
ACH-000248,-1.12579521235
ACH-000250,-1.18549852406
ACH-000251,-2.72959456646
ACH-000253,-0.849481434383
ACH-000255,-1.3576814517700002
ACH-000256,-1.5484573554499999
ACH-000257,-1.34249505141
ACH-000258,-1.1147671200700002
ACH-000259,-1.28188572641
ACH-000260,-1.29426887279
ACH-000261,-1.2942739047399998
ACH-000262,-1.24277082544
ACH-000263,-0.9632822550650001
ACH-000264,-1.22390523573
ACH-000265,-1.32751141656
ACH-000266,-1.1482687541399998
ACH-000272,-1.18114407179
ACH-000273,-1.23035648718
ACH-000274,-1.0926758989399998
ACH-000277,-1.6355599881
ACH-000278,-1.4128700794100002
ACH-000279,-1.08573232498
ACH-000280,-1.30042110977
ACH-000281,-1.0035288375
ACH-000288,-1.03749102941
ACH-000291,-1.1941243110100002
ACH-000293,-2.1311282192700003
ACH-000294,-1.0045843513
ACH-000295,-0.883744038556
ACH-000296,-1.11985072566
ACH-000302,-1.7372973818200002
ACH-000304,-1.12217703495
ACH-000307,-1.29381069289
ACH-000308,-1.04334126059
ACH-000310,-0.8529598540109999
ACH-000311,-1.39105612336
ACH-000312,-1.22178986903
ACH-000315,-1.2485902334799999
ACH-000316,-1.38998078986
ACH-000317,-1.4447010444100001
ACH-000318,-2.15798910729
ACH-000319,-1.33478280344
ACH-000320,-1.3733203390000002
ACH-000322,-0.8596739646789999
ACH-000323,-1.3236012168
ACH-000324,-1.41642198343
ACH-000329,-1.47961307632
ACH-000330,-1.15187069025
ACH-000331,-1.31031933537
ACH-000332,-1.43657627039
ACH-000334,-2.10339272059
ACH-000335,-1.20860935184
ACH-000336,-1.29081079686
ACH-000337,-1.27096279434
ACH-000339,-1.0374459877700002
ACH-000341,-1.61475273126
ACH-000348,-1.5109353624200001
ACH-000350,-1.35317007695
ACH-000352,-1.51773390725
ACH-000356,-1.1560049095
ACH-000361,-1.57727453569
ACH-000362,-1.33608603289
ACH-000363,-1.50573534159
ACH-000364,-1.2747229796200001
ACH-000365,-1.09223209027
ACH-000366,-1.26018311237
ACH-000368,-1.37764891676
ACH-000374,-0.976169282835
ACH-000375,-1.1857446210299998
ACH-000376,-1.3672600088999998
ACH-000381,-1.27208984321
ACH-000383,-0.869137989131
ACH-000387,-0.8491425205550001
ACH-000389,-1.5032573426299998
ACH-000390,-1.80795995414
ACH-000393,-1.1080618414499999
ACH-000395,-0.976541436779
ACH-000397,-1.4939945019999998
ACH-000401,-1.07577895914
ACH-000402,-1.58269976688
ACH-000403,-0.9706802631029999
ACH-000404,-1.6665818513
ACH-000406,-1.2527916337799998
ACH-000407,-1.2125060791600002
ACH-000408,-1.29569115265
ACH-000410,-1.5303021151700003
ACH-000411,-0.757753015954
ACH-000414,-1.7543756220099997
ACH-000415,-1.4345687672
ACH-000416,-1.52698031796
ACH-000420,-1.6826081325400002
ACH-000421,-1.8550845883400002
ACH-000424,-1.20429211294
ACH-000425,-1.29787622969
ACH-000426,-2.05676798063
ACH-000427,-0.821898561731
ACH-000433,-0.933807959459
ACH-000436,-1.4416603910499999
ACH-000444,-1.4853482427899998
ACH-000445,-1.52736592966
ACH-000448,-1.32807840099
ACH-000450,-0.9861124074519999
ACH-000452,-1.2980982323999999
ACH-000454,-1.18485404527
ACH-000458,-1.28328628341
ACH-000459,-1.33541083394
ACH-000460,-1.32538048654
ACH-000461,-1.15191209549
ACH-000463,-1.3269530521600001
ACH-000464,-1.10920865877
ACH-000466,-1.53923262685
ACH-000467,-1.17955891863
