,ISYNA1 (51477)
ACH-000004,-0.25219584357700003
ACH-000007,-0.344004082453
ACH-000009,-0.164816662759
ACH-000011,-0.311179906543
ACH-000012,-0.412450561537
ACH-000013,-0.418636502719
ACH-000014,-0.250379701091
ACH-000015,-0.377422076775
ACH-000017,-0.255811884248
ACH-000018,-0.847087935623
ACH-000019,-0.590163199647
ACH-000021,-0.40498881234899997
ACH-000022,-0.515760583082
ACH-000025,-0.294196942291
ACH-000028,-0.5489975106539999
ACH-000030,-0.5394255069789999
ACH-000035,-0.552881766245
ACH-000036,-0.6404746334120001
ACH-000037,-0.18680852350299998
ACH-000039,-0.5575796856449999
ACH-000040,-0.326470829558
ACH-000041,-0.339030422873
ACH-000042,-0.456003397029
ACH-000045,-0.5231085763600001
ACH-000047,-0.346976841443
ACH-000052,-0.31889700711
ACH-000053,-0.353985966052
ACH-000054,-0.38693278298600003
ACH-000055,-0.448234881911
ACH-000060,-0.246606722916
ACH-000067,-0.21808845430799997
ACH-000070,-0.237695494518
ACH-000075,-0.7475008868449999
ACH-000078,-0.5162684657159999
ACH-000082,-0.30881408393599996
ACH-000085,-0.40741669892899995
ACH-000086,-0.484482197642
ACH-000087,-0.66319020683
ACH-000092,-0.529956470854
ACH-000095,-0.19260493429499997
ACH-000097,-0.35248846176700005
ACH-000098,-0.47287720253399995
ACH-000099,-0.37246805564900004
ACH-000108,-0.48244376410400003
ACH-000113,-0.411316139528
ACH-000115,-0.318008364049
ACH-000116,-0.446583343799
ACH-000118,-0.40455987853500003
ACH-000120,-0.315343868813
ACH-000123,-0.39278416455700005
ACH-000127,-0.354291765631
ACH-000128,-0.483297120287
ACH-000132,-0.44346601374399996
ACH-000133,-0.2399729669
ACH-000137,-0.379757294683
ACH-000138,-0.543568450613
ACH-000142,-0.40935617729
ACH-000143,-0.419935781259
ACH-000146,-0.341227838683
ACH-000148,-0.28278711273
ACH-000150,-0.42634941887100003
ACH-000152,-0.376462776827
ACH-000153,-0.248998599679
ACH-000159,-0.47209188410400005
ACH-000160,-0.418376735638
ACH-000163,-0.0292804321233
ACH-000167,-0.167435274074
ACH-000168,-0.547913560221
ACH-000169,-0.209500951009
ACH-000178,-0.38450209447300004
ACH-000182,-0.380544150084
ACH-000183,-0.24677803185199998
ACH-000188,-0.7604277684890001
ACH-000189,-0.365317568494
ACH-000190,0.0220898609923
ACH-000198,-0.30206195016
ACH-000204,-0.13916255543
ACH-000206,-0.16914406297
ACH-000207,-0.23670427797
ACH-000211,-0.30318645216
ACH-000215,-0.291542883872
ACH-000221,-0.435640448103
ACH-000222,-0.258279709845
ACH-000223,-0.309467950585
ACH-000226,-0.153654058769
ACH-000227,-0.323812822436
ACH-000228,-0.40510901733800003
ACH-000231,-0.245197900421
ACH-000232,-0.471493671329
ACH-000233,-0.40316323962
ACH-000234,-0.619213272247
ACH-000235,-0.44134547711000005
ACH-000237,-0.360193126811
ACH-000238,-0.268911956714
ACH-000243,-0.456827334567
ACH-000244,-0.374862203588
ACH-000246,-0.23657544901299998
ACH-000248,-0.27510152002300003
ACH-000250,-0.33918656284800003
ACH-000251,-0.37220259053800003
ACH-000253,-0.303124871371
ACH-000255,-0.25901963622699997
ACH-000256,-0.0763823834003
ACH-000257,-0.0137786441633
ACH-000258,0.008710955432299999
ACH-000259,-0.412753286265
ACH-000260,-0.32954631749
ACH-000261,-0.392230950889
ACH-000262,-0.345634348881
ACH-000263,-0.346364611615
ACH-000264,-0.203074580502
ACH-000265,-0.31175549342799996
ACH-000266,-0.305259627902
ACH-000272,-0.105479417801
ACH-000273,-0.39557056809600005
ACH-000274,-0.34821490059
ACH-000277,-0.18945998485999999
ACH-000278,-0.368544029288
ACH-000279,-0.311485603625
ACH-000280,-0.40139038968699997
ACH-000281,-0.395600536725
ACH-000288,-0.150926725862
ACH-000291,-0.31659397773000003
ACH-000293,-0.436450623144
ACH-000294,-0.432895931399
ACH-000295,-0.17318460972
ACH-000296,-0.317883072865
ACH-000302,-0.45409913564800003
ACH-000304,-0.53755681718
ACH-000307,-0.454864402635
ACH-000308,-0.24035374695199999
ACH-000310,-0.10177110202800001
ACH-000311,-0.0729270920057
ACH-000312,-0.281897636239
ACH-000315,-0.33367622461999996
ACH-000316,-0.231894465826
ACH-000317,-0.281059893148
ACH-000318,-0.468625952689
ACH-000319,-0.293092344592
ACH-000320,-0.400380950118
ACH-000322,-0.35456489156
ACH-000323,-0.0675366958265
ACH-000324,-0.256818668004
