,GGN (199720)
ACH-000004,-0.283159665653
ACH-000007,-0.17669242647
ACH-000009,-0.143444160366
ACH-000011,-0.26631887005399996
ACH-000012,-0.26892973314
ACH-000013,-0.6598261122119999
ACH-000014,-0.310065356452
ACH-000015,-0.281213869512
ACH-000017,-0.301473581615
ACH-000018,-0.254611455037
ACH-000019,-0.31956232787300004
ACH-000021,-0.317188324236
ACH-000022,-0.272120830238
ACH-000025,-0.29239262358199997
ACH-000028,-0.250815911527
ACH-000030,-0.306611084875
ACH-000035,-0.13972112712
ACH-000036,-0.382254708098
ACH-000037,-0.0433522279801
ACH-000039,-0.164383799579
ACH-000040,-0.34458223201800003
ACH-000041,-0.125446246729
ACH-000042,-0.16905069058699998
ACH-000045,-0.43911612794699995
ACH-000047,-0.389263983764
ACH-000052,-0.356801091332
ACH-000053,-0.239701448129
ACH-000054,-0.387283798851
ACH-000055,-0.23617064206099997
ACH-000060,-0.0898203700351
ACH-000067,-0.255063749221
ACH-000070,-0.32153205196999995
ACH-000075,-0.538369960777
ACH-000078,-0.08568709437339998
ACH-000082,-0.193447449749
ACH-000085,-0.20023640312899998
ACH-000086,-0.458264148477
ACH-000087,-0.36115998291
ACH-000092,-0.309458744655
ACH-000095,-0.0754596055752
ACH-000097,-0.304904602548
ACH-000098,-0.289944650506
ACH-000099,-0.148566295813
ACH-000108,-0.633271569027
ACH-000113,-0.285652251023
ACH-000115,-0.166492914267
ACH-000116,-0.306962290643
ACH-000118,-0.35037104494099996
ACH-000120,-0.320129164667
ACH-000123,-0.14902626283099998
ACH-000127,-0.28738453491599997
ACH-000128,0.0362611212042
ACH-000132,-0.300658954268
ACH-000133,-0.348978818332
ACH-000137,-0.599318457334
ACH-000138,-0.178307967555
ACH-000142,-0.506816018784
ACH-000143,-0.185474372171
ACH-000146,-0.079863035193
ACH-000148,-0.241449188349
ACH-000150,-0.214695546626
ACH-000152,-0.426940741392
ACH-000153,0.00554655709969
ACH-000159,-0.322493531433
ACH-000160,-0.12453322638900001
ACH-000163,-0.349502379512
ACH-000167,0.20275536837400002
ACH-000168,-0.33614314719599997
ACH-000169,-0.17235659434999998
ACH-000178,-0.24874263349700002
ACH-000182,-0.27473634523
ACH-000183,-0.280966428945
ACH-000188,-0.36911766816799996
ACH-000189,-0.2222477168
ACH-000190,-0.478443638828
ACH-000198,-0.253746532367
ACH-000204,-0.286688387837
ACH-000206,-0.263008737871
ACH-000207,-0.297118923436
ACH-000211,-0.06969278824189999
ACH-000215,-0.104905985534
ACH-000221,-0.47426112511600005
ACH-000222,-0.619132093661
ACH-000223,-0.334797361553
ACH-000226,-0.42003930396600003
ACH-000227,-0.162272011796
ACH-000228,-0.532265103672
ACH-000231,-0.102799567799
ACH-000232,-0.217651823065
ACH-000233,-0.246778847623
ACH-000234,-0.28296219399
ACH-000235,-0.298807829763
ACH-000237,-0.20068458813499998
ACH-000238,-0.30025958493
ACH-000243,-0.149314786987
ACH-000244,-0.604037174214
ACH-000246,-0.313890244953
ACH-000248,-0.29137852777199996
ACH-000250,-0.20225523154599997
ACH-000251,-0.982895810051
ACH-000253,-0.324661420034
ACH-000255,-0.255267358272
ACH-000256,-0.38506650724299996
ACH-000257,0.175559896221
ACH-000258,-0.227113167925
ACH-000259,-0.303198833583
ACH-000260,-0.265879656604
ACH-000261,-0.279231916626
ACH-000262,-0.358771923152
ACH-000263,-0.325807842892
ACH-000264,-0.233433436829
ACH-000265,-0.313374423289
ACH-000266,-0.402547897522
ACH-000272,-0.21164339059099999
ACH-000273,-0.134114288102
