,MGA (23269)
ACH-000004,-0.328965637631
ACH-000007,-0.7551873921610001
ACH-000009,-0.375162855128
ACH-000011,-0.0916432339445
ACH-000012,-0.0770928629931
ACH-000013,-0.0957948020733
ACH-000014,-0.39789805198899997
ACH-000015,-0.249292809025
ACH-000017,-0.412612616448
ACH-000018,0.006480095316529999
ACH-000019,-0.5728886235399999
ACH-000021,-0.0465550280599
ACH-000022,-0.277959557643
ACH-000025,-0.649795388781
ACH-000028,-0.229764662709
ACH-000030,-0.307746714397
ACH-000035,-0.29832728557300003
ACH-000036,-0.332980130579
ACH-000037,-0.310565279445
ACH-000039,-0.48225204898999996
ACH-000040,-0.296099898244
ACH-000041,-0.11853230113
ACH-000042,-0.267354004775
ACH-000045,0.005341054275830001
ACH-000047,-0.162335728753
ACH-000052,-0.200799205096
ACH-000053,0.00658144309095
ACH-000054,-0.399236119433
ACH-000055,-0.278768609042
ACH-000060,-0.23607394339899998
ACH-000067,-0.39978504798299996
ACH-000070,-0.060480819512300006
ACH-000075,-0.734194672702
ACH-000078,0.042087330841699994
ACH-000082,-0.215790977358
ACH-000085,-0.304631480485
ACH-000086,-0.281902217869
ACH-000087,-0.0190186863681
ACH-000092,-0.148418388482
ACH-000095,-0.213250905305
ACH-000097,-0.38100226265299997
ACH-000098,-0.21199637601
ACH-000099,0.055413218421400005
ACH-000108,-0.23063421500700002
ACH-000113,-0.23341366365400001
ACH-000115,-0.48271505050499997
ACH-000116,-0.293469502661
ACH-000118,-0.272719455495
ACH-000120,0.105372287474
ACH-000123,-0.342064950123
ACH-000127,-0.130585462427
ACH-000128,-0.0286374829695
ACH-000132,-0.557712629484
ACH-000133,-0.251020328526
ACH-000137,-0.301361347946
ACH-000138,-0.303983080446
ACH-000142,-0.34344384088
ACH-000143,-0.32662485315900003
ACH-000146,-0.217346095625
ACH-000148,-0.373426430054
ACH-000150,-0.5046960821459999
ACH-000152,-0.29266778649999997
ACH-000153,-0.318947270217
ACH-000159,-0.00363443265324
ACH-000160,-0.0479115443081
ACH-000163,-0.058935617186900005
ACH-000167,0.0676255015396
ACH-000168,-0.131619690707
ACH-000169,-0.200881875603
ACH-000178,-0.311226062165
ACH-000182,-0.265531393237
ACH-000183,-0.328445701092
ACH-000188,-0.0586894412225
ACH-000189,-0.287100365607
ACH-000190,-0.143953389741
ACH-000198,-0.270218465664
ACH-000204,0.07907001228539999
ACH-000206,-0.360600073068
ACH-000207,-0.345025482206
ACH-000211,-0.31559672862
ACH-000215,-0.0999808381966
ACH-000221,-0.34169581753
ACH-000222,-0.175166176874
ACH-000223,-0.395870677517
ACH-000226,-0.42950371710600005
ACH-000227,-0.040367318444199995
ACH-000228,-0.123609760757
ACH-000231,-0.153708716064
ACH-000232,-0.210034506918
ACH-000233,-0.284511935811
ACH-000234,-0.136606250717
ACH-000235,-0.228283363671
ACH-000237,-0.473391199091
ACH-000238,-0.048918329325599995
ACH-000243,-0.508696950278
ACH-000244,-0.055077752411000006
ACH-000246,-0.10126969802300001
ACH-000248,-0.5926078113859999
ACH-000250,-0.111254051501
ACH-000251,-0.320477412511
ACH-000253,-0.4912586301100001
ACH-000255,-0.478825640814
ACH-000256,-0.207444222485
ACH-000257,-0.017943419053
ACH-000258,-0.14742031816099999
ACH-000259,-0.6917218938590001
ACH-000260,0.0264215623527
ACH-000261,-0.469263887859
ACH-000262,-0.38289285236500004
ACH-000263,-0.27177566452
ACH-000264,-0.154569985813
ACH-000265,-0.338650427873
ACH-000266,-0.282884929974
ACH-000272,-0.23589413112100002
ACH-000273,0.0608743106209
ACH-000274,-0.12538961817299998
ACH-000277,-0.16250497716099999
ACH-000278,-0.33227536981600003
ACH-000279,-0.298600958026
ACH-000280,-0.453734276164
ACH-000281,-0.144454474385
ACH-000288,-0.300351850845
ACH-000291,0.03077457318
ACH-000293,-0.15819115209
ACH-000294,-0.117894887285
ACH-000295,-0.391029999466
ACH-000296,-0.438187463728
ACH-000302,-0.15528941724
ACH-000304,-0.227147278254
ACH-000307,-0.0805086611196
ACH-000308,-0.07278653877039999
ACH-000310,-0.293309423748
ACH-000311,-0.549904531539
ACH-000312,-0.354252803549
ACH-000315,-0.471132835653
ACH-000316,-0.283862691302
ACH-000317,-0.281208835487
ACH-000318,-0.41152531672799997
ACH-000319,-0.186349895675
ACH-000320,-0.49546452150700004
ACH-000322,-0.238556289882
ACH-000323,-0.19416061550299998
ACH-000324,-0.449725963089
ACH-000329,-0.0014123974744500003
ACH-000330,-0.46145049390500004
ACH-000331,-0.40190843916900004
ACH-000332,-0.202087030188
ACH-000334,-0.044466368921099994
ACH-000335,-0.27387309079100003
ACH-000336,-0.04527832665
ACH-000337,-0.288540287784
ACH-000339,-0.33802169741300003
ACH-000341,0.0413579427028
