,CNTRL (11064)
ACH-000004,-0.261260412586
ACH-000007,-0.14054020902699998
ACH-000009,-0.37540201578599997
ACH-000011,-0.0849240471822
ACH-000012,-0.048461714985100005
ACH-000013,-0.159441487569
ACH-000014,-0.07359392992370001
ACH-000015,-0.23038406113200002
ACH-000017,0.0257156784664
ACH-000018,-0.268179486307
ACH-000019,0.175130045361
ACH-000021,-0.32340796865800003
ACH-000022,0.08803326926060001
ACH-000025,-0.18289551583
ACH-000028,-0.08979010507819998
ACH-000030,-0.0949617746097
ACH-000035,0.0665187700361
ACH-000036,-0.078203220877
ACH-000037,-0.102177313364
ACH-000039,-0.183332363612
ACH-000040,-0.102989636732
ACH-000041,-0.24174743081500003
ACH-000042,-0.2871192598
ACH-000045,0.0585153870715
ACH-000047,-0.11689986695
ACH-000052,-0.405842158765
ACH-000053,-0.0448940291498
ACH-000054,-0.206583663115
ACH-000055,-0.08654726258850001
ACH-000060,-0.07939933143439999
ACH-000067,-0.320498005046
ACH-000070,-0.0586786329638
ACH-000075,-0.34595726460000004
ACH-000078,-0.182657347463
ACH-000082,0.041077097609300006
ACH-000085,-0.135134308444
ACH-000086,-0.217576552396
ACH-000087,-0.239552677851
ACH-000092,-0.0644377598442
ACH-000095,-0.10279563495999999
ACH-000097,-0.136601654936
ACH-000098,-0.13507163227
ACH-000099,-0.0990173249457
ACH-000108,-0.076563490201
ACH-000113,-0.0406704534446
ACH-000115,-0.0668425342042
ACH-000116,-0.206524655538
ACH-000118,-0.20445221096900001
ACH-000120,-0.18090127115899998
ACH-000123,-0.173961084549
ACH-000127,-0.185954562641
ACH-000128,0.163217265657
ACH-000132,-0.17044782875999998
ACH-000133,-0.245684136376
ACH-000137,-0.044573539906699995
ACH-000138,-0.195023120823
ACH-000142,-0.237290745062
ACH-000143,-0.178202690843
ACH-000146,-0.050751549924300005
ACH-000148,-0.136735824347
ACH-000150,-0.0440968889442
ACH-000152,-0.209931412543
ACH-000153,-0.276335025681
ACH-000159,-0.146840252995
ACH-000160,-0.079461845347
ACH-000163,-0.147603643325
ACH-000167,-0.173297702331
ACH-000168,-0.27973149873
ACH-000169,-0.12562064679
ACH-000178,-0.175503580121
ACH-000182,-0.140061366884
ACH-000183,-0.000509122155225
ACH-000188,-0.163333814552
ACH-000189,-0.106859271049
ACH-000190,-0.22576461935400002
ACH-000198,-0.150014599523
ACH-000204,-0.173365838667
ACH-000206,0.0006063446309650001
ACH-000207,-0.140518651178
ACH-000211,-0.129491004616
ACH-000215,-0.0396762815997
ACH-000221,-0.122895397133
ACH-000222,-0.30211772734299996
ACH-000223,-0.127050306601
ACH-000226,-0.229426189019
ACH-000227,-0.36576420802599996
ACH-000228,-0.191634145017
ACH-000231,-0.0256581301145
ACH-000232,0.0437115976837
ACH-000233,-0.0217454725573
ACH-000234,0.0067213415319
ACH-000235,-0.26101650089699996
ACH-000237,-0.316127341228
ACH-000238,-0.129311384003
ACH-000243,-0.17021519636799998
ACH-000244,-0.32964740594
ACH-000246,-0.215221014857
ACH-000248,-0.262879330776
ACH-000250,-0.187459615334
ACH-000251,-0.176961565726
ACH-000253,0.04211085435769999
ACH-000255,-0.160658022751
ACH-000256,-0.22453148446600002
ACH-000257,-0.233719535581
ACH-000258,-0.00529725455051
ACH-000259,-0.0679261483027
ACH-000260,-0.17604538223400001
ACH-000261,-0.0934473589433
ACH-000262,-0.19409144142700002
ACH-000263,-0.23373999298099998
ACH-000264,-0.0384038821615
ACH-000265,-0.15261828814300002
ACH-000266,-0.0198846058908
ACH-000272,-0.20557356447
ACH-000273,-0.0439761255572
ACH-000274,-0.193694687861
ACH-000277,-0.11580111863800001
ACH-000278,-0.17277432076699997
ACH-000279,-0.148495080492
ACH-000280,-0.054219789827300004
ACH-000281,-0.0559196030861
ACH-000288,0.0622937066127
ACH-000291,-0.258312627304
ACH-000293,-0.00818055141968
ACH-000294,-0.09539576565310001
ACH-000295,-0.180348714204
ACH-000296,-0.057527278870000004
ACH-000302,-0.0901266015295
ACH-000304,-0.045213959414800005
ACH-000307,-0.11073144645300001
ACH-000308,-0.09898954595460001
ACH-000310,0.011190527336600002
ACH-000311,-0.088602848087
ACH-000312,-0.225231654946
ACH-000315,-0.0406307716955
ACH-000316,-0.103114148891
ACH-000317,-0.0222762979024
ACH-000318,-0.192300974562
ACH-000319,0.160485355776
ACH-000320,-0.316175920002
ACH-000322,-0.167393886819
ACH-000323,-0.352176441145
ACH-000324,-0.148683203313
ACH-000329,-0.117790636472
ACH-000330,-0.0600631213402
ACH-000331,-0.284903223546
ACH-000332,-0.0918753594988
ACH-000334,-0.14387088637
ACH-000335,-0.135933016809
ACH-000336,-0.135037293985
ACH-000337,-0.19136713626
ACH-000339,-0.09072375661530001
ACH-000341,0.00524793463497
ACH-000348,-0.166718785249
ACH-000350,-0.08836692384310002
ACH-000352,-0.07111852105460001
ACH-000356,-0.059871585588
ACH-000361,-0.0836994222151
ACH-000362,-0.0319090283341
ACH-000363,-0.19112459744000002
ACH-000364,-0.252253860498
ACH-000365,-0.110813158336
ACH-000366,-0.265622770435
ACH-000368,0.10673538577700001
ACH-000374,-0.205664007181
ACH-000375,-0.24445776032400002
ACH-000376,-0.08359344610710001
ACH-000381,-0.29673443225400004
ACH-000383,-0.10119312474400001
ACH-000387,-0.135066907701
ACH-000389,-0.292001625966
ACH-000390,-0.00726625771491
ACH-000393,-0.236725620702
ACH-000395,-0.0570974749369
ACH-000397,-0.022808955887599996
ACH-000401,-0.132492866254
ACH-000402,-0.152407994658
ACH-000403,-0.0725761630017
ACH-000404,-0.0032822412370599996
ACH-000406,-0.14265097154
ACH-000407,-0.106137964738
ACH-000408,-0.0464610792675
ACH-000410,-0.06827992221469999
ACH-000411,-0.141587476904
ACH-000414,-0.16651418858699998
ACH-000415,-0.0674628761628
